[KJV | EN | OT | Job | Chapter 9 | Verse 1] Then Job answered and said,
[KJV | EN | OT | Job | Chapter 9 | Verse 2] I know it is so of a truth: But how should man be just with God?
[KJV | EN | OT | Job | Chapter 9 | Verse 3] If he will contend with him, He cannot answer him one of a thousand.
[KJV | EN | OT | Job | Chapter 9 | Verse 4] He is wise in heart, and mighty in strength: Who hath hardened himself against him, and hath prospered?
[KJV | EN | OT | Job | Chapter 9 | Verse 5] Which removeth the mountains, and they know not: Which overturneth them in his anger.
[KJV | EN | OT | Job | Chapter 9 | Verse 6] Which shaketh the earth out of her place, And the pillars thereof tremble.
[KJV | EN | OT | Job | Chapter 9 | Verse 7] Which commandeth the sun, and it riseth not; And sealeth up the stars.
[KJV | EN | OT | Job | Chapter 9 | Verse 8] Which alone spreadeth out the heavens, And treadeth upon the waves of the sea.
[KJV | EN | OT | Job | Chapter 9 | Verse 9] Which maketh Arcturus, Orion, And Pleiades, and the chambers of the south.
[KJV | EN | OT | Job | Chapter 9 | Verse 10] Which doeth great things past finding out; Yea, and wonders without number.
[KJV | EN | OT | Job | Chapter 9 | Verse 11] Lo, he goeth by me, and I see him not: He passeth on also, but I perceive him not.
[KJV | EN | OT | Job | Chapter 9 | Verse 12] Behold, he taketh away, who can hinder him? Who will say unto him, What doest thou?
[KJV | EN | OT | Job | Chapter 9 | Verse 13] If God will not withdraw his anger, The proud helpers do stoop under him.
[KJV | EN | OT | Job | Chapter 9 | Verse 14] How much less shall I answer him, And choose out my words to reason with him?
[KJV | EN | OT | Job | Chapter 9 | Verse 15] Whom, though I were righteous, yet would I not answer, But I would make supplication to my judge.
[KJV | EN | OT | Job | Chapter 9 | Verse 16] If I had called, and he had answered me; Yet would I not believe that he had hearkened unto my voice.
[KJV | EN | OT | Job | Chapter 9 | Verse 17] For he breaketh me with a tempest, And multiplieth my wounds without cause.
[KJV | EN | OT | Job | Chapter 9 | Verse 18] He will not suffer me to take my breath, But filleth me with bitterness.
[KJV | EN | OT | Job | Chapter 9 | Verse 19] If I speak of strength, lo, he is strong: And if of judgment, who shall set me a time to plead?
[KJV | EN | OT | Job | Chapter 9 | Verse 20] If I justify myself, mine own mouth shall condemn me: If I say, I am perfect, it shall also prove me perverse.
[KJV | EN | OT | Job | Chapter 9 | Verse 21] Though I were perfect, yet would I not know my soul: I would despise my life.
[KJV | EN | OT | Job | Chapter 9 | Verse 22] This is one thing, therefore I said it, He destroyeth the perfect and the wicked.
[KJV | EN | OT | Job | Chapter 9 | Verse 23] If the scourge slay suddenly, He will laugh at the trial of the innocent.
[KJV | EN | OT | Job | Chapter 9 | Verse 24] The earth is given into the hand of the wicked: He covereth the faces of the judges thereof; If not, where, and who is he?
[KJV | EN | OT | Job | Chapter 9 | Verse 25] Now my days are swifter than a post: They flee away, they see no good.
[KJV | EN | OT | Job | Chapter 9 | Verse 26] They are passed away as the swift ships: As the eagle that hasteth to the prey.
[KJV | EN | OT | Job | Chapter 9 | Verse 27] If I say, I will forget my complaint, I will leave off my heaviness, and comfort myself:
[KJV | EN | OT | Job | Chapter 9 | Verse 28] I am afraid of all my sorrows, I know that thou wilt not hold me innocent.
[KJV | EN | OT | Job | Chapter 9 | Verse 29] If I be wicked, Why then labour I in vain?
[KJV | EN | OT | Job | Chapter 9 | Verse 30] If I wash myself with snow water, And make my hands never so clean;
[KJV | EN | OT | Job | Chapter 9 | Verse 31] Yet shalt thou plunge me in the ditch, And mine own clothes shall abhor me.
[KJV | EN | OT | Job | Chapter 9 | Verse 32] For he is not a man, as I am, that I should answer him, And we should come together in judgment.
[KJV | EN | OT | Job | Chapter 9 | Verse 33] Neither is there any daysman betwixt us, That might lay his hand upon us both.
[KJV | EN | OT | Job | Chapter 9 | Verse 34] Let him take his rod away from me, And let not his fear terrify me:
[KJV | EN | OT | Job | Chapter 9 | Verse 35] Then would I speak, and not fear him; But it is not so with me.
