[KJV | EN | OT | Job | Chapter 32 | Verse 1] So these three men ceased to answer Job, because he was righteous in his own eyes.
[KJV | EN | OT | Job | Chapter 32 | Verse 2] Then was kindled the wrath of Elihu the son of Barachel the Buzite, of the kindred of Ram: against Job was his wrath kindled, because he justified himself rather than God.
[KJV | EN | OT | Job | Chapter 32 | Verse 3] Also against his three friends was his wrath kindled, because they had found no answer, and yet had condemned Job.
[KJV | EN | OT | Job | Chapter 32 | Verse 4] Now Elihu had waited till Job had spoken, because they were elder than he.
[KJV | EN | OT | Job | Chapter 32 | Verse 5] When Elihu saw that there was no answer in the mouth of these three men, then his wrath was kindled.
[KJV | EN | OT | Job | Chapter 32 | Verse 6] And Elihu the son of Barachel the Buzite answered and said, I am young, and ye are very old; Wherefore I was afraid, and durst not shew you mine opinion.
[KJV | EN | OT | Job | Chapter 32 | Verse 7] I said, Days should speak, And multitude of years should teach wisdom.
[KJV | EN | OT | Job | Chapter 32 | Verse 8] But there is a spirit in man: And the inspiration of the Almighty giveth them understanding.
[KJV | EN | OT | Job | Chapter 32 | Verse 9] Great men are not always wise: Neither do the aged understand judgment.
[KJV | EN | OT | Job | Chapter 32 | Verse 10] Therefore I said, Hearken to me; I also will shew mine opinion.
[KJV | EN | OT | Job | Chapter 32 | Verse 11] Behold, I waited for your words; I gave ear to your reasons, Whilst you searched out what to say.
[KJV | EN | OT | Job | Chapter 32 | Verse 12] Yea, I attended unto you, And behold, there was none of you that convinced Job, Or that answered his words:
[KJV | EN | OT | Job | Chapter 32 | Verse 13] Lest ye should say, We have found out wisdom: God thrusteth him down, not man.
[KJV | EN | OT | Job | Chapter 32 | Verse 14] Now he hath not directed his words against me: Neither will I answer him with your speeches.
[KJV | EN | OT | Job | Chapter 32 | Verse 15] They were amazed, they answered no more: They left off speaking.
[KJV | EN | OT | Job | Chapter 32 | Verse 16] When I had waited, (for they spake not, But stood still, and answered no more:)
[KJV | EN | OT | Job | Chapter 32 | Verse 17] I said, I will answer also my part, I also will shew mine opinion.
[KJV | EN | OT | Job | Chapter 32 | Verse 18] For I am full of matter, The spirit within me constraineth me.
[KJV | EN | OT | Job | Chapter 32 | Verse 19] Behold, my belly is as wine which hath no vent; It is ready to burst like new bottles.
[KJV | EN | OT | Job | Chapter 32 | Verse 20] I will speak, that I may be refreshed: I will open my lips and answer.
[KJV | EN | OT | Job | Chapter 32 | Verse 21] Let me not, I pray you, accept any man’s person, Neither let me give flattering titles unto man.
[KJV | EN | OT | Job | Chapter 32 | Verse 22] For I know not to give flattering titles; In so doing my Maker would soon take me away.
