[KJV | EN | OT | Job | Chapter 12 | Verse 1] And Job answered and said,
[KJV | EN | OT | Job | Chapter 12 | Verse 2] No doubt but ye are the people, And wisdom shall die with you.
[KJV | EN | OT | Job | Chapter 12 | Verse 3] But I have understanding as well as you; I am not inferior to you: Yea, who knoweth not such things as these?
[KJV | EN | OT | Job | Chapter 12 | Verse 4] I am as one mocked of his neighbour, Who calleth upon God, and he answereth him: The just upright man is laughed to scorn.
[KJV | EN | OT | Job | Chapter 12 | Verse 5] He that is ready to slip with his feet Is as a lamp despised in the thought of him that is at ease.
[KJV | EN | OT | Job | Chapter 12 | Verse 6] The tabernacles of robbers prosper, And they that provoke God are secure; Into whose hand God bringeth abundantly.
[KJV | EN | OT | Job | Chapter 12 | Verse 7] But ask now the beasts, and they shall teach thee; And the fowls of the air, and they shall tell thee:
[KJV | EN | OT | Job | Chapter 12 | Verse 8] Or speak to the earth, and it shall teach thee: And the fishes of the sea shall declare unto thee.
[KJV | EN | OT | Job | Chapter 12 | Verse 9] Who knoweth not in all these That the hand of the Lord hath wrought this?
[KJV | EN | OT | Job | Chapter 12 | Verse 10] In whose hand is the soul of every living thing, And the breath of all mankind.
[KJV | EN | OT | Job | Chapter 12 | Verse 11] Doth not the ear try words? And the mouth taste his meat?
[KJV | EN | OT | Job | Chapter 12 | Verse 12] With the ancient is wisdom; And in length of days understanding.
[KJV | EN | OT | Job | Chapter 12 | Verse 13] With him is wisdom and strength, He hath counsel and understanding.
[KJV | EN | OT | Job | Chapter 12 | Verse 14] Behold, he breaketh down, and it cannot be built again: He shutteth up a man, and there can be no opening.
[KJV | EN | OT | Job | Chapter 12 | Verse 15] Behold, he withholdeth the waters, and they dry up: Also he sendeth them out, and they overturn the earth.
[KJV | EN | OT | Job | Chapter 12 | Verse 16] With him is strength and wisdom: The deceived and the deceiver are his.
[KJV | EN | OT | Job | Chapter 12 | Verse 17] He leadeth counsellers away spoiled, And maketh the judges fools.
[KJV | EN | OT | Job | Chapter 12 | Verse 18] He looseth the bond of kings, And girdeth their loins with a girdle.
[KJV | EN | OT | Job | Chapter 12 | Verse 19] He leadeth princes away spoiled, And overthroweth the mighty.
[KJV | EN | OT | Job | Chapter 12 | Verse 20] He removeth away the speech of the trusty, And taketh away the understanding of the aged.
[KJV | EN | OT | Job | Chapter 12 | Verse 21] He poureth contempt upon princes, And weakeneth the strength of the mighty.
[KJV | EN | OT | Job | Chapter 12 | Verse 22] He discovereth deep things out of darkness, And bringeth out to light the shadow of death.
[KJV | EN | OT | Job | Chapter 12 | Verse 23] He increaseth the nations, and destroyeth them: He enlargeth the nations, and straiteneth them again.
[KJV | EN | OT | Job | Chapter 12 | Verse 24] He taketh away the heart of the chief of the people of the earth, And causeth them to wander in a wilderness where there is no way.
[KJV | EN | OT | Job | Chapter 12 | Verse 25] They grope in the dark without light, And he maketh them to stagger like a drunken man.
