[KJV | EN | OT | Job | Chapter 15 | Verse 1] Then answered Eliphaz the Temanite, and said,
[KJV | EN | OT | Job | Chapter 15 | Verse 2] Should a wise man utter vain knowledge, And fill his belly with the east wind?
[KJV | EN | OT | Job | Chapter 15 | Verse 3] Should he reason with unprofitable talk? Or with speeches wherewith he can do no good?
[KJV | EN | OT | Job | Chapter 15 | Verse 4] Yea, thou castest off fear, And restrainest prayer before God.
[KJV | EN | OT | Job | Chapter 15 | Verse 5] For thy mouth uttereth thine iniquity, And thou choosest the tongue of the crafty.
[KJV | EN | OT | Job | Chapter 15 | Verse 6] Thine own mouth condemneth thee, and not I; Yea, thine own lips testify against thee.
[KJV | EN | OT | Job | Chapter 15 | Verse 7] Art thou the first man that was born? Or wast thou made before the hills?
[KJV | EN | OT | Job | Chapter 15 | Verse 8] Hast thou heard the secret of God? And dost thou restrain wisdom to thyself?
[KJV | EN | OT | Job | Chapter 15 | Verse 9] What knowest thou, that we know not? What understandest thou, which is not in us?
[KJV | EN | OT | Job | Chapter 15 | Verse 10] With us are both the grayheaded and very aged men, Much elder than thy father.
[KJV | EN | OT | Job | Chapter 15 | Verse 11] Are the consolations of God small with thee? Is there any secret thing with thee?
[KJV | EN | OT | Job | Chapter 15 | Verse 12] Why doth thine heart carry thee away? And what do thine eyes wink at,
[KJV | EN | OT | Job | Chapter 15 | Verse 13] That thou turnest thy spirit against God, And lettest such words go out of thy mouth?
[KJV | EN | OT | Job | Chapter 15 | Verse 14] What is man, that he should be clean? And he which is born of a woman, that he should be righteous?
[KJV | EN | OT | Job | Chapter 15 | Verse 15] Behold, he putteth no trust in his saints; Yea, the heavens are not clean in his sight.
[KJV | EN | OT | Job | Chapter 15 | Verse 16] How much more abominable and filthy Is man, which drinketh iniquity like water?
[KJV | EN | OT | Job | Chapter 15 | Verse 17] I will shew thee, hear me; And that which I have seen I will declare;
[KJV | EN | OT | Job | Chapter 15 | Verse 18] Which wise men have told From their fathers, and have not hid it:
[KJV | EN | OT | Job | Chapter 15 | Verse 19] Unto whom alone the earth was given, And no stranger passed among them.
[KJV | EN | OT | Job | Chapter 15 | Verse 20] The wicked man travaileth with pain all his days, And the number of years is hidden to the oppressor.
[KJV | EN | OT | Job | Chapter 15 | Verse 21] A dreadful sound is in his ears: In prosperity the destroyer shall come upon him.
[KJV | EN | OT | Job | Chapter 15 | Verse 22] He believeth not that he shall return out of darkness, And he is waited for of the sword.
[KJV | EN | OT | Job | Chapter 15 | Verse 23] He wandereth abroad for bread, saying, Where is it? He knoweth that the day of darkness is ready at his hand.
[KJV | EN | OT | Job | Chapter 15 | Verse 24] Trouble and anguish shall make him afraid; They shall prevail against him, as a king ready to the battle.
[KJV | EN | OT | Job | Chapter 15 | Verse 25] For he stretcheth out his hand against God, And strengtheneth himself against the Almighty.
[KJV | EN | OT | Job | Chapter 15 | Verse 26] He runneth upon him, even on his neck, Upon the thick bosses of his bucklers:
[KJV | EN | OT | Job | Chapter 15 | Verse 27] Because he covereth his face with his fatness, And maketh collops of fat on his flanks.
[KJV | EN | OT | Job | Chapter 15 | Verse 28] And he dwelleth in desolate cities, And in houses which no man inhabiteth, Which are ready to become heaps.
[KJV | EN | OT | Job | Chapter 15 | Verse 29] He shall not be rich, neither shall his substance continue, Neither shall he prolong the perfection thereof upon the earth.
[KJV | EN | OT | Job | Chapter 15 | Verse 30] He shall not depart out of darkness; The flame shall dry up his branches, And by the breath of his mouth shall he go away.
[KJV | EN | OT | Job | Chapter 15 | Verse 31] Let not him that is deceived trust in vanity: For vanity shall be his recompence.
[KJV | EN | OT | Job | Chapter 15 | Verse 32] It shall be accomplished before his time, And his branch shall not be green.
[KJV | EN | OT | Job | Chapter 15 | Verse 33] He shall shake off his unripe grape as the vine, And shall cast off his flower as the olive.
[KJV | EN | OT | Job | Chapter 15 | Verse 34] For the congregation of hypocrites shall be desolate, And fire shall consume the tabernacles of bribery.
[KJV | EN | OT | Job | Chapter 15 | Verse 35] They conceive mischief, and bring forth vanity, And their belly prepareth deceit.
