[KJV | EN | OT | Job | Chapter 8 | Verse 1] Then answered Bildad the Shuhite, and said,
[KJV | EN | OT | Job | Chapter 8 | Verse 2] How long wilt thou speak these things? And how long shall the words of thy mouth be like a strong wind?
[KJV | EN | OT | Job | Chapter 8 | Verse 3] Doth God pervert judgment? Or doth the Almighty pervert justice?
[KJV | EN | OT | Job | Chapter 8 | Verse 4] If thy children have sinned against him, And he have cast them away for their transgression;
[KJV | EN | OT | Job | Chapter 8 | Verse 5] If thou wouldest seek unto God betimes, And make thy supplication to the Almighty;
[KJV | EN | OT | Job | Chapter 8 | Verse 6] If thou wert pure and upright; Surely now he would awake for thee, And make the habitation of thy righteousness prosperous.
[KJV | EN | OT | Job | Chapter 8 | Verse 7] Though thy beginning was small, Yet thy latter end should greatly increase.
[KJV | EN | OT | Job | Chapter 8 | Verse 8] For inquire, I pray thee, of the former age, And prepare thyself to the search of their fathers:
[KJV | EN | OT | Job | Chapter 8 | Verse 9] (For we are but of yesterday, and know nothing, Because our days upon earth are a shadow:)
[KJV | EN | OT | Job | Chapter 8 | Verse 10] Shall not they teach thee, and tell thee, And utter words out of their heart?
[KJV | EN | OT | Job | Chapter 8 | Verse 11] Can the rush grow up without mire? Can the flag grow without water?
[KJV | EN | OT | Job | Chapter 8 | Verse 12] Whilst it is yet in his greenness, and not cut down, It withereth before any other herb.
[KJV | EN | OT | Job | Chapter 8 | Verse 13] So are the paths of all that forget God; And the hypocrite’s hope shall perish:
[KJV | EN | OT | Job | Chapter 8 | Verse 14] Whose hope shall be cut off, And whose trust shall be a spider’s web.
[KJV | EN | OT | Job | Chapter 8 | Verse 15] He shall lean upon his house, but it shall not stand: He shall hold it fast, but it shall not endure.
[KJV | EN | OT | Job | Chapter 8 | Verse 16] He is green before the sun, And his branch shooteth forth in his garden,
[KJV | EN | OT | Job | Chapter 8 | Verse 17] His roots are wrapped about the heap, And seeth the place of stones.
[KJV | EN | OT | Job | Chapter 8 | Verse 18] If he destroy him from his place, Then it shall deny him, saying, I have not seen thee.
[KJV | EN | OT | Job | Chapter 8 | Verse 19] Behold, this is the joy of his way, And out of the earth shall others grow.
[KJV | EN | OT | Job | Chapter 8 | Verse 20] Behold, God will not cast away a perfect man, Neither will he help the evil doers:
[KJV | EN | OT | Job | Chapter 8 | Verse 21] Till he fill thy mouth with laughing, And thy lips with rejoicing.
[KJV | EN | OT | Job | Chapter 8 | Verse 22] They that hate thee shall be clothed with shame; And the dwelling place of the wicked shall come to nought.
