[KJV | EN | OT | Job | Chapter 29 | Verse 1] Moreover Job continued his parable, and said,
[KJV | EN | OT | Job | Chapter 29 | Verse 2] O that I were as in months past, As in the days when God preserved me;
[KJV | EN | OT | Job | Chapter 29 | Verse 3] When his candle shined upon my head, And when by his light I walked through darkness;
[KJV | EN | OT | Job | Chapter 29 | Verse 4] As I was in the days of my youth, When the secret of God was upon my tabernacle;
[KJV | EN | OT | Job | Chapter 29 | Verse 5] When the Almighty was yet with me, When my children were about me;
[KJV | EN | OT | Job | Chapter 29 | Verse 6] When I washed my steps with butter, And the rock poured me out rivers of oil;
[KJV | EN | OT | Job | Chapter 29 | Verse 7] When I went out to the gate through the city, When I prepared my seat in the street;
[KJV | EN | OT | Job | Chapter 29 | Verse 8] The young men saw me, and hid themselves: And the aged arose, and stood up.
[KJV | EN | OT | Job | Chapter 29 | Verse 9] The princes refrained talking, And laid their hand on their mouth.
[KJV | EN | OT | Job | Chapter 29 | Verse 10] The nobles held their peace, And their tongue cleaved to the roof of their mouth.
[KJV | EN | OT | Job | Chapter 29 | Verse 11] When the ear heard me, then it blessed me; And when the eye saw me, it gave witness to me:
[KJV | EN | OT | Job | Chapter 29 | Verse 12] Because I delivered the poor that cried, And the fatherless, and him that had none to help him.
[KJV | EN | OT | Job | Chapter 29 | Verse 13] The blessing of him that was ready to perish came upon me: And I caused the widow’s heart to sing for joy.
[KJV | EN | OT | Job | Chapter 29 | Verse 14] I put on righteousness, and it clothed me: My judgment was as a robe and a diadem.
[KJV | EN | OT | Job | Chapter 29 | Verse 15] I was eyes to the blind, And feet was I to the lame.
[KJV | EN | OT | Job | Chapter 29 | Verse 16] I was a father to the poor: And the cause which I knew not I searched out.
[KJV | EN | OT | Job | Chapter 29 | Verse 17] And I brake the jaws of the wicked, And pluckt the spoil out of his teeth.
[KJV | EN | OT | Job | Chapter 29 | Verse 18] Then I said, I shall die in my nest, And I shall multiply my days as the sand.
[KJV | EN | OT | Job | Chapter 29 | Verse 19] My root was spread out by the waters, And the dew lay all night upon my branch.
[KJV | EN | OT | Job | Chapter 29 | Verse 20] My glory was fresh in me, And my bow was renewed in my hand.
[KJV | EN | OT | Job | Chapter 29 | Verse 21] Unto me men gave ear, and waited, And kept silence at my counsel.
[KJV | EN | OT | Job | Chapter 29 | Verse 22] After my words they spake not again; And my speech dropped upon them.
[KJV | EN | OT | Job | Chapter 29 | Verse 23] And they waited for me as for the rain; And they opened their mouth wide as for the latter rain.
[KJV | EN | OT | Job | Chapter 29 | Verse 24] If I laughed on them, they believed it not; And the light of my countenance they cast not down.
[KJV | EN | OT | Job | Chapter 29 | Verse 25] I chose out their way, and sat chief, And dwelt as a king in the army, As one that comforteth the mourners.
