[IRV | TE | OT | Job | Chapter 6 | Verse 1] అప్పుడు యోబు ఇలా జవాబిచ్చాడు.
[IRV | TE | OT | Job | Chapter 6 | Verse 2] ఎవరైనా నాకు కలిగిన దుఃఖాన్ని సరిగా తూస్తారు గాక. నాకు వచ్చిన ఆపదను త్రాసులో ఉంచుతారు గాక.
[IRV | TE | OT | Job | Chapter 6 | Verse 3] అలా చేసినప్పుడు నా దుఃఖం సముద్రంలో ఉన్న ఇసక కన్నా బరువుగా ఉంటుంది. అందుకనే నేను వ్యర్ధమైన మాటలు పలికాను.
[IRV | TE | OT | Job | Chapter 6 | Verse 4] సర్వశక్తిమంతుడైన దేవుడు వేసిన బాణాలు నాలో దిగాయి. వాటి విషం నా ఆత్మలో వ్యాపిస్తూ ఉంది. నాతో యుద్ధం చేయడానికి దేవుని భయంకరమైన చర్యలు వరసగా నిలిచి ఉన్నాయి.
[IRV | TE | OT | Job | Chapter 6 | Verse 5] అడవి గాడిదకు మేత ఉన్నప్పుడు అది అరుస్తుందా? ఎద్దు తన మేతను చూసి రంకెలు వేస్తుందా?
[IRV | TE | OT | Job | Chapter 6 | Verse 6] ఉప్పు లేకుండా చప్పగా ఉండే వాటిని ఎవరైనా తింటారా? గుడ్డులోని తెల్ల సొనకు రుచి ఉంటుందా?
[IRV | TE | OT | Job | Chapter 6 | Verse 7] అలాంటి వాటిని తీసుకోవడం నాకు ఇష్టం లేకపోయినప్పటికీ వాటినే నేను తినవలసి వస్తుంది.
[IRV | TE | OT | Job | Chapter 6 | Verse 8] నా విన్నపాలు తీరితే ఎంత బాగుంటుంది! నేను కోరినదంతా దేవుడు అనుగ్రహిస్తే ఎంత బాగుంటుంది!
[IRV | TE | OT | Job | Chapter 6 | Verse 9] దేవుడు తన ఇష్టప్రకారం నన్ను నలగ్గొడతాడు గాక. తన చెయ్యి ఎత్తి నన్ను కడతేరుస్తాడు గాక.
[IRV | TE | OT | Job | Chapter 6 | Verse 10] ఇదే నాకు ఓదార్పు అవుతుంది. మానని నొప్పిని బట్టి నేను అతిశయపడతాను. అప్పుడు కనీసం పరిశుద్ధ దేవుని మాటలను తోసిపుచ్చలేదన్న ఆదరణన్నా నాకు మిగులుతుంది.
[IRV | TE | OT | Job | Chapter 6 | Verse 11] నాకున్న బలం ఎంత? నేను దేని కోసం ఎదురు చూడాలి? నా అంతిమ స్థితి ఏమిటి? ఇదంతా నేను ఎందుకు ఓర్చుకోవాలి?
[IRV | TE | OT | Job | Chapter 6 | Verse 12] నాకు రాళ్లకు ఉన్నంత గట్టితనం ఉందా? నా శరీరం ఇత్తడిదా?
[IRV | TE | OT | Job | Chapter 6 | Verse 13] నాలో నుంచి నాకు సహాయం ఏమీ దొరకదు గదా. నాలో నుండి నా శక్తి అంతా సన్నగిల్లిపోయింది గదా.
[IRV | TE | OT | Job | Chapter 6 | Verse 14] కుంగిపోయిన వ్యక్తి సర్వశక్తుడైన దేవుని పట్ల భయభక్తులు విడిచినప్పటికీ అతని స్నేహితుని ఆదరణకు పాత్రుడు అవుతాడు.
[IRV | TE | OT | Job | Chapter 6 | Verse 15] నా స్నేహితులు ఎండిపోయిన చిన్న కాలవలాగా, కనబడకుండా మాయమైపోయే ప్రవాహంలాగా నమ్మకూడని వారుగా మారారు.
[IRV | TE | OT | Job | Chapter 6 | Verse 16] అలాంటి ప్రవాహాలు కరిగిపోయిన మంచుగడ్డలతో, కురిసిన మంచుతో మురికిగా కనబడతాయి.
