[IRV | TE | OT | Job | Chapter 32 | Verse 1] యోబు తన దృష్టికి తాను నీతిమంతుడుగా ఉన్నాడని ఆ ముగ్గురు మనుషులు గ్రహించి అతనికి జవాబు చెప్పడం చాలించుకున్నారు.
[IRV | TE | OT | Job | Chapter 32 | Verse 2] అప్పుడు రము వంశస్థుడు, బూజీయుడు, బరకెయేలు కుమారుడు అయిన ఎలీహు, యోబు దేవుని కంటే తానే నీతిమంతుడైనట్టు చెప్పుకోవడం చూసి అతని మీద ఎంతో కోపగించాడు.
[IRV | TE | OT | Job | Chapter 32 | Verse 3] యోబు ముగ్గురు స్నేహితులు ప్రత్యుత్తరమేమీ చెప్పకుండా యోబు మీద దోషం మోపినందుకు వారి మీద కూడా అతడు ఎంతో కోపగించాడు.
[IRV | TE | OT | Job | Chapter 32 | Verse 4] వారు ఎలీహుకన్న ఎక్కువ వయస్సు గలవారు గనక అతడు యోబుతో మాటలాడాలని ఎదురు చూస్తున్నాడు.
[IRV | TE | OT | Job | Chapter 32 | Verse 5] అయితే ఆ ముగ్గురూ ప్రత్యుత్తరమేమీ ఇయ్యక పోవడం చూసి అతనికి కోపం రేగింది.
[IRV | TE | OT | Job | Chapter 32 | Verse 6] కాబట్టి బూజీయుడైన బరకెయేలు కుమారుడు ఎలీహు ఇలా మాటలాడసాగాడు. నేను వయస్సులో చిన్నవాణ్ణి. మీరు బహు వృద్ధులు. ఆ కారణం చేత నేను భయపడి నా ఉద్దేశం మీకు తెలియజేయడానికి తెగించలేదు.
[IRV | TE | OT | Job | Chapter 32 | Verse 7] వృద్ధాప్యం మాట్లాడాలి, అధిక సంఖ్యగల సంవత్సరాలు జ్ఞానం బోధించడానికి తగినవి, అని నేను అనుకున్నాను.
[IRV | TE | OT | Job | Chapter 32 | Verse 8] అయినా మనుషుల్లో ఆత్మ ఒకటి ఉంది. సర్వశక్తుడైన దేవుని ఊపిరి వారికి వివేచన కలగజేస్తుంది.
[IRV | TE | OT | Job | Chapter 32 | Verse 9] వృద్ధులు మాత్రమే జ్ఞానవంతులు కారు. పెద్ద వయస్సు గలవారు ఒకప్పుడు న్యాయం తెలిసినవారు కారు.
[IRV | TE | OT | Job | Chapter 32 | Verse 10] కాబట్టి నా మాట అంగీకరించమని మనవి చేస్తున్నాను. నేను కూడా నా అభిప్రాయం తెలుపుతాను.
[IRV | TE | OT | Job | Chapter 32 | Verse 11] ఏమి పలకాలా అని మీరు ఆలోచిస్తుండగా నేను మీ మాటల కోసం కనిపెట్టుకున్నాను. మీ అభిప్రాయాలు చెవిని వేసుకోవడం కోసం మీరు చెప్పిన వాటిపై బహు జాగ్రత్తగా ధ్యాస పెట్టాను. అయితే మీలో ఎవరూ యోబును ఖండించలేదు. ఎవరూ అతని మాటలకు జవాబు ఇయ్యలేదు.
[IRV | TE | OT | Job | Chapter 32 | Verse 12] <range>
[IRV | TE | OT | Job | Chapter 32 | Verse 13] కాబట్టి మాకు జ్ఞానం లభించిందని, దేవుడు తప్ప మనుషులు అతన్ని ఓడించలేరని మీరు అనకూడదు.
[IRV | TE | OT | Job | Chapter 32 | Verse 14] అతడు నాతో వాదమాడలేదు. మీరు చెప్పిన మాటలను బట్టి నేనతనికి జవాబు ఇయ్యను.
[IRV | TE | OT | Job | Chapter 32 | Verse 15] వారు ఆశ్చర్యపడి ఇక జవాబు చెప్పడం మానుకున్నారు. పలకడానికి వారికి మాట ఒకటి కూడా లేదు.
[IRV | TE | OT | Job | Chapter 32 | Verse 16] కాగా వారిక ఏమీ జవాబు చెప్పకుండా ఊరుకున్నారు. వారు మాటలాడక పోవడం చూసి నేను ఊరుకుంటానా?
[IRV | TE | OT | Job | Chapter 32 | Verse 17] నేను ఇయ్యవలసిన జవాబు నేనిస్తాను. నేను కూడా నా అభిప్రాయం తెలుపుతాను.
[IRV | TE | OT | Job | Chapter 32 | Verse 18] నా మనస్సునిండా మాటలున్నాయి. నా అంతరంగంలో ఉన్న ఆత్మ నన్ను బలవంతం చేస్తున్నది.
[IRV | TE | OT | Job | Chapter 32 | Verse 19] నా మనస్సు తెరవని ద్రాక్షారసపు తిత్తి లాగా ఉంది. కొత్త తిత్తుల్లాగా అది పిగిలిపోడానికి సిద్ధంగా ఉంది.
[IRV | TE | OT | Job | Chapter 32 | Verse 20] నేను మాట్లాడి బరువు దించుకుంటాను. నా పెదాలు విప్పి ప్రత్యుత్తరమిస్తాను.
[IRV | TE | OT | Job | Chapter 32 | Verse 21] మీరు దయచేసి వినండి. నేను ఎవరి విషయంలోనూ పక్షపాతం చూపించను. నేను ముఖస్తుతి కోసం ఎవరికీ బిరుదులు తగిలించను.
[IRV | TE | OT | Job | Chapter 32 | Verse 22] ముఖస్తుతి చేయడం నా చేత కాదు. అలా చేస్తే నన్ను చేసినవాడు శీఘ్రంగా నన్ను నిర్మూలం చేస్తాడు.
