[IRV | TE | OT | Job | Chapter 7 | Verse 1] భూమి మీద మనుషులు జీవించే కాలం కాయకష్టం వంటిది కాదా? వాళ్ళ దినాలు కూలి పని చేసే వాడి జీవనం వంటిది కాదా?
[IRV | TE | OT | Job | Chapter 7 | Verse 2] బానిసత్వంలో ఉన్నవాడు గూడు కోరుకున్నట్టు, కూలి కోసం పనివాడు ఎదురు చూస్తున్నట్టు నేను ఉన్నాను.
[IRV | TE | OT | Job | Chapter 7 | Verse 3] నా ఆశలు నెరవేరక నెలల తరబడి గడపవలసి వచ్చింది. నా కోసం ఆయాసంతో కూడిన రాత్రులు నియమితమై ఉన్నాయి.
[IRV | TE | OT | Job | Chapter 7 | Verse 4] నేను పండుకున్నప్పుడల్లా ఆ రాత్రి ఎప్పుడు గడుస్తుందా, ఎప్పుడు నిద్ర నుండి లేస్తానా అనుకుంటాను. తెల్లవారే వరకూ ఇటూ అటూ దొర్లుతూ మధనపడతాను.
[IRV | TE | OT | Job | Chapter 7 | Verse 5] నా శరీరమంతా పురుగులతో, మట్టిపెళ్లలతో కప్పి ఉంది. నా చర్మంపై గడ్డలు గట్టిపడి మళ్ళీ మెత్తగా అయిపోయి బాధ పెడతాయి.
[IRV | TE | OT | Job | Chapter 7 | Verse 6] నేత పనివాడి చేతిలోని నాడెలాగా నా రోజులు వేగంగా గడిచిపోతున్నాయి. ఎలాంటి నిరీక్షణ లేకుండా అవి గతించిపోతున్నాయి.
[IRV | TE | OT | Job | Chapter 7 | Verse 7] నా ప్రాణం కేవలం ఊపిరి వంటిదని జ్ఞాపకం చేసుకోండి. ఇకపై నా కళ్ళకు ఎలాంటి మంచీ కనబడదు.
[IRV | TE | OT | Job | Chapter 7 | Verse 8] నన్ను చూసినవారి కళ్ళకు ఇకపై నేను కనిపించను. నీ కళ్ళు నా కోసం చూసినప్పుడు నేను లేకుండా పోతాను.
[IRV | TE | OT | Job | Chapter 7 | Verse 9] మేఘాలు చెదిరిపోయి మాయమైపోయిన విధంగా పాతాళానికి దిగిపోయిన వాడు మళ్లీ పైకి రాడు.
[IRV | TE | OT | Job | Chapter 7 | Verse 10] ఇక అతడు ఎప్పటికీ తన ఇంటికి తిరిగి రాడు. అతడు నివసించిన స్థలం ఇక అతణ్ణి గుర్తించదు.
[IRV | TE | OT | Job | Chapter 7 | Verse 11] అందువల్ల నేను నోరు మూసుకుని ఉండను. నా ఆత్మలో వేదన ఉంది. నా వేదన కొద్దీ నేను మాట్లాడతాను. నా మనసులోని వేదనను బట్టి మూలుగుతూ ఉంటాను.
[IRV | TE | OT | Job | Chapter 7 | Verse 12] నేనేమైనా సముద్రం వంటివాడినా? సముద్ర రాక్షసినా? నన్ను నువ్వెందుకు కాపలా కాస్తున్నావు?
[IRV | TE | OT | Job | Chapter 7 | Verse 13] నా పడక నాకు ఆధారం అవుతుందని, నా పరుపు నా బాధకు ఉపశమనం కలిగిస్తుందని అనుకున్నాను.
[IRV | TE | OT | Job | Chapter 7 | Verse 14] అయితే నువ్వు కలలు రప్పించి నన్ను బెదిరిస్తున్నావు. దర్శనాల ద్వారా నేను వణికిపోయేలా చేస్తున్నావు.
[IRV | TE | OT | Job | Chapter 7 | Verse 15] అందుకని నన్ను ఉరి తీయాలని కోరుతున్నాను. నా అస్థిపంజరాన్ని నేను చూసుకోవడం కన్నా చనిపోవడమే నాకు ఇష్టం.
[IRV | TE | OT | Job | Chapter 7 | Verse 16] జీవితం అంటేనే నాకు అసహ్యం వేస్తుంది. ఎల్లకాలం బతికి ఉండడం నాకు ఇష్టం లేదు. నా జోలికి రావద్దు. నేను బతికే దినాలు ఆవిరిలాగా ఉన్నాయి.
[IRV | TE | OT | Job | Chapter 7 | Verse 17] మనిషి ఎంతటి వాడు? మనిషిని గొప్పవాడిగా ఎంచడం ఎందుకు? అతని మీద నీ మనస్సు నిలపడం ఎందుకు?
[IRV | TE | OT | Job | Chapter 7 | Verse 18] ప్రతి ఉదయమూ నువ్వు అతణ్ణి దర్శిస్తావెందుకు? క్షణక్షణమూ అతన్ని పరీక్షిస్తావెందుకు?
[IRV | TE | OT | Job | Chapter 7 | Verse 19] నన్ను చూస్తూ నువ్వు ఎంతకాలం గడుపుతావు? నేను గుటక వేసే వరకూ నన్ను విడిచిపెట్టవా?
[IRV | TE | OT | Job | Chapter 7 | Verse 20] మనుషులను కనిపెట్టి చూసే వాడా, ఒకవేళ నేను పాపం చేసినా అది నీకు వ్యతిరేకంగా ఎందుకు చేస్తాను? నాకు నేనే భారంగా ఉన్నాను. నీ దృష్టి నాపై ఎందుకు నిలిపావు?
[IRV | TE | OT | Job | Chapter 7 | Verse 21] నా అతిక్రమాలను నువ్వెందుకు క్షమించవు? నా పాపాలను ఎందుకు తుడిచివేయవు? నేనిప్పుడు మట్టిలో కలసిపోతాను. నన్ను జాగ్రత్తగా వెదకుతావు గానీ నేను ఉండను.
