[IRV | TE | OT | Job | Chapter 38 | Verse 1] అప్పుడు యెహోవా సుడిగాలిలోనుండి యోబుకు ఇలా జవాబు ఇచ్చాడు.
[IRV | TE | OT | Job | Chapter 38 | Verse 2] జ్ఞానం లేని మాటలు చెప్పి నా పథకాలను చెడగొడుతున్న వీడెవడు?
[IRV | TE | OT | Job | Chapter 38 | Verse 3] పౌరుషంగా నీ నడుము బిగించుకో. నేను నీకు ప్రశ్న వేస్తాను. నాకు జవాబియ్యాలి.
[IRV | TE | OT | Job | Chapter 38 | Verse 4] నేను భూమికి పునాదులు వేసినప్పుడు నీవెక్కడ ఉన్నావు? నీకు అంత తెలివి తేటలుంటే చెప్పు.
[IRV | TE | OT | Job | Chapter 38 | Verse 5] నీకు తెలిస్తే చెప్పు, దాని పరిమాణం ఎవరు నిర్ణయించారు? దానికి కొలతలు వేసిన దెవరు?
[IRV | TE | OT | Job | Chapter 38 | Verse 6] దాని పునాదులు దేనిపై ఉన్నాయి? ఉదయ నక్షత్రాలు కలిసి పాడినప్పుడు దేవదూతలందరూ ఆనందంగా జయజయధ్వానాలు చేస్తుండగా దాని మూలరాయి నిలబెట్టింది ఎవరు?
[IRV | TE | OT | Job | Chapter 38 | Verse 7] <range>
[IRV | TE | OT | Job | Chapter 38 | Verse 8] సముద్రం దాని గర్భం నుండి పొర్లి రాగా తలుపులు వేసి దాన్ని మూసిన వాడెవడు?
[IRV | TE | OT | Job | Chapter 38 | Verse 9] నేను మేఘాలకు బట్టలు తొడిగినప్పుడు గాఢాంధకారాన్ని దానికి పొత్తిగుడ్డగా వేసినప్పుడు నువ్వు ఉన్నావా?
[IRV | TE | OT | Job | Chapter 38 | Verse 10] సముద్రానికి నా సరిహద్దు నియమించి, దాని తలుపులను, గడియలను అమర్చినప్పుడు,
[IRV | TE | OT | Job | Chapter 38 | Verse 11] “నువ్వు ఇంతవరకే మరి దగ్గరికి రాకూడదు, ఇక్కడే నీ తరంగాల గర్వం అణిగిపోవాలి” అని నేను సముద్రానికి చెప్పినప్పుడు నువ్వు ఉన్నావా?
[IRV | TE | OT | Job | Chapter 38 | Verse 12] నీ జీవితకాలమంతటిలో ఎప్పుడైనా ప్రాతఃకాలాన్ని రమ్మని ఆజ్ఞాపించావా? తెల్లవారి సూర్యోదయానికి దాని స్థానాన్ని నియమించావా?
[IRV | TE | OT | Job | Chapter 38 | Verse 13] దుష్టులు దానిలో ఉండకుండా దులిపివేసేలా భూమి అంచులను అది ఒడిసి పట్టేలా ఉదయాన్ని పంపించావా?
[IRV | TE | OT | Job | Chapter 38 | Verse 14] ముద్ర బంకమట్టి రూపాన్ని మార్చినట్టు భూతలం రూపాంతరం చెందుతూ ఉంటుంది. దానిపై ఉన్నవన్నీ వస్త్రం మీది మడతల్లాగా స్పష్టంగా కనబడతాయి.
[IRV | TE | OT | Job | Chapter 38 | Verse 15] దుష్టుల వెలుగు వారి నుండి తొలిగిపోతుంది. వారు ఎత్తిన చెయ్యి విరగ్గొట్టబడుతుంది.
[IRV | TE | OT | Job | Chapter 38 | Verse 16] సముద్రపు ఊటల్లోకి నువ్వు చొరబడ్డావా? సముద్రం అడుగున తిరుగులాడావా?
[IRV | TE | OT | Job | Chapter 38 | Verse 17] మరణద్వారాలు నీకు తెరుచుకున్నాయా? మరణాంధకార ద్వారాలను నువ్వు చూశావా?
[IRV | TE | OT | Job | Chapter 38 | Verse 18] భూమి వైశాల్యం ఎంతో నువ్వు గ్రహించావా? ఇదంతా నీకేమైనా తెలిస్తే చెప్పు.
[IRV | TE | OT | Job | Chapter 38 | Verse 19] వెలుగు విశ్రాంతి తీసుకునే చోటుకు దారి ఏది? చీకటి అనేదాని ఉనికిపట్టు ఏది?
[IRV | TE | OT | Job | Chapter 38 | Verse 20] వెలుగును, చీకటిని అవి ఉద్యోగాలు చేసే చోటులకు నువ్వు తీసుకుపోగలవా? వాటి పని అయిపోయాక వాటిని మళ్లీ వాటి ఇళ్ళకు తీసుకుపోగలవా?
[IRV | TE | OT | Job | Chapter 38 | Verse 21] ఇవన్నీ నీకు తెలుసు కదా! నువ్వు అప్పటికే పుట్టావట గదా. నువ్వు బహు వృద్ధుడివి మరి.
[IRV | TE | OT | Job | Chapter 38 | Verse 22] నువ్వు మంచును నిలవ చేసిన గిడ్డంగుల్లోకి వెళ్లావా? వడగండ్లను దాచి ఉంచిన కొట్లను నువ్వు చూశావా? ఆపత్కాలం కోసం యుద్ధ దినాల కోసం నేను వాటిని దాచి ఉంచాను.
[IRV | TE | OT | Job | Chapter 38 | Verse 23] <range>
[IRV | TE | OT | Job | Chapter 38 | Verse 24] మెరుపులను వాటి వాటి దారుల్లోకి పంపించే చోటు ఏది? తూర్పు గాలి ఎక్కడనుండి బయలుదేరి భూమి మీద నఖముఖాలా వీస్తుంది?
[IRV | TE | OT | Job | Chapter 38 | Verse 25] మనుషులు లేని తావుల్లో వర్షం కురిపించడానికి, నిర్జన ప్రదేశాల్లో వాన కురియడానికి,
[IRV | TE | OT | Job | Chapter 38 | Verse 26] చవిటి నేలలను, జన సంచారం లేని ఎడారులను తృప్తి పరచడానికి, అక్కడ లేత గడ్డి పరకలు మొలిపించడానికి,
[IRV | TE | OT | Job | Chapter 38 | Verse 27] వర్ష ధారలకోసం కాలవలను, ఉరుములు గర్జించడానికి దారులను ఏర్పరచిన వాడెవడు?
[IRV | TE | OT | Job | Chapter 38 | Verse 28] వర్షానికి తండ్రి ఉన్నాడా? మంచు బిందువులను కన్నది ఎవరు?
[IRV | TE | OT | Job | Chapter 38 | Verse 29] మంచు గడ్డ ఎవరి గర్భంలోనుండి వస్తుంది? ఆకాశం నుండి జాలువారే మంచును ఎవరు పుట్టించారు?
[IRV | TE | OT | Job | Chapter 38 | Verse 30] జలాలు దాక్కుని రాయిలాగా గడ్డకట్టుకుపోతాయి. అగాధజలాల ఉపరితలం ఘనీభవిస్తుంది.
[IRV | TE | OT | Job | Chapter 38 | Verse 31] కృత్తిక నక్షత్రాలను నువ్వు బంధించగలవా? మృగశిరకు కట్లు విప్పగలవా?
[IRV | TE | OT | Job | Chapter 38 | Verse 32] వాటి కాలాల్లో నక్షత్ర రాసులను వచ్చేలా చేయగలవా? సప్తర్షి నక్షత్రాలను వాటి ఉపనక్షత్రాలను నువ్వు నడిపించగలవా?
[IRV | TE | OT | Job | Chapter 38 | Verse 33] ఆకాశమండల నియమాలు నీకు తెలుసా? అది భూమిని పరిపాలించే విధానం నువ్వు స్థాపించగలవా?
[IRV | TE | OT | Job | Chapter 38 | Verse 34] జడివాన నిన్ను కప్పేలా మేఘాలకు గొంతెత్తి నువ్వు ఆజ్ఞ ఇయ్యగలవా?
[IRV | TE | OT | Job | Chapter 38 | Verse 35] మెరుపులు బయలుదేరి వెళ్లి “చిత్తం ఇదుగో ఉన్నాం” అని నీతో చెప్పేలా నువ్వు వాటిని బయటికి రప్పించగలవా?
[IRV | TE | OT | Job | Chapter 38 | Verse 36] మేఘాల్లో జ్ఞానం ఉంచిన వాడెవడు? పొగమంచుకు తెలివినిచ్చిన వాడెవడు?
[IRV | TE | OT | Job | Chapter 38 | Verse 37] నైపుణ్యంగా మేఘాలను లెక్కబెట్ట గలవాడెవడు?
[IRV | TE | OT | Job | Chapter 38 | Verse 38] మట్టి గడ్డల్లోకి ధూళి దూరి అవి ఒక దానికొకటి అంటుకొనేలా మేఘ కలశాల్లో నుండి నీటిని ఒలికించగలిగింది ఎవరు?
[IRV | TE | OT | Job | Chapter 38 | Verse 39] ఆడసింహం కోసం నువ్వు జంతువును వేటాడతావా?
[IRV | TE | OT | Job | Chapter 38 | Verse 40] సింహం పిల్లలు తమ గుహల్లో పడుకుని ఉన్నప్పుడు, తమ మాటుల్లో పొంచి ఉన్నప్పుడు నువ్వు వాటి ఆకలి తీరుస్తావా?
[IRV | TE | OT | Job | Chapter 38 | Verse 41] కాకి పిల్లలు దేవునికి మొరపెట్టేటప్పుడు, ఆకలికి అలమటించేటప్పుడు వాటికి ఆహారం ఇచ్చేవాడెవడు?
