[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 1] ਹਰੇਕ ਕੰਮ ਦਾ ਇੱਕ ਸਮਾਂ ਹੈ ਅਤੇ ਹਰ ਮਨੋਰਥ ਦਾ ਜੋ ਅਕਾਸ਼ ਦੇ ਹੇਠ ਹੈ ਇੱਕ ਵੇਲਾ ਹੈ, -
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 2] ਇੱਕ ਜੰਮਣ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਮਰਨ ਦਾ ਵੇਲਾ ਹੈ, ਇੱਕ ਲਾਉਣ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਲਾਏ ਹੋਏ ਨੂੰ ਪੁੱਟਣ ਦਾ ਵੇਲਾ ਹੈ,
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 3] ਇੱਕ ਮਾਰ ਸੁੱਟਣ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਚੰਗੇ ਕਰਨ ਦਾ ਵੇਲਾ ਹੈ, ਇੱਕ ਢਾਉਣ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਉਸਾਰਨ ਦਾ ਵੇਲਾ ਹੈ,
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 4] ਇੱਕ ਰੋਣ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਹੱਸਣ ਦਾ ਵੇਲਾ ਹੈ, ਇੱਕ ਸੋਗ ਕਰਨ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਨੱਚਣ ਦਾ ਵੇਲਾ ਹੈ,
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 5] ਇੱਕ ਪੱਥਰ ਸੁੱਟਣ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਪੱਥਰ ਇਕੱਠੇ ਕਰਨ ਦਾ ਵੇਲਾ ਹੈ, ਇੱਕ ਗਲ਼ ਲੱਗਣ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਗਲ਼ ਲੱਗਣ ਤੋਂ ਦੂਰ ਰਹਿਣ ਦਾ ਵੇਲਾ ਹੈ,
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 6] ਇੱਕ ਲੱਭਣ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਗੁਆਉਣ ਦਾ ਵੇਲਾ ਹੈ, ਇੱਕ ਸੰਭਾਲਣ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਸੁੱਟ ਦੇਣ ਦਾ ਵੇਲਾ ਹੈ,
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 7] ਇੱਕ ਪਾੜਨ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਸੀਉਣ ਦਾ ਵੇਲਾ ਹੈ, ਇੱਕ ਚੁੱਪ ਰਹਿਣ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਬੋਲਣ ਦਾ ਵੇਲਾ ਹੈ,
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 8] ਇੱਕ ਪਿਆਰ ਕਰਨ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਵੈਰ ਕਰਨ ਦਾ ਵੇਲਾ ਹੈ, ਇੱਕ ਯੁੱਧ ਕਰਨ ਦਾ ਵੇਲਾ ਹੈ ਅਤੇ ਇੱਕ ਮੇਲ ਕਰਨ ਦਾ ਵੇਲਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 9] ਕੰਮ ਕਰਨ ਵਾਲੇ ਨੂੰ ਆਪਣੀ ਮਿਹਨਤ ਤੋਂ ਜੋ ਉਹ ਕਰਦਾ ਹੈ, ਕੀ ਲਾਭ ਹੈ?
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 10] ਮੈਂ ਉਸ ਕਸ਼ਟ ਨੂੰ ਵੇਖਿਆ ਹੈ, ਜੋ ਪਰਮੇਸ਼ੁਰ ਨੇ ਆਦਮ ਵੰਸ਼ ਨੂੰ ਦਿੱਤਾ ਕਿ ਉਹ ਉਸ ਦੇ ਵਿੱਚ ਰੁੱਝੇ ਰਹਿਣ।
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 11] ਉਸ ਨੇ ਹਰੇਕ ਵਸਤੂ ਆਪੋ ਆਪਣੇ ਸਮੇਂ ਵਿੱਚ ਸੁੰਦਰ ਬਣਾਈ ਹੈ ਅਤੇ ਉਸ ਨੇ ਸਦੀਪਕਤਾ ਨੂੰ ਵੀ ਉਹਨਾਂ ਦੇ ਮਨ ਵਿੱਚ ਟਿਕਾ ਦਿੱਤਾ ਹੈ, ਤਾਂ ਵੀ ਇਨਸਾਨ ਉਸ ਕੰਮ ਨੂੰ ਜੋ ਪਰਮੇਸ਼ੁਰ ਆਦ ਤੋਂ ਲੈ ਕੇ ਅੰਤ ਤੱਕ ਕਰਦਾ ਹੈ, ਬੁੱਝ ਨਹੀਂ ਸਕਦਾ।
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 12] ਮੈਂ ਸੱਚ ਜਾਣਦਾ ਹਾਂ ਕਿ ਉਹਨਾਂ ਦੇ ਲਈ ਇਸ ਨਾਲੋਂ ਵੱਧ ਹੋਰ ਕੁਝ ਚੰਗਾ ਨਹੀਂ ਕਿ ਉਹ ਅਨੰਦ ਹੋਣ ਅਤੇ ਆਪਣੇ ਜੀਉਂਦੇ ਜੀ ਭਲਿਆਈ ਕਰ ਲੈਣ
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 13] ਅਤੇ ਇਹ ਵੀ ਜੋ ਹਰੇਕ ਆਦਮੀ ਖਾਵੇ-ਪੀਵੇ ਅਤੇ ਆਪੋ ਆਪਣੇ ਧੰਦੇ ਦਾ ਲਾਭ ਭੋਗੇ, ਇਹ ਵੀ ਪਰਮੇਸ਼ੁਰ ਦੀ ਦਾਤ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 14] ਮੈਂ ਜਾਣਦਾ ਹਾਂ ਕਿ ਜੋ ਕੁਝ ਪਰਮੇਸ਼ੁਰ ਕਰਦਾ ਹੈ, ਉਹ ਸਦਾ ਦੇ ਲਈ ਹੈ, ਨਾ ਉਸ ਦੇ ਵਿੱਚ ਕੋਈ ਵਾਧਾ ਹੋ ਸਕਦਾ ਹੈ ਅਤੇ ਨਾ ਉਸ ਵਿੱਚ ਕੋਈ ਘਾਟਾ ਹੋ ਸਕਦਾ ਹੈ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਇਹ ਇਸ ਲਈ ਕਰਦਾ ਹੈ ਕਿ ਲੋਕ ਉਸ ਤੋਂ ਡਰਦੇ ਰਹਿਣ।
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 15] ਜੋ ਕੁਝ ਹੋਇਆ ਸੀ, ਉਹ ਹੁਣ ਵੀ ਹੈ ਅਤੇ ਜੋ ਕੁਝ ਹੋਣ ਵਾਲਾ ਹੈ, ਉਹ ਪਹਿਲਾਂ ਵੀ ਹੋ ਚੁੱਕਾ ਹੈ ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਬੀਤੇ ਹੋਏ ਦੀ ਫੇਰ ਭਾਲ ਕਰਦਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 16] ਫੇਰ ਮੈਂ ਸੂਰਜ ਦੇ ਹੇਠ ਵੇਖਿਆ ਕਿ ਨਿਆਂ ਦੇ ਥਾਂ ਤੇ ਦੁਸ਼ਟਤਾ ਹੁੰਦੀ ਹੈ ਅਤੇ ਧਰਮ ਦੇ ਥਾਂ ਤੇ ਵੀ ਦੁਸ਼ਟਤਾ ਹੁੰਦੀ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 17] ਤਦ ਮੈਂ ਆਪਣੇ ਮਨ ਵਿੱਚ ਆਖਿਆ ਕਿ ਪਰਮੇਸ਼ੁਰ ਧਰਮੀਆਂ ਅਤੇ ਦੁਸ਼ਟਾਂ ਦਾ ਨਿਆਂ ਕਰੇਗਾ ਕਿਉਂ ਜੋ ਇੱਕ-ਇੱਕ ਗੱਲ ਦਾ ਅਤੇ ਇੱਕ-ਇੱਕ ਕੰਮ ਦਾ ਇੱਕ ਵੇਲਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 18] ਮੈਂ ਆਪਣੇ ਮਨ ਵਿੱਚ ਆਖਿਆ ਕਿ ਇਹ ਆਦਮ ਵੰਸ਼ੀਆਂ ਦੇ ਕਾਰਨ ਹੁੰਦਾ ਹੈ, ਤਾਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਉਹਨਾਂ ਨੂੰ ਜਾਂਚੇ ਅਤੇ ਉਹ ਵੇਖਣ ਕਿ ਉਹ ਆਪ ਪਸ਼ੂਆਂ ਵਰਗੇ ਹੀ ਹਨ।
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 19] ਕਿਉਂਕਿ ਜੋ ਕੁਝ ਆਦਮ ਵੰਸ਼ ਉੱਤੇ ਬੀਤਦਾ ਹੈ, ਉਹ ਹੀ ਪਸ਼ੂ ਉੱਤੇ ਵੀ ਬੀਤਦਾ ਹੈ, ਦੋਹਾਂ ਉੱਤੇ ਇੱਕੋ ਜਿਹੀ ਹੀ ਬੀਤਦੀ ਹੈ, - ਜਿਵੇਂ ਇਹ ਮਰਦਾ ਹੈ, ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਉਹ ਵੀ ਮਰਦਾ ਹੈ, ਹਾਂ, ਸਭਨਾਂ ਵਿੱਚ ਇੱਕੋ ਜਿਹਾ ਸਾਹ ਹੈ ਅਤੇ ਮਨੁੱਖ ਪਸ਼ੂ ਨਾਲੋਂ ਕੁਝ ਉੱਤਮ ਨਹੀਂ ਹੈ। ਹਾਂ, ਸਭ ਵਿਅਰਥ ਹੀ ਹੈ!
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 20] ਸਾਰਿਆਂ ਦੇ ਸਾਰੇ ਇੱਕੋ ਥਾਂ ਜਾਂਦੇ ਹਨ, ਸਭ ਦੇ ਸਭ ਮਿੱਟੀ ਦੇ ਵਿੱਚ ਜਾ ਰਲਦੇ ਹਨ।
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 21] ਕੌਣ ਜਾਣਦਾ ਹੈ ਕਿ ਆਦਮ ਵੰਸ਼ੀ ਦਾ ਆਤਮਾ ਉੱਪਰ ਵੱਲ ਚੜ੍ਹਦਾ ਹੈ ਅਤੇ ਪਸ਼ੂਆਂ ਦਾ ਆਤਮਾ ਧਰਤੀ ਵੱਲ ਹੇਠਾਂ ਉੱਤਰਦਾ ਹੈ?
[IRV | PA | OT | Ecclesiastes | Chapter 3 | Verse 22] ਇਸ ਲਈ ਮੈਂ ਵੇਖਿਆ ਕਿ ਮਨੁੱਖ ਦੇ ਲਈ ਇਸ ਨਾਲੋਂ ਚੰਗੀ ਹੋਰ ਕੋਈ ਗੱਲ ਨਹੀਂ ਕਿ ਉਹ ਆਪਣੇ ਕੰਮ-ਧੰਦੇ ਵਿੱਚ ਅਨੰਦ ਰਿਹਾ ਕਰੇ, ਕਿਉਂ ਜੋ ਉਸ ਦਾ ਭਾਗ ਇਹੋ ਹੈ, ਕਿਉਂਕਿ ਜੋ ਕੁਝ ਉਹ ਦੇ ਬਾਅਦ ਹੋਵੇਗਾ ਉਸ ਨੂੰ ਵੇਖਣ ਲਈ ਨੂੰ ਕੌਣ ਉਹ ਨੂੰ ਮੋੜ ਲਿਆਵੇਗਾ?
