[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 1] ਨੇਕਨਾਮੀ ਮਹਿੰਗੇ ਅਤਰ ਨਾਲੋਂ ਅਤੇ ਮਰਨ ਦਾ ਦਿਨ ਜੰਮਣ ਦੇ ਦਿਨ ਨਾਲੋਂ ਚੰਗਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 2] ਸੋਗ ਵਾਲੇ ਘਰ ਵਿੱਚ ਜਾਣਾ ਦਾਵਤ ਵਾਲੇ ਘਰ ਵਿੱਚ ਜਾਣ ਨਾਲੋਂ ਚੰਗਾ ਹੈ, ਕਿਉਂ ਜੋ ਸਾਰੇ ਮਨੁੱਖਾਂ ਦਾ ਅੰਤ ਇਹੋ ਹੈ ਅਤੇ ਜੀਉਂਦੇ ਆਪਣੇ ਦਿਲ ਵਿੱਚ ਇਸ ਉੱਤੇ ਵਿਚਾਰ ਕਰਨਗੇ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 3] ਹਾਸੇ ਨਾਲੋਂ ਦੁੱਖ ਚੰਗਾ ਹੈ, ਕਿਉਂ ਜੋ ਮੂੰਹ ਦੀ ਉਦਾਸੀ ਨਾਲ ਮਨ ਸੁਧਰ ਜਾਂਦਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 4] ਬੁੱਧਵਾਨ ਦਾ ਦਿਲ ਸੋਗ ਵਾਲੇ ਘਰ ਵੱਲ ਲੱਗਿਆ ਰਹਿੰਦਾ ਹੈ, ਪਰ ਮੂਰਖ ਦਾ ਦਿਲ ਅਨੰਦ ਦੇ ਘਰ ਵਿੱਚ ਲੱਗਾ ਰਹਿੰਦਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 5] ਮੂਰਖਾਂ ਦੇ ਗੀਤ ਸੁਣਨ ਨਾਲੋਂ ਬੁੱਧਵਾਨ ਦੀ ਝਿੜਕ ਸੁਣਨੀ ਮਨੁੱਖ ਦੇ ਲਈ ਚੰਗੀ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 6] ਕਿਉਂਕਿ ਜਿਵੇਂ ਕੜਾਹੇ ਦੇ ਹੇਠ ਕੰਡਿਆਂ ਦੀ ਅੱਗ ਨਾਲ ਪਟਾਕਾ ਹੁੰਦਾ ਹੈ, ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਮੂਰਖ ਦਾ ਹਾਸਾ ਹੈ, ਇਹ ਵੀ ਵਿਅਰਥ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 7] ਸੱਚ-ਮੁੱਚ ਸਖਤੀ ਬੁੱਧਵਾਨ ਨੂੰ ਕਮਲਾ ਬਣਾ ਦਿੰਦੀ ਹੈ ਅਤੇ ਰਿਸ਼ਵਤ ਬੁੱਧ ਨੂੰ ਵਿਗਾੜ ਦਿੰਦੀ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 8] ਕਿਸੇ ਗੱਲ ਦਾ ਅੰਤ ਉਸ ਦੇ ਅਰੰਭ ਨਾਲੋਂ ਭਲਾ ਹੈ ਅਤੇ ਧੀਰਜਵਾਨ ਹੰਕਾਰੀ ਨਾਲੋਂ ਚੰਗਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 9] ਤੂੰ ਆਪਣੇ ਮਨ ਵਿੱਚ ਛੇਤੀ ਨਾਲ ਕ੍ਰੋਧ ਨਾ ਕਰ, ਕਿਉਂ ਜੋ ਕ੍ਰੋਧ ਮੂਰਖਾਂ ਦੇ ਦਿਲ ਵਿੱਚ ਰਹਿੰਦਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 10] ਇਹ ਨਾ ਆਖ ਕਿ ਪਿਛਲੇ ਦਿਨ ਇਹਨਾਂ ਦਿਨਾਂ ਨਾਲੋਂ ਕਿਉਂ ਚੰਗੇ ਸਨ? ਕਿਉਂ ਜੋ ਤੂੰ ਬੁੱਧ ਨਾਲ ਇਸ ਦੇ ਬਾਰੇ ਨਹੀਂ ਪੁੱਛਦਾ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 11] ਵਿਰਾਸਤ ਦੇ ਵਾਂਗੂੰ ਬੁੱਧ ਚੰਗੀ ਹੈ ਅਤੇ ਜਿਉਂਦਿਆਂ ਲਈ ਲਾਭਕਾਰੀ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 12] ਕਿਉਂ ਜੋ ਬੁੱਧ ਦਾ ਸਹਾਰਾ ਧਨ ਦੇ ਸਹਾਰੇ ਵਰਗਾ ਹੈ, ਪਰ ਗਿਆਨ ਦਾ ਇੱਕ ਇਹ ਲਾਭ ਹੈ, ਜੋ ਬੁੱਧ ਆਪਣੇ ਰੱਖਣ ਵਾਲਿਆਂ ਦੀ ਜਾਨ ਦੀ ਰਾਖੀ ਕਰਦੀ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 7 | Verse 13] ਪਰਮੇਸ਼ੁਰ ਦੇ ਕੰਮ ਨੂੰ ਵੇਖ, ਜਿਸ ਨੂੰ ਉਹ ਨੇ ਟੇਡਾ ਕੀਤਾ ਹੈ, ਉਸ ਨੂੰ ਕੌਣ ਸਿੱਧਾ ਕਰ ਸਕਦਾ ਹੈ?
