[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 1] ਜਿਸ ਵੇਲੇ ਤੂੰ ਪਰਮੇਸ਼ੁਰ ਦੇ ਘਰ ਵਿੱਚ ਜਾਵੇ ਤਾਂ ਆਪਣੇ ਪੈਰ ਚੌਕਸੀ ਨਾਲ ਰੱਖ, ਕਿਉਂਕਿ ਸੁਣਨ ਲਈ ਨਜ਼ਦੀਕ ਆਉਣਾ ਮੂਰਖਾਂ ਦੇ ਬਲੀ ਚੜ੍ਹਾਉਣ ਨਾਲੋਂ ਚੰਗਾ ਹੈ, ਕਿਉਂ ਜੋ ਉਹ ਨਹੀਂ ਸਮਝਦੇ ਕਿ ਉਹ ਬੁਰਿਆਈ ਕਰਦੇ ਹਨ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 2] ਗੱਲਾਂ ਕਰਨ ਵਿੱਚ ਜਲਦਬਾਜ਼ੀ ਨਾ ਕਰ ਅਤੇ ਤੇਰਾ ਮਨ ਪਰਮੇਸ਼ੁਰ ਦੇ ਸਾਹਮਣੇ ਛੇਤੀ ਨਾਲ ਕੁਝ ਨਾ ਆਖੇ, ਕਿਉਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਸਵਰਗ ਵਿੱਚ ਹੈ ਅਤੇ ਤੂੰ ਧਰਤੀ ਉੱਤੇ ਹੈਂ, ਇਸ ਲਈ ਤੇਰੀਆਂ ਗੱਲਾਂ ਥੋੜ੍ਹੀਆਂ ਹੀ ਹੋਣ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 3] ਕਿਉਂਕਿ ਕੰਮ ਵੱਧ ਹੋਣ ਕਰਕੇ ਸੁਫ਼ਨਾ ਆਉਂਦਾ ਹੈ ਅਤੇ ਵੱਧ ਗੱਲਾਂ ਕਰਨ ਵਾਲਾ ਮੂਰਖ ਠਹਿਰਦਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 4] ਜਦ ਤੂੰ ਪਰਮੇਸ਼ੁਰ ਦੇ ਅੱਗੇ ਸੁੱਖਣਾ ਸੁੱਖੇਂ ਤਾਂ ਉਹ ਦੇ ਵਿੱਚ ਢਿੱਲ ਨਾ ਕਰ, ਕਿਉਂ ਜੋ ਉਹ ਮੂਰਖਾਂ ਤੋਂ ਪ੍ਰਸੰਨ ਨਹੀਂ ਹੁੰਦਾ। ਜੋ ਸੁੱਖਣਾ ਤੂੰ ਸੁੱਖੀ ਹੈ, ਉਸ ਨੂੰ ਪੂਰਾ ਕਰ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 5] ਤੇਰੇ ਸੁੱਖਣਾ ਸੁੱਖ ਕੇ ਪੂਰੀ ਨਾ ਕਰਨ ਨਾਲੋਂ, ਨਾ ਸੁੱਖਣਾ ਹੀ ਚੰਗਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 6] ਤੇਰਾ ਮੂੰਹ ਤੇਰੇ ਸਰੀਰ ਤੋਂ ਪਾਪ ਨਾ ਕਰਾਵੇ ਅਤੇ ਦੂਤ ਦੇ ਅੱਗੇ ਇਹ ਨਾ ਆਖੀਂ ਕਿ ਇਹ ਭੁੱਲ ਨਾਲ ਹੋਇਆ। ਪਰਮੇਸ਼ੁਰ ਤੇਰੀ ਅਵਾਜ਼ ਨਾਲ ਕਿਉਂ ਕ੍ਰੋਧਿਤ ਹੋਵੇ ਅਤੇ ਤੇਰੇ ਹੱਥਾਂ ਦਾ ਕੰਮ ਬਰਬਾਦ ਕਰੇ?
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 7] ਸੁਫ਼ਨਿਆਂ ਦੇ ਵਾਧੇ ਅਤੇ ਬਹੁਤੀਆਂ ਗੱਲਾਂ ਵਿਅਰਥ ਹਨ, ਪਰ ਤੂੰ ਪਰਮੇਸ਼ੁਰ ਕੋਲੋਂ ਡਰ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 8] ਜੇਕਰ ਤੂੰ ਕਿਸੇ ਸੂਬੇ ਵਿੱਚ ਗਰੀਬਾਂ ਉੱਤੇ ਹਨੇਰ ਅਤੇ ਨਿਆਂ ਅਤੇ ਸਚਿਆਈ ਦਾ ਵੱਡਾ ਵਿਗਾੜ ਵੇਖੇਂ, ਤਾਂ ਉਸ ਗੱਲ ਉੱਤੇ ਹੈਰਾਨ ਨਾ ਹੋ, ਕਿਉਂਕਿ ਉਹ ਜੋ ਵੱਡਿਆਂ ਨਾਲੋਂ ਵੱਡਾ ਹੈ, ਵੇਖਦਾ ਹੈ ਅਤੇ ਉਹਨਾਂ ਉੱਤੇ ਹੋਰ ਵੀ ਵੱਡੇ ਅਧਿਕਾਰੀ ਰਹਿੰਦੇ ਹਨ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 9] ਧਰਤੀ ਦੀ ਉਪਜ ਸਭ ਦੇ ਲਈ ਹੈ, ਸਗੋਂ ਖੇਤੀਬਾੜੀ ਨਾਲ ਰਾਜਾ ਨੂੰ ਵੀ ਲਾਭ ਹੁੰਦਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 10] ਉਹ ਜੋ ਚਾਂਦੀ ਨੂੰ ਲੋਚਦਾ ਹੈ, ਸੋ ਚਾਂਦੀ ਨਾਲ ਨਾ ਰੱਜੇਗਾ ਅਤੇ ਜਿਹੜਾ ਧਨ ਚਾਹੁੰਦਾ ਹੈ, ਉਹ ਉਸ ਦੇ ਵਾਧੇ ਨਾਲ ਨਾ ਰੱਜੇਗਾ, ਇਹ ਵੀ ਵਿਅਰਥ ਹੀ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 11] ਜਦ ਮਾਲ-ਧਨ ਦਾ ਵਾਧਾ ਹੁੰਦਾ ਹੈ ਤਾਂ ਉਹ ਦੇ ਖਾਣ ਵਾਲੇ ਵੀ ਵੱਧ ਜਾਂਦੇ ਹਨ ਅਤੇ ਉਸ ਦੇ ਮਾਲਕ ਨੂੰ ਇਸ ਨਾਲੋਂ ਹੋਰ ਕੀ ਲਾਭ ਹੈ ਕਿ ਉਹ ਨੂੰ ਆਪਣੀਆਂ ਅੱਖਾਂ ਨਾਲ ਵੇਖੇ?
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 12] ਮਜ਼ਦੂਰ ਦੀ ਨੀਂਦ ਮਿੱਠੀ ਹੁੰਦੀ ਹੈ, ਭਾਵੇਂ ਉਹ ਥੋੜ੍ਹਾ ਖਾਵੇ ਭਾਵੇਂ ਬਹੁਤ, ਪਰ ਧਨੀ ਦਾ ਵਾਧਾ ਉਸ ਨੂੰ ਸੌਣ ਨਹੀਂ ਦਿੰਦਾ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 13] ਇੱਕ ਵੱਡੀ ਬਿਪਤਾ ਹੈ ਜੋ ਮੈਂ ਸੂਰਜ ਦੇ ਹੇਠ ਵੇਖੀ ਕਿ ਧਨ ਆਪਣੇ ਮਾਲਕ ਦੀ ਹਾਨੀ ਦੇ ਲਈ ਸਾਂਭਿਆ ਜਾਂਦਾ ਹੈ
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 14] ਅਤੇ ਉਹ ਧਨ ਕਿਸੇ ਬੁਰੇ ਕੰਮ ਵਿੱਚ ਨਾਸ ਹੋ ਜਾਂਦਾ ਹੈ, ਫੇਰ ਉਸ ਦੇ ਇੱਕ ਪੁੱਤਰ ਜੰਮਦਾ ਹੈ ਅਤੇ ਉਸ ਵੇਲੇ ਉਹ ਦੇ ਹੱਥ ਵਿੱਚ ਕੁਝ ਨਹੀਂ ਰਹਿੰਦਾ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 15] ਜਿਵੇਂ ਉਹ ਆਪਣੀ ਮਾਂ ਦੇ ਢਿੱਡ ਵਿੱਚੋਂ ਨੰਗਾ ਨਿੱਕਲਿਆ, ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਮੁੜ ਜਾਵੇਗਾ ਅਤੇ ਆਪਣੀ ਕਮਾਈ ਵਿੱਚੋਂ ਨਾਲ ਕੁਝ ਨਾ ਰੱਖੇਗਾ, ਜੋ ਆਪਣੇ ਹੱਥ ਵਿੱਚ ਲੈ ਜਾਵੇ।
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 16] ਇਹ ਵੀ ਵੱਡੀ ਬਿਪਤਾ ਹੈ ਕਿ ਜਿਵੇਂ ਉਹ ਆਇਆ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਜਾਵੇਗਾ ਅਤੇ ਜਿਸ ਨੇ ਹਵਾ ਲਈ ਮਿਹਨਤ ਕੀਤੀ ਉਸ ਨੂੰ ਕੀ ਲਾਭ ਹੈ?
[IRV | PA | OT | Ecclesiastes | Chapter 5 | Verse 17] ਉਹ ਆਪਣੀ ਸਾਰੀ ਉਮਰ ਹਨੇਰੇ ਵਿੱਚ ਹੈ ਅਤੇ ਬਹੁਤ ਦੁਖੀ ਅਤੇ ਬਿਮਾਰ ਰਿਹਾ ਅਤੇ ਕ੍ਰੋਧ ਕਰਦਾ ਰਿਹਾ।
