[IRV | PA | OT | Ecclesiastes | Chapter 1 | Verse 1] ਲੁੱਕ ਯਰੂਸ਼ਲਮ ਦੇ ਰਾਜਾ, ਦਾਊਦ ਦੇ ਪੁੱਤਰ ਉਪਦੇਸ਼ਕ ਦੇ ਬਚਨ।
[IRV | PA | OT | Ecclesiastes | Chapter 1 | Verse 2] ਉਪਦੇਸ਼ਕ ਆਖਦਾ ਹੈ, ਵਿਅਰਥ ਹੀ ਵਿਅਰਥ, ਵਿਅਰਥ ਹੀ ਵਿਅਰਥ, ਸਭ ਕੁਝ ਵਿਅਰਥ ਹੈ!
[IRV | PA | OT | Ecclesiastes | Chapter 1 | Verse 3] ਆਦਮੀ ਨੂੰ ਉਸ ਸਾਰੀ ਮਿਹਨਤ ਤੋਂ ਕੀ ਲਾਭ ਹੁੰਦਾ ਹੈ, ਜੋ ਉਹ ਸੂਰਜ ਦੇ ਹੇਠ ਕਰਦਾ ਹੈ?
[IRV | PA | OT | Ecclesiastes | Chapter 1 | Verse 4] ਇੱਕ ਪੀੜ੍ਹੀ ਚਲੀ ਜਾਂਦੀ ਹੈ ਅਤੇ ਦੂਜੀ ਆ ਜਾਂਦੀ ਹੈ, ਪਰ ਧਰਤੀ ਸਦਾ ਅਟੱਲ ਰਹਿੰਦੀ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 1 | Verse 5] ਸੂਰਜ ਚੜ੍ਹਦਾ ਹੈ ਅਤੇ ਸੂਰਜ ਲਹਿੰਦਾ ਹੈ ਅਤੇ ਆਪਣੇ ਉਸ ਸਥਾਨ ਵੱਲ ਤੇਜ਼ੀ ਨਾਲ ਜਾਂਦਾ ਹੈ, ਜਿੱਥੋਂ ਉਹ ਚੜ੍ਹਦਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 1 | Verse 6] ਪੌਣ ਦੱਖਣ ਵੱਲ ਚਲੀ ਜਾਂਦੀ ਹੈ, ਫੇਰ ਉੱਤਰ ਵੱਲ ਮੁੜ ਪੈਂਦੀ ਹੈ, ਇਹ ਸਦਾ ਘੁੰਮਦੀ ਫਿਰਦੀ ਹੈ ਅਤੇ ਆਪਣੇ ਚੱਕਰ ਅਨੁਸਾਰ ਮੁੜ ਜਾਂਦੀ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 1 | Verse 7] ਸਾਰੀਆਂ ਨਦੀਆਂ ਸਮੁੰਦਰ ਵਿੱਚ ਜਾ ਪੈਂਦੀਆਂ ਹਨ, ਪਰ ਸਮੁੰਦਰ ਨਹੀਂ ਭਰਦਾ। ਉਹ ਓਸੇ ਸਥਾਨ ਨੂੰ ਮੁੜ ਜਾਂਦੀਆਂ ਹਨ, ਜਿੱਥੋਂ ਨਦੀਆਂ ਨਿੱਕਲਦੀਆਂ ਹਨ।
[IRV | PA | OT | Ecclesiastes | Chapter 1 | Verse 8] ਇਹ ਸਾਰੀਆਂ ਗੱਲਾਂ ਥਕਾਉਣ ਵਾਲੀਆਂ ਹਨ, ਮਨੁੱਖ ਇਨ੍ਹਾਂ ਦਾ ਬਿਆਨ ਨਹੀਂ ਕਰ ਸਕਦਾ, ਅੱਖ ਵੇਖਣ ਨਾਲ ਨਹੀਂ ਰੱਜਦੀ ਅਤੇ ਕੰਨ ਸੁਣਨ ਨਾਲ ਨਹੀਂ ਭਰਦਾ।
[IRV | PA | OT | Ecclesiastes | Chapter 1 | Verse 9] ਜੋ ਹੋਇਆ ਉਹੋ ਫੇਰ ਹੋਵੇਗਾ, ਜੋ ਕੀਤਾ ਗਿਆ ਹੈ ਉਹ ਫੇਰ ਕੀਤਾ ਜਾਵੇਗਾ ਅਤੇ ਸੂਰਜ ਦੇ ਹੇਠ ਕੋਈ ਗੱਲ ਨਵੀਂ ਨਹੀਂ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 1 | Verse 10] ਕੀ ਕੋਈ ਅਜਿਹੀ ਗੱਲ ਹੈ ਜਿਸ ਨੂੰ ਅਸੀਂ ਆਖ ਸਕੀਏ, ਵੇਖੋ, ਇਹ ਨਵੀਂ ਹੈ? ਉਹ ਤਾਂ ਪੁਰਾਣਿਆਂ ਸਮਿਆਂ ਵਿੱਚ ਹੋਈ, ਜੋ ਸਾਡੇ ਨਾਲੋਂ ਪਹਿਲਾਂ ਸਨ।
[IRV | PA | OT | Ecclesiastes | Chapter 1 | Verse 11] ਪਹਿਲੀਆਂ ਗੱਲਾਂ ਦਾ ਕੁਝ ਚੇਤਾ ਨਹੀਂ ਅਤੇ ਆਉਣ ਵਾਲੀਆਂ ਗੱਲਾਂ ਦਾ ਉਹਨਾਂ ਤੋਂ ਬਾਅਦ ਆਉਣ ਵਾਲਿਆਂ ਨੂੰ ਕੋਈ ਚੇਤਾ ਨਾ ਰਹੇਗਾ।
