[IRV | PA | OT | Ecclesiastes | Chapter 4 | Verse 1] ਤਦ ਮੈਂ ਫੇਰ ਮੁੜ ਕੇ ਸਾਰੇ ਹਨੇਰ ਨੂੰ ਵੇਖਿਆ ਜੋ ਸੂਰਜ ਦੇ ਹੇਠ ਹੁੰਦਾ ਹੈ ਅਤੇ ਵੇਖੋ ਸਤਾਇਆਂ ਹੋਇਆਂ ਦੇ ਹੰਝੂ ਵਗਦੇ ਸਨ ਅਤੇ ਉਹਨਾਂ ਨੂੰ ਦਿਲਾਸਾ ਦੇਣ ਵਾਲਾ ਕੋਈ ਨਹੀਂ ਸੀ ਅਤੇ ਉਹਨਾਂ ਉੱਤੇ ਹਨੇਰ ਕਰਨ ਵਾਲੇ ਬਲਵੰਤ ਸਨ ਪਰ ਉਹਨਾਂ ਨੂੰ ਦਿਲਾਸਾ ਦੇਣ ਵਾਲਾ ਕੋਈ ਨਾ ਰਿਹਾ।
[IRV | PA | OT | Ecclesiastes | Chapter 4 | Verse 2] ਇਸ ਲਈ ਮੈਂ ਮੁਰਦਿਆਂ ਦੀ ਜੋ ਪਹਿਲਾਂ ਮਰ ਚੁੱਕੇ ਸਨ, ਉਹਨਾਂ ਜੀਉਂਦਿਆਂ ਨਾਲੋਂ ਜੋ ਹੁਣ ਜੀਉਂਦੇ ਹਨ, ਸਰਾਹੁਣਾ ਕੀਤੀ
[IRV | PA | OT | Ecclesiastes | Chapter 4 | Verse 3] ਪਰ ਦੋਹਾਂ ਨਾਲੋਂ ਜ਼ਿਆਦਾ ਚੰਗਾ ਉਹ ਹੈ ਜੋ ਅਜੇ ਹੋਇਆ ਹੀ ਨਹੀਂ, ਜਿਸ ਨੇ ਹੁਣੇ ਤੱਕ ਸੂਰਜ ਦੇ ਹੇਠ ਦਾ ਭੈੜਾ ਕੰਮ ਨਹੀਂ ਵੇਖਿਆ।
[IRV | PA | OT | Ecclesiastes | Chapter 4 | Verse 4] ਇਸ ਤੋਂ ਬਾਅਦ ਮੈਂ ਸਾਰੀ ਮਿਹਨਤ ਅਤੇ ਸਾਰੀ ਕਾਮਯਾਬੀ ਨੂੰ ਵੇਖਿਆ, ਜੋ ਮਨੁੱਖ ਦੀ ਆਪਣੇ ਗੁਆਂਢੀ ਨਾਲ ਈਰਖਾ ਦੇ ਕਾਰਨ ਹੈ। ਇਹ ਵੀ ਵਿਅਰਥ ਅਤੇ ਹਵਾ ਦਾ ਫੱਕਣਾ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 4 | Verse 5] ਮੂਰਖ ਆਪਣੇ ਹੱਥ ਉੱਤੇ ਹੱਥ ਰੱਖਦਾ ਹੈ ਅਤੇ ਆਪਣਾ ਵਿਨਾਸ਼ ਆਪ ਹੀ ਕਰਦਾ ਹੈ l
[IRV | PA | OT | Ecclesiastes | Chapter 4 | Verse 6] ਸੁੱਖ ਦਾ ਇੱਕ ਮੁੱਠੀ ਭਰ ਉਨ੍ਹਾਂ ਦੋ ਮੁੱਠੀਆਂ ਨਾਲੋਂ ਚੰਗਾ ਹੈ, ਜਿਸ ਦੇ ਵਿੱਚ ਕਸ਼ਟ ਅਤੇ ਹਵਾ ਦਾ ਫੱਕਣਾ ਹੋਵੇ।
[IRV | PA | OT | Ecclesiastes | Chapter 4 | Verse 7] ਤਦ ਮੈਂ ਫੇਰ ਸੂਰਜ ਦੇ ਹੇਠ ਹੋਣ ਵਾਲੇ ਵਿਅਰਥ ਨੂੰ ਵੇਖਿਆ,
[IRV | PA | OT | Ecclesiastes | Chapter 4 | Verse 8] ਕੋਈ ਤਾਂ ਇਕੱਲਾ ਹੈ ਅਤੇ ਉਸ ਦੇ ਨਾਲ ਕੋਈ ਦੂਜਾ ਨਹੀਂ, ਨਾ ਉਸ ਦਾ ਪੁੱਤਰ ਹੈ ਨਾ ਭਰਾ, ਤਾਂ ਵੀ ਉਹ ਦੇ ਸਾਰੇ ਧੰਦੇ ਦਾ ਅੰਤ ਨਹੀਂ ਅਤੇ ਉਸ ਦੀ ਅੱਖ ਧਨ ਨਾਲ ਨਹੀਂ ਰੱਜਦੀ, ਨਾ ਹੀ ਉਹ ਆਖਦਾ ਹੈ ਕਿ ਮੈਂ ਕਿਸ ਦੇ ਲਈ ਮਿਹਨਤ ਕਰਦਾ ਹਾਂ ਅਤੇ ਆਪਣੀ ਜਿੰਦ ਦੇ ਸੁੱਖ ਨੂੰ ਗੁਆਉਂਦਾ ਹਾਂ? ਇਹ ਵੀ ਵਿਅਰਥ ਅਤੇ ਬੁਰਾ ਕਸ਼ਟ ਹੈ।
[IRV | PA | OT | Ecclesiastes | Chapter 4 | Verse 9] ਇੱਕ ਨਾਲੋਂ ਦੋ ਚੰਗੇ ਹਨ, ਕਿਉਂ ਜੋ ਉਨ੍ਹਾਂ ਦੀ ਮਿਹਨਤ ਤੋਂ ਚੰਗਾ ਫਲ ਮਿਲਦਾ ਹੈ,
[IRV | PA | OT | Ecclesiastes | Chapter 4 | Verse 10] ਕਿਉਂਕਿ ਜੇ ਉਹ ਡਿੱਗ ਪੈਣ ਤਾਂ ਇੱਕ ਜਣਾ ਦੂਜੇ ਨੂੰ ਚੁੱਕੇਗਾ, ਪਰ ਹਾਏ ਉਹ ਦੇ ਉੱਤੇ ਜਿਹੜਾ ਇਕੱਲਾ ਡਿੱਗਦਾ ਹੈ, ਕਿਉਂ ਜੋ ਉਸ ਦੇ ਲਈ ਕੋਈ ਦੂਜਾ ਨਹੀਂ ਜੋ ਉਹ ਨੂੰ ਚੁੱਕ ਕੇ ਖੜ੍ਹਾ ਕਰੇ!
[IRV | PA | OT | Ecclesiastes | Chapter 4 | Verse 11] ਫੇਰ ਜੇ ਦੋ ਇਕੱਠੇ ਲੰਮੇ ਪੈਣ ਤਾਂ ਉਹ ਗਰਮ ਹੁੰਦੇ ਹਨ ਪਰ ਇਕੱਲਾ ਕਿਸ ਤਰ੍ਹਾਂ ਗਰਮ ਹੋ ਸਕਦਾ ਹੈ?
