[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 1] ഞാനും, സഹോദരന്മാരേ, നിങ്ങളുടെ അടുക്കൽ വന്നപ്പോൾ വചനത്തിന്റെയോ ജ്ഞാനത്തിന്റെയോ വൈഭവം കൂടാതെയത്രേ ദൈവത്തിന്റെ സാക്ഷ്യം നിങ്ങളോടു പ്രസ്താവിപ്പാൻ വന്നതു.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 2] ക്രൂശിക്കപ്പെട്ടവനായ യേശുക്രിസ്തുവിനെ അല്ലാതെ മറ്റൊന്നും അറിയാത്തവനായി നിങ്ങളുടെ ഇടയിൽ ഇരിക്കേണം എന്നു ഞാൻ നിർണ്ണയിച്ചു.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 3] ഞാൻ ബലഹീനതയോടും ഭയത്തോടും വളരെ നടുക്കത്തോടുംകൂടെ നിങ്ങളുടെ ഇടയിൽ ഇരുന്നു.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 4] നിങ്ങളുടെ വിശ്വാസത്തിന്നു മനുഷ്യരുടെ ജ്ഞാനമല്ല, ദൈവത്തിന്റെ ശക്തി തന്നേ ആധാരമായിരിക്കേണ്ടതിന്നു
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 5] എന്റെ വചനവും എന്റെ പ്രസംഗവും ജ്ഞാനത്തിന്റെ വശീകരണവാക്കുകളാൽ അല്ല, ആത്മാവിന്റെയും ശക്തിയുടെയും പ്രദർശനത്താലത്രേ ആയിരുന്നതു.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 6] എന്നാൽ തികഞ്ഞവരുടെ ഇടയിൽ ഞങ്ങൾ ജ്ഞാനം സംസാരിക്കുന്നു; ഈ ലോകത്തിന്റെ ജ്ഞാനമല്ല, നശിച്ചുപോകുന്നവരായ ഈ ലോകത്തിന്റെ പ്രഭുക്കന്മാരുടെ ജ്ഞാനവുമല്ല;
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 7] ദൈവം ലോകസൃഷ്ടിക്കു മുമ്പെ നമ്മുടെ തേജസ്സിന്നായി മുന്നിയമിച്ചതും മറഞ്ഞിരുന്നതുമായ ദൈവത്തിന്റെ ജ്ഞാനമത്രേ മർമ്മമായി ഞങ്ങൾ പ്രസ്താവിക്കുന്നു.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 8] അതു ഈ ലോകത്തിന്റെ പ്രഭുക്കന്മാർ ആരും അറിഞ്ഞില്ല; അറിഞ്ഞിരുന്നു എങ്കിൽ അവർ തേജസ്സിന്റെ കർത്താവിനെ ക്രൂശിക്കയില്ലായിരുന്നു.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 9] “ദൈവം തന്നെ സ്നേഹിക്കുന്നവർക്കു ഒരുക്കീട്ടുള്ളതു കണ്ണു കണ്ടിട്ടില്ല ചെവി കേട്ടിട്ടില്ല, ഒരു മനുഷ്യന്റെയും ഹൃദയത്തിൽ തോന്നീട്ടുമില്ല” എന്നു എഴുതിയിരിക്കുന്നതുപോലെ തന്നേ.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 10] നമുക്കോ ദൈവം തന്റെ ആത്മാവിനാൽ വെളിപ്പെടുത്തിയിരിക്കുന്നു; ആത്മാവു സകലത്തെയും ദൈവത്തിന്റെ ആഴങ്ങളെയും ആരായുന്നു.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 11] മനുഷ്യനിലുള്ളതു അവനിലെ മാനുഷാത്മാവല്ലാതെ മനുഷ്യരിൽ ആർ അറിയും? അവ്വണ്ണം തന്നേ ദൈവത്തിലുള്ളതു ദൈവാത്മാവല്ലാതെ ആരും ഗ്രഹിച്ചിട്ടില്ല.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 12] നാമോ ലോകത്തിന്റെ ആത്മാവിനെ അല്ല, ദൈവം നമുക്കു നല്കിയതു അറിവാനായി ദൈവത്തിൽനിന്നുള്ള ആത്മാവിനെ അത്രേ പ്രാപിച്ചതു.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 13] അതു ഞങ്ങൾ മാനുഷജ്ഞാനം ഉപദേശിക്കുന്ന വചനങ്ങളാൽ അല്ല, ആത്മാവു ഉപദേശിക്കുന്ന വചനങ്ങളാൽ തന്നേ പ്രസ്താവിച്ചുകൊണ്ടു ആത്മികന്മാർക്കു ആത്മികമായതു തെളിയിക്കുന്നു.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 14] എന്നാൽ പ്രാകൃത മനുഷ്യൻ ദൈവാത്മാവിന്റെ ഉപദേശം കൈക്കൊള്ളുന്നില്ല; അതു അവന്നു ഭോഷത്വം ആകുന്നു; ആത്മികമായി വിവേചിക്കേണ്ടതാകയാൽ അതു അവന്നു ഗ്രഹിപ്പാൻ കഴിയുന്നതുമല്ല.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 15] ആത്മികനോ സകലത്തെയും വിവേചിക്കുന്നു; താൻ ആരാലും വിവേചിക്കപ്പെടുന്നതുമില്ല.
[IRV | ML | NT | 1 Corinthians | Chapter 2 | Verse 16] കർത്താവിന്റെ മനസ്സു അറിഞ്ഞു അവനെ ഗ്രഹിപ്പിക്കാകുന്നവൻ ആർ? നാമോ ക്രിസ്തുവിന്റെ മനസ്സുള്ളവർ ആകുന്നു.
