[BSB | EN | NT | Hebrews | Chapter 11 | Verse 1] Now faith is the assurance of what we hope for and the certainty of what we do not see.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 2] This is why the ancients were commended.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 3] By faith we understand that the universe was formed at God’s command, so that what is seen was not made out of what was visible.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 4] By faith Abel offered God a better sacrifice than Cain did. By faith he was commended as righteous when God gave approval to his gifts. And by faith he still speaks, even though he is dead.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 5] By faith Enoch was taken up so that he did not see death: “He could not be found, because God had taken him away.” For before he was taken, he was commended as one who pleased God.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 6] And without faith it is impossible to please God, because anyone who approaches Him must believe that He exists and that He rewards those who earnestly seek Him.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 7] By faith Noah, when warned about things not yet seen, in godly fear built an ark to save his family. By faith he condemned the world and became heir of the righteousness that comes by faith.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 8] By faith Abraham, when called to go to a place he would later receive as his inheritance, obeyed and went, without knowing where he was going.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 9] By faith he dwelt in the promised land as a stranger in a foreign country. He lived in tents, as did Isaac and Jacob, who were heirs with him of the same promise.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 10] For he was looking forward to the city with foundations, whose architect and builder is God.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 11] By faith Sarah, even though she was barren and beyond the proper age, was enabled to conceive a child, because she considered Him faithful who had promised.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 12] And so from one man, and he as good as dead, came descendants as numerous as the stars in the sky and as countless as the sand on the seashore.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 13] All these people died in faith, without having received the things they were promised. However, they saw them and welcomed them from afar. And they acknowledged that they were strangers and exiles on the earth.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 14] Now those who say such things show that they are seeking a country of their own.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 15] If they had been thinking of the country they had left, they would have had opportunity to return.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 16] Instead, they were longing for a better country, a heavenly one. Therefore God is not ashamed to be called their God, for He has prepared a city for them.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 17] By faith Abraham, when he was tested, offered up Isaac on the altar. He who had received the promises was ready to offer his one and only son,
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 18] even though God had said to him, “Through Isaac your offspring will be reckoned.”
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 19] Abraham reasoned that God could raise the dead, and in a sense, he did receive Isaac back from death.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 20] By faith Isaac blessed Jacob and Esau concerning the future.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 21] By faith Jacob, when he was dying, blessed each of Joseph’s sons and worshiped as he leaned on the top of his staff.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 22] By faith Joseph, when his end was near, spoke about the exodus of the Israelites and gave instructions about his bones.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 23] By faith Moses’ parents hid him for three months after his birth, because they saw that he was a beautiful child, and they were unafraid of the king’s edict.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 24] By faith Moses, when he was grown, refused to be called the son of Pharaoh’s daughter.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 25] He chose to suffer oppression with God’s people rather than to experience the fleeting enjoyment of sin.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 26] He valued disgrace for Christ above the treasures of Egypt, for he was looking ahead to his reward.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 27] By faith Moses left Egypt, not fearing the king’s anger; he persevered because he saw Him who is invisible.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 28] By faith he kept the Passover and the sprinkling of blood, so that the destroyer of the firstborn would not touch Israel’s own firstborn.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 29] By faith the people passed through the Red Sea as on dry land; but when the Egyptians tried to follow, they were drowned.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 30] By faith the walls of Jericho fell, after the people had marched around them for seven days.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 31] By faith the prostitute Rahab, because she welcomed the spies in peace, did not perish with those who were disobedient.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 32] And what more shall I say? Time will not allow me to tell of Gideon, Barak, Samson, Jephthah, David, Samuel, and the prophets,
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 33] who through faith conquered kingdoms, administered justice, and gained what was promised; who shut the mouths of lions,
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 34] quenched the raging fire, and escaped the edge of the sword; who gained strength from weakness, became mighty in battle, and put foreign armies to flight.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 35] Women received back their dead, raised to life again. Others were tortured and refused their release, so that they might gain a better resurrection.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 36] Still others endured mocking and flogging, and even chains and imprisonment.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 37] They were stoned, they were sawed in two, they were put to death by the sword. They went around in sheepskins and goatskins, destitute, oppressed, and mistreated.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 38] The world was not worthy of them. They wandered in deserts and mountains, and hid in caves and holes in the ground.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 39] These were all commended for their faith, yet they did not receive what was promised.
[BSB | EN | NT | Hebrews | Chapter 11 | Verse 40] God had planned something better for us, so that together with us they would be made perfect.
