[BSB | EN | NT | Hebrews | Chapter 3 | Verse 1] Therefore, holy brothers, who share in the heavenly calling, set your focus on Jesus, the apostle and high priest whom we confess.
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 2] He was faithful to the One who appointed Him, just as Moses was faithful in all God’s house.
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 3] For Jesus has been counted worthy of greater glory than Moses, just as the builder of a house has greater honor than the house itself.
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 4] And every house is built by someone, but God is the builder of everything.
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 5] Now Moses was faithful as a servant in all God’s house, testifying to what would be spoken later.
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 6] But Christ is faithful as the Son over God’s house. And we are His house, if we hold firmly to our confidence and the hope of which we boast.
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 7] Therefore, as the Holy Spirit says: “Today, if you hear His voice,
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 8] do not harden your hearts, as you did in the rebellion, in the day of testing in the wilderness,
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 9] where your fathers tested and tried Me, and for forty years saw My works.
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 10] Therefore I was angry with that generation, and I said, ‘Their hearts are always going astray, and they have not known My ways.’
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 11] So I swore on oath in My anger, ‘They shall never enter My rest.’”
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 12] See to it, brothers, that none of you has a wicked heart of unbelief that turns away from the living God.
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 13] But exhort one another daily, as long as it is called today, so that none of you may be hardened by sin’s deceitfulness.
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 14] We have come to share in Christ if we hold firmly to the end the assurance we had at first.
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 15] As it has been said: “Today, if you hear His voice, do not harden your hearts, as you did in the rebellion.”
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 16] For who were the ones who heard and rebelled? Were they not all those Moses led out of Egypt?
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 17] And with whom was God angry for forty years? Was it not with those who sinned, whose bodies fell in the wilderness?
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 18] And to whom did He swear that they would never enter His rest? Was it not to those who disobeyed?
[BSB | EN | NT | Hebrews | Chapter 3 | Verse 19] So we see that it was because of their unbelief that they were unable to enter.
