[BSB | EN | NT | Hebrews | Chapter 7 | Verse 1] This Melchizedek was king of Salem and priest of God Most High. He met Abraham returning from the slaughter of the kings and blessed him,
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 2] and Abraham apportioned to him a tenth of everything. First, his name means “king of righteousness.” Then also, “king of Salem” means “king of peace.”
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 3] Without father or mother or genealogy, without beginning of days or end of life, like the Son of God, he remains a priest for all time.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 4] Consider how great Melchizedek was: Even the patriarch Abraham gave him a tenth of the plunder.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 5] Now the law commands the sons of Levi who become priests to collect a tenth from the people—that is, from their brothers—though they too are descended from Abraham.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 6] But Melchizedek, who did not trace his descent from Levi, collected a tenth from Abraham and blessed him who had the promises.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 7] And indisputably, the lesser is blessed by the greater.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 8] In the case of the Levites, mortal men collect the tenth; but in the case of Melchizedek, it is affirmed that he lives on.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 9] And so to speak, Levi, who collects the tenth, paid the tenth through Abraham.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 10] For when Melchizedek met Abraham, Levi was still in the loin of his ancestor.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 11] Now if perfection could have been attained through the Levitical priesthood (for on this basis the people received the law), why was there still need for another priest to appear—one in the order of Melchizedek and not in the order of Aaron?
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 12] For when the priesthood is changed, the law must be changed as well.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 13] He of whom these things are said belonged to a different tribe, from which no one has ever served at the altar.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 14] For it is clear that our Lord descended from Judah, a tribe as to which Moses said nothing about priests.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 15] And this point is even more clear if another priest like Melchizedek appears,
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 16] one who has become a priest not by a law of succession, but by the power of an indestructible life.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 17] For it is testified: “You are a priest forever in the order of Melchizedek.”
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 18] So the former commandment is set aside because it was weak and useless
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 19] (for the law made nothing perfect), and a better hope is introduced, by which we draw near to God.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 20] And none of this happened without an oath. For others became priests without an oath,
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 21] but Jesus became a priest with an oath by the One who said to Him: “The Lord has sworn and will not change His mind: ‘You are a priest forever.’”
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 22] Because of this oath, Jesus has become the guarantee of a better covenant.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 23] Now there have been many other priests, since death prevented them from continuing in office.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 24] But because Jesus lives forever, He has a permanent priesthood.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 25] Therefore He is able to save completely those who draw near to God through Him, since He always lives to intercede for them.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 26] Such a high priest truly befits us—One who is holy, innocent, undefiled, set apart from sinners, and exalted above the heavens.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 27] Unlike the other high priests, He does not need to offer daily sacrifices, first for His own sins and then for the sins of the people; He sacrificed for sin once for all when He offered up Himself.
[BSB | EN | NT | Hebrews | Chapter 7 | Verse 28] For the law appoints as high priests men who are weak; but the oath, which came after the law, appointed the Son, who has been made perfect forever.
