[ASV | EN | NT | Luke | Chapter 13 | Verse 1] Now there were some present at that very season who told him of the Galileans, whose blood Pilate had mingled with their sacrifices.
[ASV | EN | NT | Luke | Chapter 13 | Verse 2] And Jesus answered and said unto them, Think ye that these Galileans were sinners above all the Galileans, because they have suffered such things?
[ASV | EN | NT | Luke | Chapter 13 | Verse 3] I tell you, Nay: but, except ye repent, ye shall all likewise perish.
[ASV | EN | NT | Luke | Chapter 13 | Verse 4] Or those eighteen, upon whom the tower in Siloam fell, and killed them, think ye that they were offenders above all the men that dwell in Jerusalem?
[ASV | EN | NT | Luke | Chapter 13 | Verse 5] I tell you, Nay: but, except ye repent, ye shall all in like manner perish.
[ASV | EN | NT | Luke | Chapter 13 | Verse 6] And he spake this parable; A certain man had a fig tree planted in his vineyard; and he came seeking fruit thereon, and found none.
[ASV | EN | NT | Luke | Chapter 13 | Verse 7] And he said unto the vinedresser, Behold, these three years I come seeking fruit on this fig tree, and find none: cut it down; why doth it also cumber the ground?
[ASV | EN | NT | Luke | Chapter 13 | Verse 8] And answering, he saith unto him, Lord, let it alone this year also, till I shall dig about it, and dung it:
[ASV | EN | NT | Luke | Chapter 13 | Verse 9] and if it bear fruit, well; but if not, thereafter thou shalt cut it down.
[ASV | EN | NT | Luke | Chapter 13 | Verse 10] And he was teaching in one of the synagogues on the sabbath day.
[ASV | EN | NT | Luke | Chapter 13 | Verse 11] And behold, there was a woman that had a spirit of infirmity eighteen years; and she was bowed together, and could in no wise lift herself up.
[ASV | EN | NT | Luke | Chapter 13 | Verse 12] And when Jesus saw her, he called her, and said to her, Woman, thou art loosed from thine infirmity.
[ASV | EN | NT | Luke | Chapter 13 | Verse 13] And he laid his hands upon her: and immediately she was made straight, and glorified God.
[ASV | EN | NT | Luke | Chapter 13 | Verse 14] And the ruler of the synagogue, being moved with indignation because Jesus had healed on the sabbath, answered and said to the multitude, There are six days in which men ought to work: in these therefore come and be healed, and not on the day of the sabbath.
[ASV | EN | NT | Luke | Chapter 13 | Verse 15] The Lord then answered him, and said, Ye hypocrites, doth not each one of you on the sabbath loose his ox or his ass from the stall, and lead him away to watering?
[ASV | EN | NT | Luke | Chapter 13 | Verse 16] And ought not this woman, being a daughter of Abraham, whom Satan had bound, lo, these eighteen years, to have been loosed from this bond on the day of the sabbath?
[ASV | EN | NT | Luke | Chapter 13 | Verse 17] And as he said these things, all his adversaries were put to shame: and all the multitude rejoiced for all the glorious things that were done by him.
[ASV | EN | NT | Luke | Chapter 13 | Verse 18] And he said, Unto what is the kingdom of God like? and whereunto shall I liken it?
[ASV | EN | NT | Luke | Chapter 13 | Verse 19] It is like unto a grain of mustard seed, which a man took, and cast into his own garden; and it grew, and became a great tree; and the birds of the heaven lodged in the branches thereof.
[ASV | EN | NT | Luke | Chapter 13 | Verse 20] Again he said, Whereunto shall I liken the kingdom of God?
[ASV | EN | NT | Luke | Chapter 13 | Verse 21] It is like unto leaven, which a woman took and hid in three measures of meal, till it was all leavened.
[ASV | EN | NT | Luke | Chapter 13 | Verse 22] And he went on his way through cities and villages, teaching, and journeying on unto Jerusalem.
[ASV | EN | NT | Luke | Chapter 13 | Verse 23] And one said unto him, Lord, are they few that are saved? And he said unto them,
[ASV | EN | NT | Luke | Chapter 13 | Verse 24] Strive to enter in by the narrow gate: for many, I say unto you, shall seek to enter in, and shall not be able.
[ASV | EN | NT | Luke | Chapter 13 | Verse 25] When once the master of the house is risen up, and hath shut the door, and ye begin to stand without, and to knock at the door, saying, Lord, Lord, open to us; and he shall answer and say to you, I know you not whence ye are;
[ASV | EN | NT | Luke | Chapter 13 | Verse 26] then shall ye begin to say, We did eat and drink in thy presence, and thou didst teach in our streets;
[ASV | EN | NT | Luke | Chapter 13 | Verse 27] and he shall say, I tell you, I know you not whence ye are; depart from me, all ye workers of iniquity.
[ASV | EN | NT | Luke | Chapter 13 | Verse 28] There shall be weeping and gnashing of teeth, when ye shall see Abraham, and Isaac, and Jacob, and all the prophets, in the kingdom of God, and yourselves cast forth without.
[ASV | EN | NT | Luke | Chapter 13 | Verse 29] And they shall come from the east and west and north and south, and shall sit down in the kingdom of God.
[ASV | EN | NT | Luke | Chapter 13 | Verse 30] And behold, there are last who shall be first, and there are first who shall be last.
[ASV | EN | NT | Luke | Chapter 13 | Verse 31] On that same day there came certain Pharisees, saying to him, Get thee out, and go hence: for Herod would fain kill thee.
[ASV | EN | NT | Luke | Chapter 13 | Verse 32] And he said unto them, Go and say to that fox, Behold, I cast out demons and perform cures today and tomorrow, and the third day I am perfected.
[ASV | EN | NT | Luke | Chapter 13 | Verse 33] Nevertheless I must go on my way today and tomorrow and the day following: for it cannot be that a prophet perish out of Jerusalem.
[ASV | EN | NT | Luke | Chapter 13 | Verse 34] O Jerusalem, Jerusalem, that killeth the prophets, and stoneth them that are sent unto her! how often would I have gathered thy children together, even as a hen gathereth her own brood under her wings, and ye would not!
[ASV | EN | NT | Luke | Chapter 13 | Verse 35] Behold, your house is left unto you desolate: and I say unto you, Ye shall not see me, until the time shall come when ye shall say, Blessed is he that cometh in the name of the Lord.
