[ASV | EN | NT | Luke | Chapter 18 | Verse 1] And he spake also a parable unto them to the end that men ought always to pray, and not to faint;
[ASV | EN | NT | Luke | Chapter 18 | Verse 2] saying, There was in a city a judge, who feared not God, and regarded not man:
[ASV | EN | NT | Luke | Chapter 18 | Verse 3] and there was a widow in that city; and she came oft unto him, saying, Avenge me of mine adversary.
[ASV | EN | NT | Luke | Chapter 18 | Verse 4] And he would not for a while: but afterward he said within himself, Though I fear not God, and regard not man;
[ASV | EN | NT | Luke | Chapter 18 | Verse 5] yet because this widow troubleth me, I will avenge her, lest she wear me out by her continual coming.
[ASV | EN | NT | Luke | Chapter 18 | Verse 6] And the Lord said, Hear what the unrighteous judge saith.
[ASV | EN | NT | Luke | Chapter 18 | Verse 7] And shall not God avenge his elect, that cry to him day and night, though he is long-suffering over them?
[ASV | EN | NT | Luke | Chapter 18 | Verse 8] I say unto you, that he will avenge them speedily. Nevertheless, when the Son of man cometh, shall he find faith on the earth?
[ASV | EN | NT | Luke | Chapter 18 | Verse 9] And he spake this parable unto certain who trusted in themselves that they were righteous, and set all others at nought:
[ASV | EN | NT | Luke | Chapter 18 | Verse 10] Two men went up into the temple to pray; the one a Pharisee, and the other a publican.
[ASV | EN | NT | Luke | Chapter 18 | Verse 11] The Pharisee stood by himself and prayed thus, God, I thank thee, that I am not as the rest of men, extortioners, unjust, adulterers, or even as this publican.
[ASV | EN | NT | Luke | Chapter 18 | Verse 12] I fast twice in the week; I give tithes of all that I get.
[ASV | EN | NT | Luke | Chapter 18 | Verse 13] And the publican, standing afar off, would not lift up so much as his eyes unto heaven, but smote upon his breast, saying, God, be thou merciful to me a sinner.
[ASV | EN | NT | Luke | Chapter 18 | Verse 14] I say unto you, This man went down to his house justified rather than the other: for everyone that exalteth himself shall be humbled; but he that humbleth himself shall be exalted.
[ASV | EN | NT | Luke | Chapter 18 | Verse 15] And they were bringing unto him also their babes, that he should touch them: but when the disciples saw it, they rebuked them.
[ASV | EN | NT | Luke | Chapter 18 | Verse 16] But Jesus calling them unto him, said, Suffer the little children to come unto me, and forbid them not: for to such belongeth the kingdom of God.
[ASV | EN | NT | Luke | Chapter 18 | Verse 17] Verily I say unto you, Whosoever shall not receive the kingdom of God as a little child, he shall in no wise enter therein.
[ASV | EN | NT | Luke | Chapter 18 | Verse 18] And a certain ruler asked him, saying, Good Teacher, what shall I do to inherit eternal life?
[ASV | EN | NT | Luke | Chapter 18 | Verse 19] And Jesus said unto him, Why callest thou me good? none is good, save one, even God.
[ASV | EN | NT | Luke | Chapter 18 | Verse 20] Thou knowest the commandments, Do not commit adultery, Do not kill, Do not steal, Do not bear false witness, Honor thy father and thy mother.
[ASV | EN | NT | Luke | Chapter 18 | Verse 21] And he said, All these things have I observed from my youth up.
[ASV | EN | NT | Luke | Chapter 18 | Verse 22] And when Jesus heard these things, he said unto him, One thing thou lackest yet: sell all that thou hast, and distribute unto the poor, and thou shalt have treasure in heaven: and come, follow me.
[ASV | EN | NT | Luke | Chapter 18 | Verse 23] But when he heard these things, he became exceeding sorrowful; for he was very rich.
[ASV | EN | NT | Luke | Chapter 18 | Verse 24] And when Jesus saw that he was very sorrowful, he said, How hardly shall they that have riches enter into the kingdom of God!
[ASV | EN | NT | Luke | Chapter 18 | Verse 25] For it is easier for a camel to enter in through a needle’s eye, than for a rich man to enter into the kingdom of God.
[ASV | EN | NT | Luke | Chapter 18 | Verse 26] And they that heard it said, Then who can be saved?
[ASV | EN | NT | Luke | Chapter 18 | Verse 27] But he said, The things which are impossible with men are possible with God.
[ASV | EN | NT | Luke | Chapter 18 | Verse 28] And Peter said, Lo, we have left all, and followed thee.
[ASV | EN | NT | Luke | Chapter 18 | Verse 29] And he said unto them, Verily I say unto you, There is no man that hath left house, or parents, or brethren, or wife, or children, for the kingdom of God’s sake,
[ASV | EN | NT | Luke | Chapter 18 | Verse 30] who shall not receive manifold more in this time, and in the world to come eternal life.
[ASV | EN | NT | Luke | Chapter 18 | Verse 31] And he took unto him the twelve, and said unto them, Behold, we go up to Jerusalem, and all the things that are written through the prophets shall be accomplished unto the Son of man.
[ASV | EN | NT | Luke | Chapter 18 | Verse 32] For he shall be delivered up unto the Gentiles, and shall be mocked, and shamefully treated, and spit upon:
[ASV | EN | NT | Luke | Chapter 18 | Verse 33] and they shall scourge and kill him: and the third day he shall rise again.
[ASV | EN | NT | Luke | Chapter 18 | Verse 34] And they understood none of these things; and this saying was hidden from them, and they perceived not the things that were said.
[ASV | EN | NT | Luke | Chapter 18 | Verse 35] And it came to pass, as he drew nigh unto Jericho, a certain blind man sat by the wayside begging:
[ASV | EN | NT | Luke | Chapter 18 | Verse 36] and hearing a multitude going by, he inquired what this meant.
[ASV | EN | NT | Luke | Chapter 18 | Verse 37] And they told him, that Jesus of Nazareth passeth by.
[ASV | EN | NT | Luke | Chapter 18 | Verse 38] And he cried, saying, Jesus, thou son of David, have mercy on me.
[ASV | EN | NT | Luke | Chapter 18 | Verse 39] And they that went before rebuked him, that he should hold his peace: but he cried out the more a great deal, Thou son of David, have mercy on me.
[ASV | EN | NT | Luke | Chapter 18 | Verse 40] And Jesus stood, and commanded him to be brought unto him: and when he was come near, he asked him,
[ASV | EN | NT | Luke | Chapter 18 | Verse 41] saying, What wilt thou that I should do unto thee? And he said, Lord, that I may receive my sight.
[ASV | EN | NT | Luke | Chapter 18 | Verse 42] And Jesus said unto him, Receive thy sight: thy faith hath made thee whole.
