[ASV | EN | NT | Luke | Chapter 5 | Verse 1] Now it came to pass, while the multitude pressed upon him to hear the word of God, that he was standing by the lake of Gennesaret;
[ASV | EN | NT | Luke | Chapter 5 | Verse 2] and he saw two boats standing by the lake: but the fishermen had gone out of them, and were washing their nets.
[ASV | EN | NT | Luke | Chapter 5 | Verse 3] And he entered into one of the boats, which was Simon’s, and asked him to put out a little from the land. And he sat down and taught the multitudes out of the boat.
[ASV | EN | NT | Luke | Chapter 5 | Verse 4] And when he had left speaking, he said unto Simon, Put out into the deep, and let down your nets for a draft.
[ASV | EN | NT | Luke | Chapter 5 | Verse 5] And Simon answered and said unto him, Master, we toiled the whole night, and took nothing: but at thy word I will let down the net.
[ASV | EN | NT | Luke | Chapter 5 | Verse 6] And when they had done this, they enclosed a great multitude of fish; and their net was breaking;
[ASV | EN | NT | Luke | Chapter 5 | Verse 7] and they beckoned unto their partners, who were in the other boat, that they should come and help them. And they came, and filled both the boats, so that they began to sink.
[ASV | EN | NT | Luke | Chapter 5 | Verse 8] But Simon Peter, when he saw it, fell down at Jesus’ knees, saying, Depart from me; for I am a sinful man, O Lord.
[ASV | EN | NT | Luke | Chapter 5 | Verse 9] For he was amazed, and all that were with him, at the draft of the fish which they had taken;
[ASV | EN | NT | Luke | Chapter 5 | Verse 10] and so were also James and John, sons of Zebedee, who were partners with Simon. And Jesus said unto Simon, Fear not; from henceforth thou shalt catch men.
[ASV | EN | NT | Luke | Chapter 5 | Verse 11] And when they had brought their boats to land, they left all, and followed him.
[ASV | EN | NT | Luke | Chapter 5 | Verse 12] And it came to pass, while he was in one of the cities, behold, a man full of leprosy: and when he saw Jesus, he fell on his face, and besought him, saying, Lord, if thou wilt, thou canst make me clean.
[ASV | EN | NT | Luke | Chapter 5 | Verse 13] And he stretched forth his hand, and touched him, saying, I will; be thou made clean. And straightaway the leprosy departed from him.
[ASV | EN | NT | Luke | Chapter 5 | Verse 14] And he charged him to tell no man: but go thy way, and show thyself to the priest, and offer for thy cleansing, according as Moses commanded, for a testimony unto them.
[ASV | EN | NT | Luke | Chapter 5 | Verse 15] But so much the more went abroad the report concerning him: and great multitudes came together to hear, and to be healed by him of their infirmities.
[ASV | EN | NT | Luke | Chapter 5 | Verse 16] But he withdrew himself in the deserts, and prayed.
[ASV | EN | NT | Luke | Chapter 5 | Verse 17] And it came to pass on one of those days, that he was teaching; and there were Pharisees and doctors of the law sitting by, who were come out of every village of Galilee and Judea and Jerusalem: and the power of the Lord was present to heal them.
[ASV | EN | NT | Luke | Chapter 5 | Verse 18] And behold, men bring on a bed a man that was palsied: and they sought to bring him in, and to lay him before him.
[ASV | EN | NT | Luke | Chapter 5 | Verse 19] And not finding by what way they might bring him in because of the multitude, they went up to the housetop, and let him down through the tiles with his couch into the midst before Jesus.
[ASV | EN | NT | Luke | Chapter 5 | Verse 20] And seeing their faith, he said unto him, Man, thy sins are forgiven thee.
[ASV | EN | NT | Luke | Chapter 5 | Verse 21] And the scribes and the Pharisees began to reason, saying, Who is this that speaketh blasphemies? Who can forgive sins, but God alone?
[ASV | EN | NT | Luke | Chapter 5 | Verse 22] But Jesus perceiving their reasonings, answered and said unto them, Why reason ye in your hearts?
[ASV | EN | NT | Luke | Chapter 5 | Verse 23] Which is easier, to say, Thy sins are forgiven thee; or to say, Arise and walk?
[ASV | EN | NT | Luke | Chapter 5 | Verse 24] But that ye may know that the Son of man hath authority on earth to forgive sins (he said unto him that was palsied), I say unto thee, Arise, and take up thy couch, and go unto thy house.
[ASV | EN | NT | Luke | Chapter 5 | Verse 25] And immediately he rose up before them, and took up that whereon he lay, and departed to his house, glorifying God.
[ASV | EN | NT | Luke | Chapter 5 | Verse 26] And amazement took hold on all, and they glorified God; and they were filled with fear, saying, We have seen strange things today.
[ASV | EN | NT | Luke | Chapter 5 | Verse 27] And after these things he went forth, and beheld a publican, named Levi, sitting at the place of toll, and said unto him, Follow me.
[ASV | EN | NT | Luke | Chapter 5 | Verse 28] And he forsook all, and rose up and followed him.
[ASV | EN | NT | Luke | Chapter 5 | Verse 29] And Levi made him a great feast in his house: and there was a great multitude of publicans and of others that were sitting at meat with them.
[ASV | EN | NT | Luke | Chapter 5 | Verse 30] And their scribes and the Pharisees murmured against his disciples, saying, Why do ye eat and drink with the publicans and sinners?
[ASV | EN | NT | Luke | Chapter 5 | Verse 31] And Jesus answered and said unto them, They that are in health have no need of a physician; but they that are sick.
[ASV | EN | NT | Luke | Chapter 5 | Verse 32] I am not come to call the righteous but sinners to repentance.
[ASV | EN | NT | Luke | Chapter 5 | Verse 33] And they said unto him, Why do the disciples of John fast often, and make supplications; likewise also the disciples of the Pharisees; but thine eat and drink?
[ASV | EN | NT | Luke | Chapter 5 | Verse 34] And he said unto them, Can ye make the sons of the bridechamber fast, while the bridegroom is with them?
[ASV | EN | NT | Luke | Chapter 5 | Verse 35] But the days will come; and when the bridegroom shall be taken away from them, then will they fast in those days.
[ASV | EN | NT | Luke | Chapter 5 | Verse 36] And he spake also a parable unto them: No man putteth a piece of a new garment upon an old garment; else he rendeth the new, and also the piece from the new agreeth not with the old.
[ASV | EN | NT | Luke | Chapter 5 | Verse 37] And no man putteth new wine into old wineskins; else the new wine will burst the skins, and itself will be spilled, and the skins will perish.
[ASV | EN | NT | Luke | Chapter 5 | Verse 38] But new wine must be put into fresh wineskins; and both are preserved.
[ASV | EN | NT | Luke | Chapter 5 | Verse 39] And no man having drunk old wine straightaway desireth new; for he saith, The old is better.
