[ASV | EN | NT | Luke | Chapter 10 | Verse 1] Now after these things the Lord appointed seventy others also, and sent them two and two before his face into every city and place, whither he himself was about to come.
[ASV | EN | NT | Luke | Chapter 10 | Verse 2] Therefore said he unto them, The harvest indeed is plenteous, but the laborers are few: pray ye therefore the Lord of the harvest, that he send forth laborers into his harvest.
[ASV | EN | NT | Luke | Chapter 10 | Verse 3] Go your ways; behold, I send you forth as lambs in the midst of wolves.
[ASV | EN | NT | Luke | Chapter 10 | Verse 4] Carry no purse, no wallet, nor shoes; and salute no man on the way.
[ASV | EN | NT | Luke | Chapter 10 | Verse 5] And into whatsoever house ye enter, first say, Peace be to this house.
[ASV | EN | NT | Luke | Chapter 10 | Verse 6] And if a son of peace be there, your peace shall rest upon him: but if not, it shall turn to you again.
[ASV | EN | NT | Luke | Chapter 10 | Verse 7] And in that same house remain, eating and drinking such things as they give: for the laborer is worthy of his hire. Go not from house to house.
[ASV | EN | NT | Luke | Chapter 10 | Verse 8] And into whatsoever city ye enter, and they receive you, eat such things as are set before you:
[ASV | EN | NT | Luke | Chapter 10 | Verse 9] and heal the sick that are therein, and say unto them, The kingdom of God is come nigh unto you.
[ASV | EN | NT | Luke | Chapter 10 | Verse 10] But into whatsoever city ye enter, and they receive you not, go out into the streets thereof and say,
[ASV | EN | NT | Luke | Chapter 10 | Verse 11] Even the dust from your city, that cleaveth to us, we wipe off against you: nevertheless know this, that the kingdom of God is come nigh unto you.
[ASV | EN | NT | Luke | Chapter 10 | Verse 12] I say unto you, It shall be more tolerable in that day for Sodom, than for that city.
[ASV | EN | NT | Luke | Chapter 10 | Verse 13] Woe unto thee, Chorazin! woe unto thee, Bethsaida! for if the mighty works had been done in Tyre and Sidon, which were done in you, they would have repented long ago, sitting in sackcloth and ashes.
[ASV | EN | NT | Luke | Chapter 10 | Verse 14] But it shall be more tolerable for Tyre and Sidon in the judgment, than for you.
[ASV | EN | NT | Luke | Chapter 10 | Verse 15] And thou, Capernaum, who art exalted unto heaven, shalt be brought down unto Hades.
[ASV | EN | NT | Luke | Chapter 10 | Verse 16] He that heareth you heareth me; and he that rejecteth you rejecteth me; and he that rejecteth me rejecteth him that sent me.
[ASV | EN | NT | Luke | Chapter 10 | Verse 17] And the seventy returned with joy, saying, Lord, even the demons are subject unto us in thy name.
[ASV | EN | NT | Luke | Chapter 10 | Verse 18] And he said unto them, I beheld Satan fallen as lightning from heaven.
[ASV | EN | NT | Luke | Chapter 10 | Verse 19] Behold, I give you authority to tread upon serpents and scorpions, and over all the power of the enemy: and nothing shall in any wise hurt you.
[ASV | EN | NT | Luke | Chapter 10 | Verse 20] Nevertheless in this rejoice not, that the spirits are subject unto you; but rejoice that your names are written in heaven.
[ASV | EN | NT | Luke | Chapter 10 | Verse 21] In that same hour Jesus rejoiced in the Spirit, and said, I thank thee, O Father, Lord of heaven and earth, that thou didst hide these things from the wise and understanding, and didst reveal them unto babes: yea, Father; for so it was well-pleasing in thy sight.
[ASV | EN | NT | Luke | Chapter 10 | Verse 22] And turning to the disciples, he said, All things have been delivered unto me of my Father: and no one knoweth who the Son is, save the Father; and who the Father is, save the Son, and he to whomsoever the Son willeth to reveal him.
