[ASV | EN | NT | Luke | Chapter 11 | Verse 1] And it came to pass, as he was praying in a certain place, that when he ceased, one of his disciples said unto him, Lord, teach us to pray, even as John also taught his disciples.
[ASV | EN | NT | Luke | Chapter 11 | Verse 2] And he said unto them, When ye pray, say, Our Father who art in heaven, Hallowed be thy name. Thy kingdom come. Thy will be done, As in heaven, so on the earth.
[ASV | EN | NT | Luke | Chapter 11 | Verse 3] Give us day by day our daily bread.
[ASV | EN | NT | Luke | Chapter 11 | Verse 4] And forgive us our sins; For we ourselves also forgive everyone that is indebted to us. And bring us not into temptation, But deliver us from the evil one.
[ASV | EN | NT | Luke | Chapter 11 | Verse 5] And he said unto them, Which of you shall have a friend, and shall go unto him at midnight, and say to him, Friend, lend me three loaves;
[ASV | EN | NT | Luke | Chapter 11 | Verse 6] for a friend is come to me from a journey, and I have nothing to set before him;
[ASV | EN | NT | Luke | Chapter 11 | Verse 7] and he from within shall answer and say, Trouble me not: the door is now shut, and my children are with me in bed; I cannot rise and give thee?
[ASV | EN | NT | Luke | Chapter 11 | Verse 8] I say unto you, Though he will not rise and give him because he is his friend, yet because of his importunity he will arise and give him as many as he needeth.
[ASV | EN | NT | Luke | Chapter 11 | Verse 9] And I say unto you, Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you.
[ASV | EN | NT | Luke | Chapter 11 | Verse 10] For everyone that asketh receiveth; and he that seeketh findeth; and to him that knocketh it shall be opened.
[ASV | EN | NT | Luke | Chapter 11 | Verse 11] And of which of you that is a father shall his son ask a loaf, and he give him a stone? or a fish, and he for a fish give him a serpent?
[ASV | EN | NT | Luke | Chapter 11 | Verse 12] Or if he shall ask an egg, will he give him a scorpion?
[ASV | EN | NT | Luke | Chapter 11 | Verse 13] If ye then, being evil, know how to give good gifts unto your children, how much more shall your heavenly Father give the Holy Spirit to them that ask him?
[ASV | EN | NT | Luke | Chapter 11 | Verse 14] And he was casting out a demon, and it was dumb. And it came to pass, when the demon was gone out, the dumb man spake; and the multitudes marveled.
[ASV | EN | NT | Luke | Chapter 11 | Verse 15] But some of them said, By Beelzebul the prince of demons casteth he out demons.
[ASV | EN | NT | Luke | Chapter 11 | Verse 16] And others, trying him, sought of him a sign from heaven.
[ASV | EN | NT | Luke | Chapter 11 | Verse 17] But he, knowing their thoughts, said unto them, Every kingdom divided against itself is brought to desolation; and a house divided against a house falleth.
[ASV | EN | NT | Luke | Chapter 11 | Verse 18] And if Satan also is divided against himself, how shall his kingdom stand? because ye say that I cast out demons by Beelzebul.
[ASV | EN | NT | Luke | Chapter 11 | Verse 19] And if I by Beelzebul cast out demons, by whom do your sons cast them out? therefore shall they be your judges.
[ASV | EN | NT | Luke | Chapter 11 | Verse 20] But if I by the finger of God cast out demons, then is the kingdom of God come upon you.
[ASV | EN | NT | Luke | Chapter 11 | Verse 21] When the strong man fully armed guardeth his own court, his goods are in peace:
[ASV | EN | NT | Luke | Chapter 11 | Verse 22] but when a stronger than he shall come upon him, and overcome him, he taketh from him his whole armor wherein he trusted, and divideth his spoils.
[ASV | EN | NT | Luke | Chapter 11 | Verse 23] He that is not with me is against me; and he that gathereth not with me scattereth.
[ASV | EN | NT | Luke | Chapter 11 | Verse 24] The unclean spirit when he is gone out of the man, passeth through waterless places, seeking rest, and finding none, he saith, I will turn back unto my house whence I came out.
[ASV | EN | NT | Luke | Chapter 11 | Verse 25] And when he is come, he findeth it swept and garnished.
[ASV | EN | NT | Luke | Chapter 11 | Verse 26] Then goeth he, and taketh to him seven other spirits more evil than himself; and they go and dwell there: and the last state of that man becometh worse than the first.
[ASV | EN | NT | Luke | Chapter 11 | Verse 27] And it came to pass, as he said these things, a certain woman out of the multitude lifted up her voice, and said unto him, Blessed is the womb that bare thee, and the breasts which thou didst suck.
[ASV | EN | NT | Luke | Chapter 11 | Verse 28] But he said, Yea rather, blessed are they that hear the word of God, and keep it.
