[ASV | EN | NT | Luke | Chapter 9 | Verse 1] And he called the twelve together, and gave them power and authority over all demons, and to cure diseases.
[ASV | EN | NT | Luke | Chapter 9 | Verse 2] And he sent them forth to preach the kingdom of God, and to heal the sick.
[ASV | EN | NT | Luke | Chapter 9 | Verse 3] And he said unto them, Take nothing for your journey, neither staves, nor wallet, nor bread, nor money; neither have two coats apiece.
[ASV | EN | NT | Luke | Chapter 9 | Verse 4] And into whatsoever house ye enter, there abide, and thence depart.
[ASV | EN | NT | Luke | Chapter 9 | Verse 5] And as many as will not receive you, when ye depart from that city, shake off even the dust from your feet for a testimony against them.
[ASV | EN | NT | Luke | Chapter 9 | Verse 6] And they departed, and went throughout the villages, preaching the gospel, and healing everywhere.
[ASV | EN | NT | Luke | Chapter 9 | Verse 7] Now Herod the tetrarch heard of all that was done by him: and he was much perplexed, because that it was said by some, that John was risen from the dead;
[ASV | EN | NT | Luke | Chapter 9 | Verse 8] and by some, that Elijah had appeared; and by others, that one of the old prophets was risen again.
[ASV | EN | NT | Luke | Chapter 9 | Verse 9] And Herod said, John I beheaded: but who is this, about whom I hear such things? And he sought to see him.
[ASV | EN | NT | Luke | Chapter 9 | Verse 10] And the apostles, when they were returned, declared unto him what things they had done. And he took them, and withdrew apart to a desert place of a city called Bethsaida.
[ASV | EN | NT | Luke | Chapter 9 | Verse 11] But the multitudes perceiving it followed him: and he received them, and spake to them of the kingdom of God, and them that had need of healing he cured.
[ASV | EN | NT | Luke | Chapter 9 | Verse 12] And the day began to wear away; and the twelve came, and said unto him, Send the multitude away, that they may go into the villages and the country round about, and lodge, and get provisions: for we are here in a desert place.
[ASV | EN | NT | Luke | Chapter 9 | Verse 13] But he said unto them, Give ye them to eat. And they said, We have no more than five loaves and two fish; except we should go and buy food for all this people.
[ASV | EN | NT | Luke | Chapter 9 | Verse 14] For they were about five thousand men. And he said unto his disciples, Make them sit down in companies by fifties.
[ASV | EN | NT | Luke | Chapter 9 | Verse 15] And they did so, and made them all sit down.
[ASV | EN | NT | Luke | Chapter 9 | Verse 16] And he took the five loaves and the two fish, and looking up to heaven, he blessed them, and brake; and gave to the disciples to set before the multitude.
[ASV | EN | NT | Luke | Chapter 9 | Verse 17] And they ate, and were all filled: and there was taken up that which remained over to them of broken pieces, twelve baskets.
[ASV | EN | NT | Luke | Chapter 9 | Verse 18] And it came to pass, as he was praying apart, the disciples were with him: and he asked them, saying, Who do the multitudes say that I am?
[ASV | EN | NT | Luke | Chapter 9 | Verse 19] And they answered and said, John the Baptist; but others say, Elijah; and others, that one of the old prophets is risen again.
[ASV | EN | NT | Luke | Chapter 9 | Verse 20] And he said unto them, But who say ye that I am? And Peter answered and said, The Christ of God.
[ASV | EN | NT | Luke | Chapter 9 | Verse 21] But he charged them, and commanded them to tell this to no man;
[ASV | EN | NT | Luke | Chapter 9 | Verse 22] saying, The Son of man must suffer many things, and be rejected of the elders and chief priests and scribes, and be killed, and rise again the third day.
[ASV | EN | NT | Luke | Chapter 9 | Verse 23] And he said unto all, If any man would come after me, let him deny himself, and take up his cross, and follow me.
[ASV | EN | NT | Luke | Chapter 9 | Verse 24] For whosoever would save his life shall lose it; but whosoever shall lose his life for my sake, the same shall save it.
[ASV | EN | NT | Luke | Chapter 9 | Verse 25] For what is a man profited, if he gain the whole world, and lose or forfeit his own self?
[ASV | EN | NT | Luke | Chapter 9 | Verse 26] For whosoever shall be ashamed of me and of my words, of him shall the Son of man be ashamed, when he cometh in his own glory, and the glory of the Father, and of the holy angels.
[ASV | EN | NT | Luke | Chapter 9 | Verse 27] But I tell you of a truth, There are some of them that stand here, who shall in no wise taste of death, till they see the kingdom of God.
[ASV | EN | NT | Luke | Chapter 9 | Verse 28] And it came to pass about eight days after these sayings, that he took with him Peter and John and James, and went up into the mountain to pray.
[ASV | EN | NT | Luke | Chapter 9 | Verse 29] And as he was praying, the fashion of his countenance was altered, and his raiment became white and dazzling.
[ASV | EN | NT | Luke | Chapter 9 | Verse 30] And behold, there talked with him two men, who were Moses and Elijah;
[ASV | EN | NT | Luke | Chapter 9 | Verse 31] who appeared in glory, and spake of his decease which he was about to accomplish at Jerusalem.
[ASV | EN | NT | Luke | Chapter 9 | Verse 32] Now Peter and they that were with him were heavy with sleep: but when they were fully awake, they saw his glory, and the two men that stood with him.
[ASV | EN | NT | Luke | Chapter 9 | Verse 33] And it came to pass, as they were parting from him, Peter said unto Jesus, Master, it is good for us to be here: and let us make three tabernacles; one for thee, and one for Moses, and one for Elijah: not knowing what he said.
[ASV | EN | NT | Luke | Chapter 9 | Verse 34] And while he said these things, there came a cloud, and overshadowed them: and they feared as they entered into the cloud.
[ASV | EN | NT | Luke | Chapter 9 | Verse 35] And a voice came out of the cloud, saying, This is my beloved Son: hear ye him.
[ASV | EN | NT | Luke | Chapter 9 | Verse 36] And when the voice came, Jesus was found alone. And they held their peace, and told no man in those days any of the things which they had seen.
[ASV | EN | NT | Luke | Chapter 9 | Verse 37] And it came to pass, on the next day, when they were come down from the mountain, a great multitude met him.
[ASV | EN | NT | Luke | Chapter 9 | Verse 38] And behold, a man from the multitude cried out, saying, Teacher, I beseech thee to look upon my son; for he is mine only child:
[ASV | EN | NT | Luke | Chapter 9 | Verse 39] and behold, a spirit taketh him, and he suddenly crieth out; and it teareth him that he foameth, and it hardly departeth from him, bruising him sorely.
[ASV | EN | NT | Luke | Chapter 9 | Verse 40] And I besought thy disciples to cast it out; and they could not.
[ASV | EN | NT | Luke | Chapter 9 | Verse 41] And Jesus answered and said, O faithless and perverse generation, how long shall I be with you, and bear with you? bring thy son hither.
[ASV | EN | NT | Luke | Chapter 9 | Verse 42] And as he was yet a coming, the demon dashed him down, and tare him grievously. But Jesus rebuked the unclean spirit, and healed the boy, and gave him back to his father.
[ASV | EN | NT | Luke | Chapter 9 | Verse 43] And they were all astonished at the majesty of God. But while all were marveling at all the things which Jesus did, he said unto his disciples,
[ASV | EN | NT | Luke | Chapter 9 | Verse 44] Let these words sink into your ears: for the Son of man shall be delivered up into the hands of men.
[ASV | EN | NT | Luke | Chapter 9 | Verse 45] But they understood not this saying, and it was concealed from them, that they should not perceive it; and they were afraid to ask him about this saying.
[ASV | EN | NT | Luke | Chapter 9 | Verse 46] And there arose a reasoning among them, which of them was the greatest.
[ASV | EN | NT | Luke | Chapter 9 | Verse 47] But when Jesus saw the reasoning of their heart, he took a little child, and set him by his side,
[ASV | EN | NT | Luke | Chapter 9 | Verse 48] and said unto them, Whosoever shall receive this little child in my name receiveth me: and whosoever shall receive me receiveth him that sent me: for he that is least among you all, the same shall be great.
[ASV | EN | NT | Luke | Chapter 9 | Verse 49] And John answered and said, Master, we saw one casting out demons in thy name; and we forbade him, because he followeth not with us.
[ASV | EN | NT | Luke | Chapter 9 | Verse 50] And Jesus said unto him, Forbid him not: for he that is not against us is for us.
[ASV | EN | NT | Luke | Chapter 9 | Verse 51] And it came to pass, when the days were well-nigh come that he should be received up, he steadfastly set his face to go to Jerusalem,
[ASV | EN | NT | Luke | Chapter 9 | Verse 52] and sent messengers before his face: and they went, and entered into a village of the Samaritans, to make ready for him.
[ASV | EN | NT | Luke | Chapter 9 | Verse 53] And they did not receive him, because his face was as though he were going to Jerusalem.
[ASV | EN | NT | Luke | Chapter 9 | Verse 54] And when his disciples James and John saw this, they said, Lord, wilt thou that we bid fire to come down from heaven, and consume them, even as Elijah did?
