[ASV | EN | NT | Luke | Chapter 24 | Verse 1] But on the first day of the week, at early dawn, they came unto the tomb, bringing the spices which they had prepared, and certain others with them.
[ASV | EN | NT | Luke | Chapter 24 | Verse 2] And they found the stone rolled away from the tomb.
[ASV | EN | NT | Luke | Chapter 24 | Verse 3] And they entered in, and found not the body of the Lord Jesus.
[ASV | EN | NT | Luke | Chapter 24 | Verse 4] And it came to pass, while they were much perplexed thereabout, behold, two men stood by them in dazzling garments:
[ASV | EN | NT | Luke | Chapter 24 | Verse 5] and as they were affrighted and bowed down their face to the earth, they said unto them, Why seek ye the living among the dead?
[ASV | EN | NT | Luke | Chapter 24 | Verse 6] He is not here, but is risen: remember how he spake unto you when he was yet in Galilee,
[ASV | EN | NT | Luke | Chapter 24 | Verse 7] saying that the Son of man must be delivered up into the hands of sinful men, and be crucified, and the third day rise again.
[ASV | EN | NT | Luke | Chapter 24 | Verse 8] And they remembered his words,
[ASV | EN | NT | Luke | Chapter 24 | Verse 9] and returned from the tomb, and told all these things to the eleven, and to all the rest.
[ASV | EN | NT | Luke | Chapter 24 | Verse 10] Now it was Mary Magdalene, and Joanna, and Mary the mother of James, and the other women with them, who told these things unto the apostles.
[ASV | EN | NT | Luke | Chapter 24 | Verse 11] And their words appeared in their sight as idle talk; and they disbelieved them.
[ASV | EN | NT | Luke | Chapter 24 | Verse 12] But Peter arose, and ran unto the tomb; and stooping and looking in, he seeth the linen cloths lying by themselves; and he departed to his own home, wondering at that which was come to pass.
[ASV | EN | NT | Luke | Chapter 24 | Verse 13] And behold, two of them were going that very day to a village named Emmaus, which was threescore furlongs from Jerusalem.
[ASV | EN | NT | Luke | Chapter 24 | Verse 14] And they communed with each other of all these things which had happened.
[ASV | EN | NT | Luke | Chapter 24 | Verse 15] And it came to pass, while they communed and questioned together, that Jesus himself drew near, and went with them.
[ASV | EN | NT | Luke | Chapter 24 | Verse 16] But their eyes were holden that they should not know him.
[ASV | EN | NT | Luke | Chapter 24 | Verse 17] And he said unto them, What communications are these that ye have one with another, as ye walk and are looking sad?
[ASV | EN | NT | Luke | Chapter 24 | Verse 18] And the one, whose name was Cleopas, answered and said unto him, Dost thou alone sojourn in Jerusalem and not know the things which are come to pass there in these days?
[ASV | EN | NT | Luke | Chapter 24 | Verse 19] And he said unto them, What things? And they said unto him, The things concerning Jesus of Nazareth, who was a prophet mighty in deed and word before God and all the people:
[ASV | EN | NT | Luke | Chapter 24 | Verse 20] and how the chief priests and our rulers delivered him up to be condemned to death, and crucified him.
[ASV | EN | NT | Luke | Chapter 24 | Verse 21] But we hoped that it was he who should redeem Israel: and besides all this, today is now the third day since these things came to pass.
[ASV | EN | NT | Luke | Chapter 24 | Verse 22] Moreover certain women of our company amazed us, having been early at the tomb;
[ASV | EN | NT | Luke | Chapter 24 | Verse 23] and when they found not his body, they came, saying, that they had also seen a vision of angels, who said that he was alive.
[ASV | EN | NT | Luke | Chapter 24 | Verse 24] And certain of them that were with us went to the tomb, and found it even so as the women also had said: but him they saw not.
[ASV | EN | NT | Luke | Chapter 24 | Verse 25] And he said unto them, O foolish men, and slow of heart to believe in all that the prophets have spoken!
[ASV | EN | NT | Luke | Chapter 24 | Verse 26] Behooved it not the Christ to suffer these things, and to enter into his glory?
[ASV | EN | NT | Luke | Chapter 24 | Verse 27] And beginning from Moses and from all the prophets, he interpreted to them in all the scriptures the things concerning himself.
[ASV | EN | NT | Luke | Chapter 24 | Verse 28] And they drew nigh unto the village, whither they were going: and he made as though he would go further.
