[ASV | EN | NT | Luke | Chapter 6 | Verse 1] Now it came to pass on a second-first sabbath, that he was going through the grainfields; and his disciples plucked the ears, and did eat, rubbing them in their hands.
[ASV | EN | NT | Luke | Chapter 6 | Verse 2] But certain of the Pharisees said unto them, Why do ye that which it is not lawful to do on the sabbath day?
[ASV | EN | NT | Luke | Chapter 6 | Verse 3] And Jesus answered them and said, Have ye not read even this, what David did, when he was hungry, he, and they that were with him;
[ASV | EN | NT | Luke | Chapter 6 | Verse 4] how he entered into the house of God, and took and ate the showbread, and gave also to them that were with him; which it is not lawful to eat save for the priests alone?
[ASV | EN | NT | Luke | Chapter 6 | Verse 5] And he said unto them, The Son of man is lord even of the sabbath.
[ASV | EN | NT | Luke | Chapter 6 | Verse 6] And it came to pass also on another sabbath, that he entered into the synagogue and taught: and there was a man there, and his right hand was withered.
[ASV | EN | NT | Luke | Chapter 6 | Verse 7] And the scribes and the Pharisees watched, whether he would heal on the sabbath; that they might find an accusation against him.
[ASV | EN | NT | Luke | Chapter 6 | Verse 8] But he knew their thoughts; and he said to the man that had his hand withered, Rise up, and stand forth in the midst. And he arose and stood forth.
[ASV | EN | NT | Luke | Chapter 6 | Verse 9] Then Jesus said unto them, I will ask you something, Is it lawful on the sabbath to do good, or to do harm? to save a life, or to kill?
[ASV | EN | NT | Luke | Chapter 6 | Verse 10] And he looked round about on them all, and said unto him, Stretch forth thy hand. And he did so: and his hand was restored whole as the other.
[ASV | EN | NT | Luke | Chapter 6 | Verse 11] But they were filled with madness; and communed one with another what they might do to Jesus.
[ASV | EN | NT | Luke | Chapter 6 | Verse 12] And it came to pass in these days, that he went out into the mountain to pray; and he continued all night in prayer to God.
[ASV | EN | NT | Luke | Chapter 6 | Verse 13] And when it was day, he called his disciples; and he chose from them twelve, whom also he named apostles:
[ASV | EN | NT | Luke | Chapter 6 | Verse 14] Simon, whom he also named Peter, and Andrew his brother, James and John, Philip and Bartholomew,
[ASV | EN | NT | Luke | Chapter 6 | Verse 15] Matthew and Thomas, James the son of Alphaeus, and Simon who was called the Zealot,
[ASV | EN | NT | Luke | Chapter 6 | Verse 16] Judas the son of James, and Judas Iscariot, who also became a traitor;
[ASV | EN | NT | Luke | Chapter 6 | Verse 17] and he came down with them, and stood on a level place, and a multitude of his disciples, and a great number of the people from all Judea and Jerusalem, and the seacoast of Tyre and Sidon, who came to hear him, and to be healed of their diseases;
[ASV | EN | NT | Luke | Chapter 6 | Verse 18] and they that were vexed by unclean spirits: and they were healed.
[ASV | EN | NT | Luke | Chapter 6 | Verse 19] And all the multitude sought to touch him; for power came forth from him, and healed them all.
[ASV | EN | NT | Luke | Chapter 6 | Verse 20] And he lifted up his eyes on his disciples, and said, Blessed are ye poor: for yours is the kingdom of God.
[ASV | EN | NT | Luke | Chapter 6 | Verse 21] Blessed are ye that hunger now: for ye shall be filled. Blessed are ye that weep now: for ye shall laugh.
[ASV | EN | NT | Luke | Chapter 6 | Verse 22] Blessed are ye, when men shall hate you, and when they shall separate you from their company, and reproach you, and cast out your name as evil, for the Son of man’s sake.
[ASV | EN | NT | Luke | Chapter 6 | Verse 23] Rejoice in that day, and leap for joy: for behold, your reward is great in heaven; for in the same manner did their fathers unto the prophets.
[ASV | EN | NT | Luke | Chapter 6 | Verse 24] But woe unto you that are rich! for ye have received your consolation.
[ASV | EN | NT | Luke | Chapter 6 | Verse 25] Woe unto you, ye that are full! for ye shall hunger. Woe unto you, ye that laugh now! for ye shall mourn and weep.
[ASV | EN | NT | Luke | Chapter 6 | Verse 26] Woe, when men shall speak well of you! for in the same manner did their fathers to the false prophets.
[ASV | EN | NT | Luke | Chapter 6 | Verse 27] But I say unto you that hear, Love your enemies, do good to them that hate you,
[ASV | EN | NT | Luke | Chapter 6 | Verse 28] bless them that curse you, pray for them that despitefully use you.
[ASV | EN | NT | Luke | Chapter 6 | Verse 29] To him that smiteth thee on the one cheek offer also the other; and from him that taketh away thy cloak withhold not thy coat also.
[ASV | EN | NT | Luke | Chapter 6 | Verse 30] And give to everyone that asketh thee; and of him that taketh away thy goods ask them not again.
[ASV | EN | NT | Luke | Chapter 6 | Verse 31] And as ye would that men should do to you, do ye also to them likewise.
