[ERV | EN | NT | Luke | Chapter 21 | Verse 1] And he looked up, and saw the rich men that were casting their gifts into the treasury.
[ERV | EN | NT | Luke | Chapter 21 | Verse 2] And he saw a certain poor widow casting in thither two mites.
[ERV | EN | NT | Luke | Chapter 21 | Verse 3] And he said, Of a truth I say unto you, This poor widow cast in more than they all:
[ERV | EN | NT | Luke | Chapter 21 | Verse 4] for all these did of their superfluity cast in unto the gifts: but she of her want did cast in all the living that she had.
[ERV | EN | NT | Luke | Chapter 21 | Verse 5] And as some spake of the temple, how it was adorned with goodly stones and offerings, he said,
[ERV | EN | NT | Luke | Chapter 21 | Verse 6] As for these things which ye behold, the days will come, in which there shall not be left here one stone upon another, that shall not be thrown down.
[ERV | EN | NT | Luke | Chapter 21 | Verse 7] And they asked him, saying, Master, when therefore shall these things be? and what shall be the sign when these things are about to come to pass?
[ERV | EN | NT | Luke | Chapter 21 | Verse 8] And he said, Take heed that ye be not led astray: for many shall come in my name, saying, I am he; and, The time is at hand: go ye not after them.
[ERV | EN | NT | Luke | Chapter 21 | Verse 9] And when ye shall hear of wars and tumults, be not terrified: for these things must needs come to pass first; but the end is not immediately.
[ERV | EN | NT | Luke | Chapter 21 | Verse 10] Then said he unto them, Nation shall rise against nation, and kingdom against kingdom:
[ERV | EN | NT | Luke | Chapter 21 | Verse 11] and there shall be great earthquakes, and in divers places famines and pestilences; and there shall be terrors and great signs from heaven.
[ERV | EN | NT | Luke | Chapter 21 | Verse 12] But before all these things, they shall lay their hands on you, and shall persecute you, delivering you up to the synagogues and prisons, bringing you before kings and governors for my name’s sake.
[ERV | EN | NT | Luke | Chapter 21 | Verse 13] It shall turn unto you for a testimony.
[ERV | EN | NT | Luke | Chapter 21 | Verse 14] Settle it therefore in your hearts, not to meditate beforehand how to answer:
[ERV | EN | NT | Luke | Chapter 21 | Verse 15] for I will give you a mouth and wisdom, which all your adversaries shall not be able to withstand or to gainsay.
[ERV | EN | NT | Luke | Chapter 21 | Verse 16] But ye shall be delivered up even by parents, and brethren, and kinsfolk, and friends; and some of you shall they cause to be put to death.
[ERV | EN | NT | Luke | Chapter 21 | Verse 17] And ye shall be hated of all men for my name’s sake.
[ERV | EN | NT | Luke | Chapter 21 | Verse 18] And not a hair of your head shall perish.
[ERV | EN | NT | Luke | Chapter 21 | Verse 19] In your patience ye shall win your souls.
[ERV | EN | NT | Luke | Chapter 21 | Verse 20] But when ye see Jerusalem compassed with armies, then know that her desolation is at hand.
[ERV | EN | NT | Luke | Chapter 21 | Verse 21] Then let them that are in Judaea flee unto the mountains; and let them that are in the midst of her depart out; and let not them that are in the country enter therein.
[ERV | EN | NT | Luke | Chapter 21 | Verse 22] For these are days of vengeance, that all things which are written may be fulfilled.
[ERV | EN | NT | Luke | Chapter 21 | Verse 23] Woe unto them that are with child and to them that give suck in those days! for there shall be great distress upon the land, and wrath unto this people.
[ERV | EN | NT | Luke | Chapter 21 | Verse 24] And they shall fall by the edge of the sword, and shall be led captive into all the nations: and Jerusalem shall be trodden down of the Gentiles, until the times of the Gentiles be fulfilled.
[ERV | EN | NT | Luke | Chapter 21 | Verse 25] And there shall be signs in sun and moon and stars; and upon the earth distress of nations, in perplexity for the roaring of the sea and the billows;
[ERV | EN | NT | Luke | Chapter 21 | Verse 26] men fainting for fear, and for expectation of the things which are coming on the world: for the powers of the heavens shall be shaken.
[ERV | EN | NT | Luke | Chapter 21 | Verse 27] And then shall they see the Son of man coming in a cloud with power and great glory.
[ERV | EN | NT | Luke | Chapter 21 | Verse 28] But when these things begin to come to pass, look up, and lift up your heads; because your redemption draweth nigh.
[ERV | EN | NT | Luke | Chapter 21 | Verse 29] And he spake to them a parable: Behold the fig tree, and all the trees:
[ERV | EN | NT | Luke | Chapter 21 | Verse 30] when they now shoot forth, ye see it and know of your own selves that the summer is now nigh.
[ERV | EN | NT | Luke | Chapter 21 | Verse 31] Even so ye also, when ye see these things coming to pass, know ye that the kingdom of God is nigh.
[ERV | EN | NT | Luke | Chapter 21 | Verse 32] Verily I say unto you, This generation shall not pass away, till all things be accomplished.
[ERV | EN | NT | Luke | Chapter 21 | Verse 33] Heaven and earth shall pass away: but my words shall not pass away.
[ERV | EN | NT | Luke | Chapter 21 | Verse 34] But take heed to yourselves, lest haply your hearts be overcharged with surfeiting, and drunkenness, and cares of this life, and that day come on you suddenly as a snare:
[ERV | EN | NT | Luke | Chapter 21 | Verse 35] for so shall it come upon all them that dwell on the face of all the earth.
[ERV | EN | NT | Luke | Chapter 21 | Verse 36] But watch ye at every season, making supplication, that ye may prevail to escape all these things that shall come to pass, and to stand before the Son of man.
[ERV | EN | NT | Luke | Chapter 21 | Verse 37] And every day he was teaching in the temple; and every night he went out, and lodged in the mount that is called the mount of Olives.
[ERV | EN | NT | Luke | Chapter 21 | Verse 38] And all the people came early in the morning to him in the temple, to hear him.
