[ERV | EN | NT | Luke | Chapter 9 | Verse 1] And he called the twelve together, and gave them power and authority over all devils, and to cure diseases.
[ERV | EN | NT | Luke | Chapter 9 | Verse 2] And he sent them forth to preach the kingdom of God, and to heal the sick.
[ERV | EN | NT | Luke | Chapter 9 | Verse 3] And he said unto them, Take nothing for your journey, neither staff, nor wallet, nor bread, nor money; neither have two coats.
[ERV | EN | NT | Luke | Chapter 9 | Verse 4] And into whatsoever house ye enter, there abide, and thence depart.
[ERV | EN | NT | Luke | Chapter 9 | Verse 5] And as many as receive you not, when ye depart from that city, shake off the dust from your feet for a testimony against them.
[ERV | EN | NT | Luke | Chapter 9 | Verse 6] And they departed, and went throughout the villages, preaching the gospel, and healing everywhere.
[ERV | EN | NT | Luke | Chapter 9 | Verse 7] Now Herod the tetrarch heard of all that was done: and he was much perplexed, because that it was said by some, that John was risen from the dead;
[ERV | EN | NT | Luke | Chapter 9 | Verse 8] and by some, that Elijah had appeared; and by others, that one of the old prophets was risen again.
[ERV | EN | NT | Luke | Chapter 9 | Verse 9] And Herod said, John I beheaded: but who is this, about whom I hear such things? And he sought to see him.
[ERV | EN | NT | Luke | Chapter 9 | Verse 10] And the apostles, when they were returned, declared unto him what things they had done. And he took them, and withdrew apart to a city called Bethsaida.
[ERV | EN | NT | Luke | Chapter 9 | Verse 11] But the multitudes perceiving it followed him: and he welcomed them, and spake to them of the kingdom of God, and them that had need of healing he healed.
[ERV | EN | NT | Luke | Chapter 9 | Verse 12] And the day began to wear away; and the twelve came, and said unto him, Send the multitude away, that they may go into the villages and country round about, and lodge, and get victuals: for we are here in a desert place.
[ERV | EN | NT | Luke | Chapter 9 | Verse 13] But he said unto them, Give ye them to eat. And they said, We have no more than five loaves and two fishes; except we should go and buy food for all this people.
[ERV | EN | NT | Luke | Chapter 9 | Verse 14] For they were about five thousand men. And he said unto his disciples, Make them sit down in companies, about fifty each.
[ERV | EN | NT | Luke | Chapter 9 | Verse 15] And they did so, and made them all sit down.
[ERV | EN | NT | Luke | Chapter 9 | Verse 16] And he took the five loaves and the two fishes, and looking up to heaven, he blessed them, and brake; and gave to the disciples to set before the multitude.
[ERV | EN | NT | Luke | Chapter 9 | Verse 17] And they did eat, and were all filled: and there was taken up that which remained over to them of broken pieces, twelve baskets.
[ERV | EN | NT | Luke | Chapter 9 | Verse 18] And it came to pass, as he was praying alone, the disciples were with him: and he asked them, saying, Who do the multitudes say that I am?
[ERV | EN | NT | Luke | Chapter 9 | Verse 19] And they answering said, John the Baptist; but others say, Elijah; and others, that one of the old prophets is risen again.
[ERV | EN | NT | Luke | Chapter 9 | Verse 20] And he said unto them, But who say ye that I am? And Peter answering said, The Christ of God.
[ERV | EN | NT | Luke | Chapter 9 | Verse 21] But he charged them, and commanded them to tell this to no man;
[ERV | EN | NT | Luke | Chapter 9 | Verse 22] saying, The Son of man must suffer many things, and be rejected of the elders and chief priests and scribes, and be killed, and the third day be raised up.
[ERV | EN | NT | Luke | Chapter 9 | Verse 23] And he said unto all, If any man would come after me, let him deny himself, and take up his cross daily, and follow me.
[ERV | EN | NT | Luke | Chapter 9 | Verse 24] For whosoever would save his life shall lose it; but whosoever shall lose his life for my sake, the same shall save it.
[ERV | EN | NT | Luke | Chapter 9 | Verse 25] For what is a man profited, if he gain the whole world, and lose or forfeit his own self?
[ERV | EN | NT | Luke | Chapter 9 | Verse 26] For whosoever shall be ashamed of me and of my words, of him shall the Son of man be ashamed, when he cometh in his own glory, and the glory of the Father, and of the holy angels.
[ERV | EN | NT | Luke | Chapter 9 | Verse 27] But I tell you of a truth, There be some of them that stand here, which shall in no wise taste of death, till they see the kingdom of God.
[ERV | EN | NT | Luke | Chapter 9 | Verse 28] And it came to pass about eight days after these sayings, he took with him Peter and John and James, and went up into the mountain to pray.
[ERV | EN | NT | Luke | Chapter 9 | Verse 29] And as he was praying, the fashion of his countenance was altered, and his raiment became white and dazzling.
