[ERV | EN | NT | Luke | Chapter 20 | Verse 1] And it came to pass, on one of the days, as he was teaching the people in the temple, and preaching the gospel, there came upon him the chief priests and the scribes with the elders;
[ERV | EN | NT | Luke | Chapter 20 | Verse 2] and they spake, saying unto him, Tell us: By what authority doest thou these things? or who is he that gave thee this authority?
[ERV | EN | NT | Luke | Chapter 20 | Verse 3] And he answered and said unto them, I also will ask you a question; and tell me:
[ERV | EN | NT | Luke | Chapter 20 | Verse 4] The baptism of John, was it from heaven, or from men?
[ERV | EN | NT | Luke | Chapter 20 | Verse 5] And they reasoned with themselves, saying, If we shall say, From heaven; he will say, Why did ye not believe him?
[ERV | EN | NT | Luke | Chapter 20 | Verse 6] But if we shall say, From men; all the people will stone us: for they be persuaded that John was a prophet.
[ERV | EN | NT | Luke | Chapter 20 | Verse 7] And they answered, that they knew not whence it was.
[ERV | EN | NT | Luke | Chapter 20 | Verse 8] And Jesus said unto them, Neither tell I you by what authority I do these things.
[ERV | EN | NT | Luke | Chapter 20 | Verse 9] And he began to speak unto the people this parable: A man planted a vineyard, and let it out to husbandmen, and went into another country for a long time.
[ERV | EN | NT | Luke | Chapter 20 | Verse 10] And at the season he sent unto the husbandmen a servant, that they should give him of the fruit of the vineyard: but the husbandmen beat him, and sent him away empty.
[ERV | EN | NT | Luke | Chapter 20 | Verse 11] And he sent yet another servant: and him also they beat, and handled him shamefully, and sent him away empty.
[ERV | EN | NT | Luke | Chapter 20 | Verse 12] And he sent yet a third: and him also they wounded, and cast him forth.
[ERV | EN | NT | Luke | Chapter 20 | Verse 13] And the lord of the vineyard said, What shall I do? I will send my beloved son: it may be they will reverence him.
[ERV | EN | NT | Luke | Chapter 20 | Verse 14] But when the husbandmen saw him, they reasoned one with another, saying, This is the heir: let us kill him, that the inheritance may be ours.
[ERV | EN | NT | Luke | Chapter 20 | Verse 15] And they cast him forth out of the vineyard, and killed him. What therefore will the lord of the vineyard do unto them?
[ERV | EN | NT | Luke | Chapter 20 | Verse 16] He will come and destroy these husbandmen, and will give the vineyard unto others. And when they heard it, they said, God forbid.
[ERV | EN | NT | Luke | Chapter 20 | Verse 17] But he looked upon them, and said, What then is this that is written, The stone which the builders rejected, The same was made the head of the corner?
[ERV | EN | NT | Luke | Chapter 20 | Verse 18] Every one that falleth on that stone shall be broken to pieces; but on whomsoever it shall fall, it will scatter him as dust.
