[GNV | EN | NT | John | Chapter 1 | Verse 1] In the beginning was that Word, and that Word was with God, and that Word was God.
[GNV | EN | NT | John | Chapter 1 | Verse 2] This same was in the beginning with God.
[GNV | EN | NT | John | Chapter 1 | Verse 3] All things were made by it, and without it was made nothing that was made.
[GNV | EN | NT | John | Chapter 1 | Verse 4] In it was life, and that life was the light of men.
[GNV | EN | NT | John | Chapter 1 | Verse 5] And that light shineth in the darkenesse, and the darkenesse comprehended it not.
[GNV | EN | NT | John | Chapter 1 | Verse 6] There was a man sent from God, whose name was Iohn.
[GNV | EN | NT | John | Chapter 1 | Verse 7] This same came for a witnesse, to beare witnesse of that light, that all men through him might beleeue.
[GNV | EN | NT | John | Chapter 1 | Verse 8] He was not that light, but was sent to beare witnesse of that light.
[GNV | EN | NT | John | Chapter 1 | Verse 9] This was that true light, which lighteth euery man that commeth into the world.
[GNV | EN | NT | John | Chapter 1 | Verse 10] He was in the world, and the worlde was made by him: and the worlde knewe him not.
[GNV | EN | NT | John | Chapter 1 | Verse 11] He came vnto his owne, and his owne receiued him not.
[GNV | EN | NT | John | Chapter 1 | Verse 12] But as many as receiued him, to them he gaue prerogatiue to be the sonnes of God, euen to them that beleeue in his Name.
[GNV | EN | NT | John | Chapter 1 | Verse 13] Which are borne not of blood, nor of the will of the flesh, nor of ye wil of man, but of God.
[GNV | EN | NT | John | Chapter 1 | Verse 14] And that Word was made flesh, and dwelt among vs, (and we sawe the glorie thereof, as the glorie of the onely begotten Sonne of the Father) full of grace and trueth.
[GNV | EN | NT | John | Chapter 1 | Verse 15] Iohn bare witnesse of him, and cryed, saying, This was he of whom I said, He that commeth after me, was before me: for he was better then I.
[GNV | EN | NT | John | Chapter 1 | Verse 16] And of his fulnesse haue all we receiued, and grace for grace.
[GNV | EN | NT | John | Chapter 1 | Verse 17] For the Lawe was giuen by Moses, but grace, and trueth came by Iesus Christ.
[GNV | EN | NT | John | Chapter 1 | Verse 18] No man hath seene God at any time: that onely begotten Sonne, which is in the bosome of the Father, he hath declared him.
[GNV | EN | NT | John | Chapter 1 | Verse 19] Then this is the record of Iohn, when the Iewes sent Priestes and Leuites from Hierusalem, to aske him, Who art thou?
