[GNV | EN | NT | John | Chapter 11 | Verse 1] And a certaine man was sicke, named Lazarus of Bethania, the towne of Marie, and her sister Martha.
[GNV | EN | NT | John | Chapter 11 | Verse 2] (And it was that Mary which anointed the Lord with oyntment, and wiped his feete with her heare, whose brother Lazarus was sicke.)
[GNV | EN | NT | John | Chapter 11 | Verse 3] Therefore his sisters sent vnto him, saying, Lord, beholde, he whome thou louest, is sicke.
[GNV | EN | NT | John | Chapter 11 | Verse 4] When Iesus heard it, he saide, This sickenes is not vnto death, but for the glorie of God, that the Sonne of God might be glorified thereby.
[GNV | EN | NT | John | Chapter 11 | Verse 5] Nowe Iesus loued Martha and her sister, and Lazarus.
[GNV | EN | NT | John | Chapter 11 | Verse 6] And after he had heard that he was sicke, yet abode hee two dayes still in the same place where he was.
[GNV | EN | NT | John | Chapter 11 | Verse 7] Then after that, said he to his disciples, Let vs goe into Iudea againe.
[GNV | EN | NT | John | Chapter 11 | Verse 8] The disciples saide vnto him, Master, the Iewes lately sought to stone thee, and doest thou goe thither againe?
[GNV | EN | NT | John | Chapter 11 | Verse 9] Iesus answered, Are there not twelue houres in the day? If a man walke in the day, hee stumbleth not, because he seeth the light of this world.
[GNV | EN | NT | John | Chapter 11 | Verse 10] But if a man walke in the night, hee stumbleth, because there is no light in him.
[GNV | EN | NT | John | Chapter 11 | Verse 11] These things spake he, and after, he said vnto them, Our friend Lazarus sleepeth: but I goe to wake him vp.
[GNV | EN | NT | John | Chapter 11 | Verse 12] Then said his disciples, Lord, if he sleepe, he shalbe safe.
[GNV | EN | NT | John | Chapter 11 | Verse 13] Howbeit, Iesus spake of his death: but they thought that he had spoken of the naturall sleepe.
[GNV | EN | NT | John | Chapter 11 | Verse 14] Then saide Iesus vnto them plainely, Lazarus is dead.
[GNV | EN | NT | John | Chapter 11 | Verse 15] And I am glad for your sakes, that I was not there, that ye may beleeue: but let vs go vnto him.
[GNV | EN | NT | John | Chapter 11 | Verse 16] Then saide Thomas (which is called Didymus) vnto his felow disciples, Let vs also goe, that we may die with him.
[GNV | EN | NT | John | Chapter 11 | Verse 17] Then came Iesus, and found that he had lien in the graue foure dayes alreadie.
[GNV | EN | NT | John | Chapter 11 | Verse 18] (Nowe Bethania was neere vnto Hierusalem, about fifteene furlongs off.)
[GNV | EN | NT | John | Chapter 11 | Verse 19] And many of ye Iewes were come to Martha and Marie to comfort them for their brother.
[GNV | EN | NT | John | Chapter 11 | Verse 20] Then Martha, when shee heard that Iesus was comming, went to meete him: but Mary sate still in the house.
[GNV | EN | NT | John | Chapter 11 | Verse 21] Then said Martha vnto Iesus, Lord, if thou hadst bene here, my brother had not bene dead.
[GNV | EN | NT | John | Chapter 11 | Verse 22] But now I know also, that whatsoeuer thou askest of God, God will giue it thee.
[GNV | EN | NT | John | Chapter 11 | Verse 23] Iesus said vnto her, Thy brother shall rise againe.
[GNV | EN | NT | John | Chapter 11 | Verse 24] Martha said vnto him, I know that he shall rise againe in the resurrection at the last day.
[GNV | EN | NT | John | Chapter 11 | Verse 25] Iesus saide vnto her, I am the resurrection and the life: he that beleeueth in me, though he were dead, yet shall he liue.
[GNV | EN | NT | John | Chapter 11 | Verse 26] And whosoeuer liueth, and beleeueth in me, shall neuer die: Beleeuest thou this?
[GNV | EN | NT | John | Chapter 11 | Verse 27] She said vnto him, Yea, Lord, I beleeue that thou art that Christ that Sonne of God, which should come into the world.
[GNV | EN | NT | John | Chapter 11 | Verse 28] And when she had so saide, she went her way, and called Mary her sister secretly, saying, The Master is come, and calleth for thee.
