[GNV | EN | NT | John | Chapter 8 | Verse 1] And Iesus went vnto the mount of Oliues,
[GNV | EN | NT | John | Chapter 8 | Verse 2] And early in the morning came againe into the Temple, and all the people came vnto him, and he sate downe, and taught them.
[GNV | EN | NT | John | Chapter 8 | Verse 3] Then the Scribes, and the Pharises brought vnto him a woman, taken in adulterie, and set her in the middes,
[GNV | EN | NT | John | Chapter 8 | Verse 4] And said vnto him, Master, we foud this woman committing adulterie, euen in the very acte.
[GNV | EN | NT | John | Chapter 8 | Verse 5] Now Moses in our Law commanded, that such should be stoned: what sayest thou therefore?
[GNV | EN | NT | John | Chapter 8 | Verse 6] And this they saide to tempt him, that they might haue, whereof to accuse him. But Iesus stouped downe, and with his finger wrote on the groud.
[GNV | EN | NT | John | Chapter 8 | Verse 7] And while they continued asking him, hee lift himselfe vp, and sayde vnto them, Let him that is among you without sinne, cast the first stone at her.
[GNV | EN | NT | John | Chapter 8 | Verse 8] And againe hee stouped downe, and wrote on the ground.
[GNV | EN | NT | John | Chapter 8 | Verse 9] And when they heard it, being accused by their owne conscience, they went out one by one, beginning at ye eldest euen to the last: so Iesus was left alone, and the woman standing in the mids.
[GNV | EN | NT | John | Chapter 8 | Verse 10] When Iesus had lift vp himselfe againe, and sawe no man, but the woman, hee saide vnto her, Woman, where are those thine accusers? hath no man condemned thee?
[GNV | EN | NT | John | Chapter 8 | Verse 11] She said, No man, Lord. And Iesus said, Neither do I condemne thee: go and sinne no more.
[GNV | EN | NT | John | Chapter 8 | Verse 12] Then spake Iesus againe vnto them, saying, I am that light of the worlde: hee that followeth mee, shall not walke in darkenes, but shall haue that light of life.
[GNV | EN | NT | John | Chapter 8 | Verse 13] The Pharises therefore saide vnto him, Thou bearest recorde of thy selfe: thy recorde is not true.
[GNV | EN | NT | John | Chapter 8 | Verse 14] Iesus answered, and sayde vnto them, Though I beare recorde of my selfe, yet my recorde is true: for I know whence I came, and whither I go: but ye cannot tell whence I come, and whither I goe.
[GNV | EN | NT | John | Chapter 8 | Verse 15] Ye iudge after the flesh: I iudge no man.
[GNV | EN | NT | John | Chapter 8 | Verse 16] And if I also iudge, my iudgement is true: for I am not alone, but I, and the Father, that sent mee.
[GNV | EN | NT | John | Chapter 8 | Verse 17] And it is also written in your Lawe, that the testimonie of two men is true.
[GNV | EN | NT | John | Chapter 8 | Verse 18] I am one that beare witnes of my selfe, and the Father that sent me, beareth witnes of me.
[GNV | EN | NT | John | Chapter 8 | Verse 19] Then saide they vnto him, Where is that Father of thine? Iesus answered, Ye neither know me, nor that Father of mine. If ye had knowen me, ye should haue knowen that Father of mine also.
[GNV | EN | NT | John | Chapter 8 | Verse 20] These wordes spake Iesus in the treasurie, as hee taught in the Temple, and no man layde handes on him: for his houre was not yet come.
[GNV | EN | NT | John | Chapter 8 | Verse 21] Then saide Iesus againe vnto them, I goe my way, and ye shall seeke me, and shall die in your sinnes, Whither I goe, can ye not come.
[GNV | EN | NT | John | Chapter 8 | Verse 22] Then said the Iewes, Will he kill himselfe, because he saith, Whither I goe, can ye not come?
