[GNV | EN | NT | John | Chapter 12 | Verse 1] Then Iesus, sixe dayes before the Passeouer, came to Bethania, where Lazarus was, who died, whom he had raised from the dead.
[GNV | EN | NT | John | Chapter 12 | Verse 2] There they made him a supper, and Martha serued: but Lazarus was one of them that sate at the table with him.
[GNV | EN | NT | John | Chapter 12 | Verse 3] Then tooke Mary a pound of oyntment of Spikenarde very costly, and anoynted Iesus feete, and wiped his feete with her heare, and the house was filled with the sauour of the oyntment.
[GNV | EN | NT | John | Chapter 12 | Verse 4] Then said one of his disciples, euen Iudas Iscariot Simons sonne, which should betray him:
[GNV | EN | NT | John | Chapter 12 | Verse 5] Why was not this oyntment sold for three hundreth pence, and giuen to the poore?
[GNV | EN | NT | John | Chapter 12 | Verse 6] Nowe he said this, not that he cared for the poore, but because hee was a theefe, and had the bagge, and bare that which was giuen.
[GNV | EN | NT | John | Chapter 12 | Verse 7] Then said Iesus, Let her alone: against the day of my burying she kept it.
[GNV | EN | NT | John | Chapter 12 | Verse 8] For the poore alwayes yee haue with you, but me ye shall not haue alwayes.
[GNV | EN | NT | John | Chapter 12 | Verse 9] Then much people of the Iewes knewe that hee was there: and they came, not for Iesus sake onely, but that they might see Lazarus also, whome he had raysed from the dead.
[GNV | EN | NT | John | Chapter 12 | Verse 10] The hie Priestes therefore consulted, that they might put Lazarus to death also,
[GNV | EN | NT | John | Chapter 12 | Verse 11] Because that for his sake many of the Iewes went away, and beleeued in Iesus.
[GNV | EN | NT | John | Chapter 12 | Verse 12] On the morowe a great multitude that were come to the feast, when they heard that Iesus should come to Hierusalem,
[GNV | EN | NT | John | Chapter 12 | Verse 13] Tooke branches of palme trees, and went foorth to meete him, and cried, Hosanna, Blessed is the King of Israel that commeth in the Name of the Lord.
[GNV | EN | NT | John | Chapter 12 | Verse 14] And Iesus found a yong asse, and sate thereon, as it is written,
[GNV | EN | NT | John | Chapter 12 | Verse 15] Feare not, daughter of Sion: behold, thy King commeth sitting on an asses colte.
[GNV | EN | NT | John | Chapter 12 | Verse 16] But his disciples vnderstoode not these thinges at the first: but when Iesus was glorified, then remembred they, that these thinges were written of him, and that they had done these things vnto him.
[GNV | EN | NT | John | Chapter 12 | Verse 17] The people therefore that was with him, bare witnesse that hee called Lazarus out of the graue, and raised him from the dead.
[GNV | EN | NT | John | Chapter 12 | Verse 18] Therefore mette him the people also, because they heard that he had done this miracle.
[GNV | EN | NT | John | Chapter 12 | Verse 19] And the Pharises said among themselues, Perceiue ye howe ye preuaile nothing? Beholde, the worlde goeth after him.
[GNV | EN | NT | John | Chapter 12 | Verse 20] Nowe there were certaine Greekes among them that came vp to worship at the feast.
[GNV | EN | NT | John | Chapter 12 | Verse 21] And they came to Philippe, which was of Bethsaida in Galile, and desired him, saying, Syr, we would see that Iesus.
[GNV | EN | NT | John | Chapter 12 | Verse 22] Philippe came and tolde Andrew: and againe Andrew and Philippe tolde Iesus.
[GNV | EN | NT | John | Chapter 12 | Verse 23] And Iesus answered them, saying, The houre is come, that the Sonne of man must bee glorified.
[GNV | EN | NT | John | Chapter 12 | Verse 24] Verely, verely I say vnto you, Except the wheate corne fall into the grounde and die, it bideth alone: but if it die, it bringeth foorth much fruite.
[GNV | EN | NT | John | Chapter 12 | Verse 25] He that loueth his life, shall lose it, and he that hateth his life in this world, shall keepe it vnto life eternall.
[GNV | EN | NT | John | Chapter 12 | Verse 26] If any man serue me, let him follow me: for where I am, there shall also my seruant be: and if any man serue me, him will my Father honour.
[GNV | EN | NT | John | Chapter 12 | Verse 27] Now is my soule troubled: and what shall I say? Father, saue me from this houre: but therefore came I vnto this houre.
[GNV | EN | NT | John | Chapter 12 | Verse 28] Father, glorifie thy Name. Then came there a voyce from heauen, saying, I haue both glorified it, and will glorifie it againe.
[GNV | EN | NT | John | Chapter 12 | Verse 29] Then saide the people that stoode by, and heard, that it was a thunder: other said, An Angel spake to him.
[GNV | EN | NT | John | Chapter 12 | Verse 30] Iesus answered, and said, This voyce came not because of me, but for your sakes.
[GNV | EN | NT | John | Chapter 12 | Verse 31] Now is the iudgement of this world: nowe shall the prince of this world be cast out.
[GNV | EN | NT | John | Chapter 12 | Verse 32] And I, if I were lift vp from the earth, will drawe all men vnto me.
[GNV | EN | NT | John | Chapter 12 | Verse 33] Nowe this sayd he, signifying what death he should die.
[GNV | EN | NT | John | Chapter 12 | Verse 34] The people answered him, We haue heard out of the Law, that that Christ bideth for euer: and howe sayest thou, that that Sonne of man must be lift vp? Who is that Sonne of man?
[GNV | EN | NT | John | Chapter 12 | Verse 35] Then Iesus sayd vnto them, Yet a litle while is the light with you: walke while ye haue that light, lest the darkenes come vpon you: for hee that walketh in the darke, knoweth not whither he goeth.
[GNV | EN | NT | John | Chapter 12 | Verse 36] While ye haue that light, beleeue in that light, that ye may be the children of the light. These things spake Iesus, and departed, and hid himselfe from them.
[GNV | EN | NT | John | Chapter 12 | Verse 37] And though he had done so many miracles before them, yet beleeued they not on him,
[GNV | EN | NT | John | Chapter 12 | Verse 38] That the saying of Esaias the Prophete might be fulfilled, that he sayd, Lord, who beleeued our report? and to whome is the arme of the Lord reueiled?
[GNV | EN | NT | John | Chapter 12 | Verse 39] Therefore could they not beleeue, because that Esaias saith againe,
[GNV | EN | NT | John | Chapter 12 | Verse 40] He hath blinded their eyes, and hardened their heart, that they shoulde not see with their eyes, nor vnderstand with their heart, and should be conuerted, and I should heale them.
