[GNV | EN | NT | John | Chapter 19 | Verse 1] Then Pilate tooke Iesus and scourged him.
[GNV | EN | NT | John | Chapter 19 | Verse 2] And the souldiers platted a crowne of thornes, and put it on his head, and they put on him a purple garment,
[GNV | EN | NT | John | Chapter 19 | Verse 3] And saide, Haile, King of the Iewes. And they smote him with their roddes.
[GNV | EN | NT | John | Chapter 19 | Verse 4] Then Pilate went foorth againe, and said vnto them, Behold, I bring him forth to you, that ye may knowe, that I finde no fault in him at all.
[GNV | EN | NT | John | Chapter 19 | Verse 5] Then came Iesus foorth wearing a crowne of thornes, and a purple garment. And Pilate said vnto them, Beholde the man.
[GNV | EN | NT | John | Chapter 19 | Verse 6] Then when the hie Priests and officers sawe him, they cried, saying, Crucifie, crucifie him. Pilate said vnto them, Take yee him and crucifie him: for I finde no fault in him.
[GNV | EN | NT | John | Chapter 19 | Verse 7] The Iewes answered him, We haue a lawe, and by our law he ought to die, because he made himselfe the Sonne of God.
[GNV | EN | NT | John | Chapter 19 | Verse 8] When Pilate then heard that woorde, he was the more afraide,
[GNV | EN | NT | John | Chapter 19 | Verse 9] And went againe into the common hall, and saide vnto Iesus, Whence art thou? But Iesus gaue him none answere.
[GNV | EN | NT | John | Chapter 19 | Verse 10] Then saide Pilate vnto him, Speakest thou not vnto me? Knowest thou not that I haue power to crucifie thee, and haue power to loose thee?
[GNV | EN | NT | John | Chapter 19 | Verse 11] Iesus answered, Thou couldest haue no power at all against me, except it were giuen thee from aboue: therefore he that deliuered me vnto thee, hath the greater sinne.
[GNV | EN | NT | John | Chapter 19 | Verse 12] From thence foorth Pilate sought to loose him, but the Iewes cried, saying, If thou deliuer him, thou art not Cesars friende: for whosoeuer maketh himselfe a King, speaketh against Cesar.
[GNV | EN | NT | John | Chapter 19 | Verse 13] When Pilate heard this woorde, hee brought Iesus foorth, and sate downe in the iudgement seate in a place called the Pauement, and in Hebrewe, Gabbatha.
[GNV | EN | NT | John | Chapter 19 | Verse 14] And it was the Preparation of the Passeouer, and about the sixt houre: and hee sayde vnto the Iewes, Beholde your King.
[GNV | EN | NT | John | Chapter 19 | Verse 15] But they cried, Away with him, away with him, crucifie him. Pilate sayde vnto them, Shall I crucifie your King? The high Priestes answered, We haue no King but Cesar.
[GNV | EN | NT | John | Chapter 19 | Verse 16] Then deliuered he him vnto them, to be crucified. And they tooke Iesus, and led him away.
[GNV | EN | NT | John | Chapter 19 | Verse 17] And he bare his owne crosse, and came into a place named of dead mens Skulles, which is called in Hebrewe, Golgotha:
[GNV | EN | NT | John | Chapter 19 | Verse 18] Where they crucified him, and two other with him, on either side one, and Iesus in the middes.
[GNV | EN | NT | John | Chapter 19 | Verse 19] And Pilate wrote also a title, and put it on the crosse, and it was written, JESUS OF NAZARETH THE KING OF THE JEWES.
[GNV | EN | NT | John | Chapter 19 | Verse 20] This title then read many of the Iewes: for the place where Iesus was crucified, was neere to the citie: and it was written in Hebrewe, Greeke and Latine.
[GNV | EN | NT | John | Chapter 19 | Verse 21] Then saide the hie Priests of the Iewes to Pilate, Write not, The King of the Iewes, but that he sayd, I am King of the Iewes.
[GNV | EN | NT | John | Chapter 19 | Verse 22] Pilate answered, What I haue written, I haue written.
[GNV | EN | NT | John | Chapter 19 | Verse 23] Then the souldiers, when they had crucified Iesus, tooke his garments (and made foure partes, to euery souldier a part) and his coat: and the coat was without seame wouen from the toppe throughout.
