[GNV | EN | NT | John | Chapter 3 | Verse 1] There was nowe a man of the Pharises, named Nicodemus, a ruler of the Iewes.
[GNV | EN | NT | John | Chapter 3 | Verse 2] This man came to Iesus by night, and sayd vnto him, Rabbi, we knowe ye thou art a teacher come from God: for no man could do these miracles that thou doest, except God were with him.
[GNV | EN | NT | John | Chapter 3 | Verse 3] Iesus answered, and said vnto him, Verely, verely I say vnto thee, except a man be borne againe, he can not see the kingdome of God.
[GNV | EN | NT | John | Chapter 3 | Verse 4] Nicodemus sayde vnto him, Howe can a man be borne which is olde? can he enter into his mothers wombe againe, and be borne?
[GNV | EN | NT | John | Chapter 3 | Verse 5] Iesus answered, Verely, verely I say vnto thee, except that a man be borne of water and of the Spirite, hee can not enter into the kingdome of God.
[GNV | EN | NT | John | Chapter 3 | Verse 6] That which is borne of the flesh, is flesh: and that that is borne of the Spirit, is spirit.
[GNV | EN | NT | John | Chapter 3 | Verse 7] Marueile not that I said to thee, Yee must be borne againe.
[GNV | EN | NT | John | Chapter 3 | Verse 8] The winde bloweth where it listeth, and thou hearest the sound thereof, but canst not tell whence it commeth, and whither it goeth: so is euery man that is borne of the Spirit.
[GNV | EN | NT | John | Chapter 3 | Verse 9] Nicodemus answered, and said vnto him, Howe can these things be?
[GNV | EN | NT | John | Chapter 3 | Verse 10] Iesus answered, and saide vnto him, Art thou a teacher of Israel, and knowest not these things?
[GNV | EN | NT | John | Chapter 3 | Verse 11] Verely, verely I say vnto thee, wee speake that we know, and testifie that we haue seene: but yee receiue not our witnesse.
[GNV | EN | NT | John | Chapter 3 | Verse 12] If when I tel you earthly things, ye beleeue not, howe should yee beleeue, if I shall tel you of heauenly things?
[GNV | EN | NT | John | Chapter 3 | Verse 13] For no man ascendeth vp to heauen, but he that hath descended from heauen, that Sonne of man which is in heauen.
[GNV | EN | NT | John | Chapter 3 | Verse 14] And as Moses lift vp the serpent in the wildernesse, so must that Sonne of man be lift vp,
[GNV | EN | NT | John | Chapter 3 | Verse 15] That whosoeuer beleeueth in him, shoulde not perish, but haue eternall life.
[GNV | EN | NT | John | Chapter 3 | Verse 16] For God so loued the worlde, that hee hath giuen his onely begotten Sonne, that whosoeuer beleeueth in him, should not perish, but haue euerlasting life.
[GNV | EN | NT | John | Chapter 3 | Verse 17] For God sent not his Sonne into the world, that he should condemne the world, but that the world through him might be saued.
[GNV | EN | NT | John | Chapter 3 | Verse 18] Hee that beleeueth in him, is not condemned: but hee that beleeueth not, is condemned already, because he hath not beleeued in the Name of that onely begotten Sonne of God.
[GNV | EN | NT | John | Chapter 3 | Verse 19] And this is the condemnation, that that light came into the worlde, and men loued darknesse rather then that light, because their deedes were euill.
[GNV | EN | NT | John | Chapter 3 | Verse 20] For euery man that euill doeth, hateth the light, neither commeth to light, least his deedes should be reprooued.
[GNV | EN | NT | John | Chapter 3 | Verse 21] But he that doeth trueth, commeth to the light, that his deedes might bee made manifest, that they are wrought according to God.
[GNV | EN | NT | John | Chapter 3 | Verse 22] After these things, came Iesus and his disciples into the lande of Iudea, and there taried with them, and baptized.
[GNV | EN | NT | John | Chapter 3 | Verse 23] And Iohn also baptized in Enon besides Salim, because there was much water there: and they came, and were baptized.
[GNV | EN | NT | John | Chapter 3 | Verse 24] For Iohn was not yet cast into prison.
[GNV | EN | NT | John | Chapter 3 | Verse 25] Then there arose a question betweene Iohns disciples and the Iewes, about purifying.
[GNV | EN | NT | John | Chapter 3 | Verse 26] And they came vnto Iohn, and saide vnto him, Rabbi, he that was with thee beyond Iorden, to whom thou barest witnesse, behold, he baptizeth, and all men come to him.
[GNV | EN | NT | John | Chapter 3 | Verse 27] Iohn answered, and saide, A man can receiue nothing, except it be giuen him from heauen.
[GNV | EN | NT | John | Chapter 3 | Verse 28] Yee your selues are my witnesses, that I sayde, I am not that Christ, but that I am sent before him.
[GNV | EN | NT | John | Chapter 3 | Verse 29] He that hath the bride, is the bridegrome: but the friend of the bridegrome which standeth and heareth him, reioyceth greatly, because of the bridegromes voyce. This my ioy therefore is fulfilled.
[GNV | EN | NT | John | Chapter 3 | Verse 30] He must increase, but I must decrease.
[GNV | EN | NT | John | Chapter 3 | Verse 31] Hee that is come from an hie, is aboue all: he that is of the earth, is of the earth, and speaketh of the earth: hee that is come from heauen, is aboue all.
[GNV | EN | NT | John | Chapter 3 | Verse 32] And what hee hath seene and heard, that he testifieth: but no man receiueth his testimonie.
[GNV | EN | NT | John | Chapter 3 | Verse 33] He that hath receiued his testimonie, hath sealed that God is true.
[GNV | EN | NT | John | Chapter 3 | Verse 34] For hee whome God hath sent, speaketh the woordes of God: for God giueth him not the Spirit by measure.
[GNV | EN | NT | John | Chapter 3 | Verse 35] The Father loueth the Sonne, and hath giuen all things into his hande.
[GNV | EN | NT | John | Chapter 3 | Verse 36] Hee that beleeueth in the Sonne, hath euerlasting life, and hee that obeyeth not the Sonne, shall not see life, but the wrath of God abideth on him.
