[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 1] Now these were the sons of David, who were born to him in Hebron: the firstborn, Amnon, of Ahinoam the Jezreelitess; the second, Daniel, of Abigail the Carmelitess;
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 2] the third, Absalom the son of Maacah the daughter of Talmai king of Geshur; the fourth, Adonijah the son of Haggith;
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 3] the fifth, Shephatiah of Abital; the sixth, Ithream by Eglah his wife:
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 4] six were born to him in Hebron; and he reigned there seven years and six months. He reigned thirty-three years in Jerusalem;
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 5] and these were born to him in Jerusalem: Shimea, Shobab, Nathan, and Solomon, four, by Bathshua the daughter of Ammiel;
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 6] and Ibhar, Elishama, Eliphelet,
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 7] Nogah, Nepheg, Japhia,
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 8] Elishama, Eliada, and Eliphelet, nine.
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 9] All these were the sons of David, in addition to the sons of the concubines; and Tamar was their sister.
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 10] Solomon’s son was Rehoboam, Abijah his son, Asa his son, Jehoshaphat his son,
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 11] Joram his son, Ahaziah his son, Joash his son,
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 12] Amaziah his son, Azariah his son, Jotham his son,
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 13] Ahaz his son, Hezekiah his son, Manasseh his son,
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 14] Amon his son, and Josiah his son.
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 15] The sons of Josiah: the firstborn Johanan, the second Jehoiakim, the third Zedekiah, and the fourth Shallum.
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 16] The sons of Jehoiakim: Jeconiah his son, and Zedekiah his son.
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 17] The sons of Jeconiah, the captive: Shealtiel his son,
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 18] Malchiram, Pedaiah, Shenazzar, Jekamiah, Hoshama, and Nedabiah.
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 19] The sons of Pedaiah: Zerubbabel and Shimei. The sons of Zerubbabel: Meshullam and Hananiah; and Shelomith was their sister;
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 20] and Hashubah, Ohel, Berechiah, Hasadiah, and Jushab Hesed, five.
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 21] The sons of Hananiah: Pelatiah and Jeshaiah; the sons of Rephaiah, the sons of Arnan, the sons of Obadiah, the sons of Shecaniah.
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 22] The son of Shecaniah: Shemaiah. The sons of Shemaiah: Hattush, Igal, Bariah, Neariah, and Shaphat, six.
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 23] The sons of Neariah: Elioenai, Hizkiah, and Azrikam, three.
[WEB | EN | OT | 1 Chronicles | Chapter 3 | Verse 24] The sons of Elioenai: Hodaviah, Eliashib, Pelaiah, Akkub, Johanan, Delaiah, and Anani, seven.
