[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 1] The sons of Levi: Gershon, Kohath, and Merari.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 2] The sons of Kohath: Amram, Izhar, Hebron, and Uzziel.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 3] The children of Amram: Aaron, Moses, and Miriam. The sons of Aaron: Nadab, Abihu, Eleazar, and Ithamar.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 4] Eleazar became the father of Phinehas, Phinehas became the father of Abishua,
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 5] Abishua became the father of Bukki. Bukki became the father of Uzzi.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 6] Uzzi became the father of Zerahiah. Zerahiah became the father of Meraioth.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 7] Meraioth became the father of Amariah. Amariah became the father of Ahitub.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 8] Ahitub became the father of Zadok. Zadok became the father of Ahimaaz.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 9] Ahimaaz became the father of Azariah. Azariah became the father of Johanan.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 10] Johanan became the father of Azariah, who executed the priest’s office in the house that Solomon built in Jerusalem.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 11] Azariah became the father of Amariah. Amariah became the father of Ahitub.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 12] Ahitub became the father of Zadok. Zadok became the father of Shallum.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 13] Shallum became the father of Hilkiah. Hilkiah became the father of Azariah.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 14] Azariah became the father of Seraiah. Seraiah became the father of Jehozadak.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 15] Jehozadak went into captivity when the LORD carried Judah and Jerusalem away by the hand of Nebuchadnezzar.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 16] The sons of Levi: Gershom, Kohath, and Merari.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 17] These are the names of the sons of Gershom: Libni and Shimei.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 18] The sons of Kohath were Amram, Izhar, Hebron, and Uzziel.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 19] The sons of Merari: Mahli and Mushi. These are the families of the Levites according to their fathers’ households.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 20] Of Gershom: Libni his son, Jahath his son, Zimmah his son,
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 21] Joah his son, Iddo his son, Zerah his son, and Jeatherai his son.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 22] The sons of Kohath: Amminadab his son, Korah his son, Assir his son,
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 23] Elkanah his son, Ebiasaph his son, Assir his son,
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 24] Tahath his son, Uriel his son, Uzziah his son, and Shaul his son.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 25] The sons of Elkanah: Amasai and Ahimoth.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 26] As for Elkanah, the sons of Elkanah: Zophai his son, Nahath his son,
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 27] Eliab his son, Jeroham his son, and Elkanah his son.
[WEB | EN | OT | 1 Chronicles | Chapter 6 | Verse 28] The sons of Samuel: the firstborn, Joel, and the second, Abijah.
