[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 1] The sons of Judah: Perez, Hezron, Carmi, Hur, and Shobal.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 2] Reaiah the son of Shobal became the father of Jahath; and Jahath became the father of Ahumai and Lahad. These are the families of the Zorathites.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 3] These were the sons of the father of Etam: Jezreel, Ishma, and Idbash. The name of their sister was Hazzelelponi.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 4] Penuel was the father of Gedor and Ezer the father of Hushah. These are the sons of Hur, the firstborn of Ephrathah, the father of Bethlehem.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 5] Ashhur the father of Tekoa had two wives, Helah and Naarah.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 6] Naarah bore him Ahuzzam, Hepher, Temeni, and Haahashtari. These were the sons of Naarah.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 7] The sons of Helah were Zereth, Izhar, and Ethnan.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 8] Hakkoz became the father of Anub, Zobebah, and the families of Aharhel the son of Harum.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 9] Jabez was more honorable than his brothers. His mother named him Jabez, saying, “Because I bore him with sorrow.”
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 10] Jabez called on the God of Israel, saying, “Oh that you would bless me indeed, and enlarge my border! May your hand be with me, and may you keep me from evil, that I may not cause pain!” God granted him that which he requested.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 11] Chelub the brother of Shuhah became the father of Mehir, who was the father of Eshton.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 12] Eshton became the father of Beth Rapha, Paseah, and Tehinnah the father of Ir Nahash. These are the men of Recah.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 13] The sons of Kenaz: Othniel and Seraiah. The sons of Othniel: Hathath.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 14] Meonothai became the father of Ophrah: and Seraiah became the father of Joab the father of Ge Harashim, for they were craftsmen.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 15] The sons of Caleb the son of Jephunneh: Iru, Elah, and Naam. The son of Elah: Kenaz.
[WEB | EN | OT | 1 Chronicles | Chapter 4 | Verse 16] The sons of Jehallelel: Ziph, Ziphah, Tiria, and Asarel.
