[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 1] These are the sons of Israel: Reuben, Simeon, Levi, Judah, Issachar, Zebulun,
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 2] Dan, Joseph, Benjamin, Naphtali, Gad, and Asher.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 3] The sons of Judah: Er, Onan, and Shelah, which three were born to him of Shua’s daughter the Canaanitess. Er, Judah’s firstborn, was wicked in the LORD’s sight; and he killed him.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 4] Tamar his daughter-in-law bore him Perez and Zerah. All the sons of Judah were five.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 5] The sons of Perez: Hezron and Hamul.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 6] The sons of Zerah: Zimri, Ethan, Heman, Calcol, and Dara—five of them in all.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 7] The son of Carmi: Achar, the troubler of Israel, who committed a trespass in the devoted thing.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 8] The son of Ethan: Azariah.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 9] The sons also of Hezron, who were born to him: Jerahmeel, Ram, and Chelubai.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 10] Ram became the father of Amminadab, and Amminadab became the father of Nahshon, prince of the children of Judah;
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 11] and Nahshon became the father of Salma, and Salma became the father of Boaz,
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 12] and Boaz became the father of Obed, and Obed became the father of Jesse;
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 13] and Jesse became the father of his firstborn Eliab, Abinadab the second, Shimea the third,
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 14] Nethanel the fourth, Raddai the fifth,
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 15] Ozem the sixth, and David the seventh;
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 16] and their sisters were Zeruiah and Abigail. The sons of Zeruiah: Abishai, Joab, and Asahel, three.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 17] Abigail bore Amasa; and the father of Amasa was Jether the Ishmaelite.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 18] Caleb the son of Hezron became the father of children by Azubah his wife, and by Jerioth; and these were her sons: Jesher, Shobab, and Ardon.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 19] Azubah died, and Caleb married Ephrath, who bore him Hur.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 20] Hur became the father of Uri, and Uri became the father of Bezalel.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 21] Afterward Hezron went in to the daughter of Machir the father of Gilead, whom he took as wife when he was sixty years old; and she bore him Segub.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 22] Segub became the father of Jair, who had twenty-three cities in the land of Gilead.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 23] Geshur and Aram took the towns of Jair from them, with Kenath, and its villages, even sixty cities. All these were the sons of Machir the father of Gilead.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 24] After Hezron died in Caleb Ephrathah, Abijah, Hezron’s wife, bore him Ashhur the father of Tekoa.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 25] The sons of Jerahmeel the firstborn of Hezron were Ram the firstborn, Bunah, Oren, Ozem, and Ahijah.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 26] Jerahmeel had another wife, whose name was Atarah. She was the mother of Onam.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 27] The sons of Ram the firstborn of Jerahmeel were Maaz, Jamin, and Eker.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 28] The sons of Onam were Shammai and Jada. The sons of Shammai: Nadab and Abishur.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 29] The name of the wife of Abishur was Abihail; and she bore him Ahban and Molid.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 30] The sons of Nadab: Seled and Appaim; but Seled died without children.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 31] The son of Appaim: Ishi. The son of Ishi: Sheshan. The son of Sheshan: Ahlai.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 32] The sons of Jada the brother of Shammai: Jether and Jonathan; and Jether died without children.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 33] The sons of Jonathan: Peleth and Zaza. These were the sons of Jerahmeel.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 34] Now Sheshan had no sons, but only daughters. Sheshan had a servant, an Egyptian, whose name was Jarha.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 35] Sheshan gave his daughter to Jarha his servant as wife; and she bore him Attai.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 36] Attai became the father of Nathan, and Nathan became the father of Zabad,
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 37] and Zabad became the father of Ephlal, and Ephlal became the father of Obed,
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 38] and Obed became the father of Jehu, and Jehu became the father of Azariah,
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 39] and Azariah became the father of Helez, and Helez became the father of Eleasah,
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 40] and Eleasah became the father of Sismai, and Sismai became the father of Shallum,
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 41] and Shallum became the father of Jekamiah, and Jekamiah became the father of Elishama.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 42] The sons of Caleb the brother of Jerahmeel were Mesha his firstborn, who was the father of Ziph, and the sons of Mareshah the father of Hebron.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 43] The sons of Hebron: Korah, Tappuah, Rekem, and Shema.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 44] Shema became the father of Raham, the father of Jorkeam; and Rekem became the father of Shammai.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 45] The son of Shammai was Maon; and Maon was the father of Beth Zur.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 46] Ephah, Caleb’s concubine, bore Haran, Moza, and Gazez; and Haran became the father of Gazez.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 47] The sons of Jahdai: Regem, Jothan, Geshan, Pelet, Ephah, and Shaaph.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 48] Maacah, Caleb’s concubine, bore Sheber and Tirhanah.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 49] She bore also Shaaph the father of Madmannah, Sheva the father of Machbena and the father of Gibea; and the daughter of Caleb was Achsah.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 50] These were the sons of Caleb, the son of Hur, the firstborn of Ephrathah: Shobal the father of Kiriath Jearim,
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 51] Salma the father of Bethlehem, and Hareph the father of Beth Gader.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 52] Shobal the father of Kiriath Jearim had sons: Haroeh, half of the Menuhoth.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 53] The families of Kiriath Jearim: the Ithrites, the Puthites, the Shumathites, and the Mishraites; from them came the Zorathites and the Eshtaolites.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 54] The sons of Salma: Bethlehem, the Netophathites, Atroth Beth Joab, and half of the Manahathites, the Zorites.
[WEB | EN | OT | 1 Chronicles | Chapter 2 | Verse 55] The families of scribes who lived at Jabez: the Tirathites, the Shimeathites, and the Sucathites. These are the Kenites who came from Hammath, the father of the house of Rechab.
