[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 1] After this, David defeated the Philistines and subdued them, and took Gath and its towns out of the hand of the Philistines.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 2] He defeated Moab; and the Moabites became servants to David and brought tribute.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 3] David defeated Hadadezer king of Zobah, toward Hamath, as he went to establish his dominion by the river Euphrates.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 4] David took from him one thousand chariots, seven thousand horsemen, and twenty thousand footmen; and David hamstrung all the chariot horses, but reserved of them enough for one hundred chariots.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 5] When the Syrians of Damascus came to help Hadadezer king of Zobah, David struck twenty-two thousand men of the Syrians.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 6] Then David put garrisons in Syria of Damascus; and the Syrians became servants to David and brought tribute. The LORD gave victory to David wherever he went.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 7] David took the shields of gold that were on the servants of Hadadezer, and brought them to Jerusalem.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 8] From Tibhath and from Cun, cities of Hadadezer, David took very much bronze, with which Solomon made the bronze sea, the pillars, and the vessels of bronze.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 9] When Tou king of Hamath heard that David had struck all the army of Hadadezer king of Zobah,
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 10] he sent Hadoram his son to King David to greet him and to bless him, because he had fought against Hadadezer and struck him (for Hadadezer had wars with Tou); and he had with him all kinds of vessels of gold and silver and bronze.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 11] King David also dedicated these to the LORD, with the silver and the gold that he carried away from all the nations: from Edom, from Moab, from the children of Ammon, from the Philistines, and from Amalek.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 12] Moreover Abishai the son of Zeruiah struck eighteen thousand of the Edomites in the Valley of Salt.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 13] He put garrisons in Edom; and all the Edomites became servants to David. The LORD gave victory to David wherever he went.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 14] David reigned over all Israel; and he executed justice and righteousness for all his people.
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 15] Joab the son of Zeruiah was over the army; Jehoshaphat the son of Ahilud was recorder;
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 16] Zadok the son of Ahitub and Abimelech the son of Abiathar were priests; Shavsha was scribe;
[WEB | EN | OT | 1 Chronicles | Chapter 18 | Verse 17] and Benaiah the son of Jehoiada was over the Cherethites and the Pelethites; and the sons of David were chief officials serving the king.
