[WLC | HE | OT | Psalms | Chapter 72 | Verse 1] לִשְׁלֹמֹ֨ה ׀ אֱֽלֹהִ֗ים מִ֭שְׁפָּטֶיךָ לְמֶ֣לֶךְ תֵּ֑ן וְצִדְקָתְךָ֥ לְבֶן־מֶֽלֶךְ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 2] יָדִ֣ין עַמְּךָ֣ בְצֶ֑דֶק וַעֲנִיֶּ֥יךָ בְמִשְׁפָּֽט׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 3] יִשְׂא֤וּ הָרִ֓ים שָׁ֘ל֥וֹם לָעָ֑ם וּ֝גְבָע֗וֹת בִּצְדָקָֽה׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 4] יִשְׁפֹּ֤ט ׀ עֲֽנִיֵּי־עָ֗ם י֭וֹשִׁיעַ לִבְנֵ֣י אֶבְי֑וֹן וִֽידַכֵּ֣א עוֹשֵֽׁק׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 5] יִֽירָא֥וּךָ עִם־שָׁ֑מֶשׁ וְלִפְנֵ֥י יָ֝רֵ֗חַ דּ֣וֹר דּוֹרִֽים׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 6] יֵ֭רֵד כְּמָטָ֣ר עַל־גֵּ֑ז כִּ֝רְבִיבִ֗ים זַרְזִ֥יף אָֽרֶץ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 7] יִֽפְרַח־בְּיָמָ֥יו צַדִּ֑יק וְרֹ֥ב שָׁ֝ל֗וֹם עַד־בְּלִ֥י יָרֵֽחַ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 8] וְ֭יֵרְדְּ מִיָּ֣ם עַד־יָ֑ם וּ֝מִנָּהָ֗ר עַד־אַפְסֵי־אָֽרֶץ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 9] לְ֭פָנָיו יִכְרְע֣וּ צִיִּ֑ים וְ֝אֹיְבָ֗יו עָפָ֥ר יְלַחֵֽכוּ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 10] מַלְכֵ֬י תַרְשִׁ֣ישׁ וְ֭אִיִּים מִנְחָ֣ה יָשִׁ֑יבוּ מַלְכֵ֥י שְׁבָ֥א וּ֝סְבָ֗א אֶשְׁכָּ֥ר יַקְרִֽיבוּ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 11] וְיִשְׁתַּחֲווּ־ל֥וֹ כָל־מְלָכִ֑ים כָּל־גּוֹיִ֥ם יַֽעַבְדֽוּהוּ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 12] כִּֽי־יַ֭צִּיל אֶבְי֣וֹן מְשַׁוֵּ֑עַ וְ֝עָנִ֗י וְֽאֵין־עֹזֵ֥ר לֽוֹ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 13] יָ֭חֹס עַל־דַּ֣ל וְאֶבְי֑וֹן וְנַפְשׁ֖וֹת אֶבְיוֹנִ֣ים יוֹשִֽׁיעַ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 14] מִתּ֣וֹךְ וּ֭מֵחָמָס יִגְאַ֣ל נַפְשָׁ֑ם וְיֵיקַ֖ר דָּמָ֣ם בְּעֵינָֽיו׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 15] וִיחִ֗י וְיִתֶּן־לוֹ֮ מִזְּהַ֪ב שְׁ֫בָ֥א וְיִתְפַּלֵּ֣ל בַּעֲד֣וֹ תָמִ֑יד כָּל־הַ֝יּ֗וֹם יְבָרֲכֶֽנְהֽוּ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 16] יְהִ֤י פִסַּת־בַּ֨ר ׀ בָּאָרֶץ֮ בְּרֹ֪אשׁ הָ֫רִ֥ים יִרְעַ֣שׁ כַּלְּבָנ֣וֹן פִּרְי֑וֹ וְיָצִ֥יצוּ מֵ֝עִ֗יר כְּעֵ֣שֶׂב הָאָֽרֶץ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 17] יְהִ֤י שְׁמ֨וֹ לְֽעוֹלָ֗ם לִפְנֵי־שֶׁמֶשׁ֮ ינין שְׁ֫מ֥וֹ וְיִתְבָּ֥רְכוּ ב֑וֹ כָּל־גּוֹיִ֥ם יְאַשְּׁרֽוּהוּ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 18] בָּר֤וּךְ ׀ יְהוָ֣ה אֱ֭לֹהִים אֱלֹהֵ֣י יִשְׂרָאֵ֑ל עֹשֵׂ֖ה נִפְלָא֣וֹת לְבַדּֽוֹ׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 19] וּבָר֤וּךְ ׀ שֵׁ֥ם כְּבוֹד֗וֹ לְע֫וֹלָ֥ם וְיִמָּלֵ֣א כְ֭בוֹדוֹ אֶת־כֹּ֥ל הָאָ֗רֶץ אָ֘מֵ֥ן ׀ וְאָמֵֽן׃
[WLC | HE | OT | Psalms | Chapter 72 | Verse 20] כָּלּ֥וּ תְפִלּ֑וֹת דָּ֝וִ֗ד בֶּן־יִשָֽׁי׃
