[WLC | HE | OT | Psalms | Chapter 59 | Verse 1] לַמְנַצֵּ֣חַ אַל־תַּשְׁחֵת֮ לְדָוִ֪ד מִ֫כְתָּ֥ם בִּשְׁלֹ֥חַ שָׁא֑וּל וַֽיִּשְׁמְר֥וּ אֶת־הַ֝בַּ֗יִת לַהֲמִיתֽוֹ׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 2] הַצִּילֵ֖נִי מֵאֹיְבַ֥י ׀ אֱלֹהָ֑י מִּמִתְקוֹמְמַ֥י תְּשַׂגְּבֵֽנִי׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 3] הַ֭צִּילֵנִי מִפֹּ֣עֲלֵי אָ֑וֶן וּֽמֵאַנְשֵׁ֥י דָ֝מִ֗ים הוֹשִׁיעֵֽנִי׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 4] כִּ֤י הִנֵּ֪ה אָֽרְב֡וּ לְנַפְשִׁ֗י יָג֣וּרוּ עָלַ֣י עַזִ֑ים לֹא־פִשְׁעִ֖י וְלֹא־חַטָּאתִ֣י יְהוָֽה׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 5] בְּֽלִי־עָ֭וֺן יְרוּצ֣וּן וְיִכּוֹנָ֑נוּ ע֖וּרָה לִקְרָאתִ֣י וּרְאֵה׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 6] וְאַתָּ֤ה יְהוָֽה־אֱלֹהִ֥ים ׀ צְבָא֡וֹת אֱלֹ֘הֵ֤י יִשְׂרָאֵ֗ל הָקִ֗יצָה לִפְקֹ֥ד כָּֽל־הַגּוֹיִ֑ם אַל־תָּחֹ֨ן כָּל־בֹּ֖גְדֵי אָ֣וֶן סֶֽלָה׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 7] יָשׁ֣וּבוּ לָ֭עֶרֶב יֶהֱמ֥וּ כַכָּ֗לֶב וִיס֥וֹבְבוּ עִֽיר׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 8] הִנֵּ֤ה ׀ יַבִּ֘יע֤וּן בְּפִיהֶ֗ם חֲ֭רָבוֹת בְּשִׂפְתוֹתֵיהֶ֑ם כִּי־מִ֥י שֹׁמֵֽעַ׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 9] וְאַתָּ֣ה יְ֭הוָה תִּשְׂחַק־לָ֑מוֹ תִּ֝לְעַ֗ג לְכָל־גּוֹיִֽם׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 10] עֻ֭זּוֹ אֵלֶ֣יךָ אֶשְׁמֹ֑רָה כִּֽי־אֱ֝לֹהִ֗ים מִשְׂגַּבִּֽי׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 11] אֱלֹהֵ֣י חסדו יְקַדְּמֵ֑נִי אֱ֝לֹהִ֗ים יַרְאֵ֥נִי בְשֹׁרְרָֽי׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 12] אַל־תַּהַרְגֵ֤ם ׀ פֶּֽן־יִשְׁכְּח֬וּ עַמִּ֗י הֲנִיעֵ֣מוֹ בְ֭חֵילְךָ וְהוֹרִידֵ֑מוֹ מָֽגִנֵּ֣נוּ אֲדֹנָֽי׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 13] חַטַּאת־פִּ֗ימוֹ דְּֽבַר־שְׂפָ֫תֵ֥ימוֹ וְיִלָּכְד֥וּ בִגְאוֹנָ֑ם וּמֵאָלָ֖ה וּמִכַּ֣חַשׁ יְסַפֵּֽרוּ׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 14] כַּלֵּ֥ה בְחֵמָה֮ כַּלֵּ֪ה וְֽאֵ֫ינֵ֥מוֹ וְֽיֵדְע֗וּ כִּֽי־אֱ֭לֹהִים מֹשֵׁ֣ל בְּיַעֲקֹ֑ב לְאַפְסֵ֖י הָאָ֣רֶץ סֶֽלָה׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 15] וְיָשׁ֣וּבוּ לָ֭עֶרֶב יֶהֱמ֥וּ כַכָּ֗לֶב וִיס֥וֹבְבוּ עִֽיר׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 16] הֵ֭מָּה ינועון לֶאֱכֹ֑ל אִם־לֹ֥א יִ֝שְׂבְּע֗וּ וַיָּלִֽינוּ׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 17] וַאֲנִ֤י ׀ אָשִׁ֣יר עֻזֶּךָ֮ וַאֲרַנֵּ֥ן לַבֹּ֗קֶר חַ֫סְדֶּ֥ךָ כִּֽי־הָיִ֣יתָ מִשְׂגָּ֣ב לִ֑י וּ֝מָנ֗וֹס בְּי֣וֹם צַר־לִֽי׃
[WLC | HE | OT | Psalms | Chapter 59 | Verse 18] עֻ֭זִּי אֵלֶ֣יךָ אֲזַמֵּ֑רָה כִּֽי־אֱלֹהִ֥ים מִ֝שְׂגַּבִּ֗י אֱלֹהֵ֥י חַסְדִּֽי׃
