[WLC | HE | OT | Psalms | Chapter 108 | Verse 1] שִׁ֖יר מִזְמ֣וֹר לְדָוִֽד׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 2] נָכ֣וֹן לִבִּ֣י אֱלֹהִ֑ים אָשִׁ֥ירָה וַ֝אֲזַמְּרָ֗ה אַף־כְּבוֹדִֽי׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 3] ע֭וּרָֽה הַנֵּ֥בֶל וְכִנּ֗וֹר אָעִ֥ירָה שָּֽׁחַר׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 4] אוֹדְךָ֖ בָעַמִּ֥ים ׀ יְהוָ֑ה וַ֝אֲזַמֶּרְךָ֗ בַּל־אֻמִּֽים׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 5] כִּֽי־גָד֣וֹל מֵֽעַל־שָׁמַ֣יִם חַסְדֶּ֑ךָ וְֽעַד־שְׁחָקִ֥ים אֲמִתֶּֽךָ׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 6] ר֣וּמָה עַל־שָׁמַ֣יִם אֱלֹהִ֑ים וְעַ֖ל כָּל־הָאָ֣רֶץ כְּבוֹדֶֽךָ׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 7] לְ֭מַעַן יֵחָלְצ֣וּן יְדִידֶ֑יךָ הוֹשִׁ֖יעָה יְמִֽינְךָ֣ וַעֲנֵֽנִי׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 8] אֱלֹהִ֤ים ׀ דִּבֶּ֥ר בְּקָדְשׁ֗וֹ אֶעְלֹ֥זָה אֲחַלְּקָ֥ה שְׁכֶ֑ם וְעֵ֖מֶק סֻכּ֣וֹת אֲמַדֵּֽד׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 9] לִ֤י גִלְעָ֨ד ׀ לִ֤י מְנַשֶּׁ֗ה וְ֭אֶפְרַיִם מָע֣וֹז רֹאשִׁ֑י יְ֝הוּדָ֗ה מְחֹקְקִֽי׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 10] מוֹאָ֤ב ׀ סִ֬יר רַחְצִ֗י עַל־אֱ֭דוֹם אַשְׁלִ֣יךְ נַעֲלִ֑י עֲלֵֽי־פְ֝לֶ֗שֶׁת אֶתְרוֹעָֽע׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 11] מִ֣י יֹ֭בִלֵנִי עִ֣יר מִבְצָ֑ר מִ֖י נָחַ֣נִי עַד־אֱדֽוֹם׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 12] הֲלֹֽא־אֱלֹהִ֥ים זְנַחְתָּ֑נוּ וְֽלֹא־תֵצֵ֥א אֱ֝לֹהִ֗ים בְּצִבְאֹתֵֽינוּ׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 13] הָֽבָה־לָּ֣נוּ עֶזְרָ֣ת מִצָּ֑ר וְ֝שָׁ֗וְא תְּשׁוּעַ֥ת אָדָֽם׃
[WLC | HE | OT | Psalms | Chapter 108 | Verse 14] בֵּֽאלֹהִ֥ים נַעֲשֶׂה־חָ֑יִל וְ֝ה֗וּא יָב֥וּס צָרֵֽינוּ׃
