[WLC | HE | OT | Psalms | Chapter 73 | Verse 1] מִזְמ֗וֹר לְאָ֫סָ֥ף אַ֤ךְ ט֭וֹב לְיִשְׂרָאֵ֥ל אֱלֹהִ֗ים לְבָרֵ֥י לֵבָֽב׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 2] וַאֲנִ֗י כִּ֭מְעַט נטוי רַגְלָ֑י כְּ֝אַ֗יִן שפכה אֲשֻׁרָֽי׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 3] כִּֽי־קִ֭נֵּאתִי בַּֽהוֹלְלִ֑ים שְׁל֖וֹם רְשָׁעִ֣ים אֶרְאֶֽה׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 4] כִּ֤י אֵ֖ין חַרְצֻבּ֥וֹת לְמוֹתָ֗ם וּבָרִ֥יא אוּלָֽם׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 5] בַּעֲמַ֣ל אֱנ֣וֹשׁ אֵינֵ֑מוֹ וְעִם־אָ֝דָ֗ם לֹ֣א יְנֻגָּֽעוּ׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 6] לָ֭כֵן עֲנָקַ֣תְמוֹ גַאֲוָ֑ה יַעֲטָף־שִׁ֝֗ית חָמָ֥ס לָֽמוֹ׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 7] יָ֭צָא מֵחֵ֣לֶב עֵינֵ֑מוֹ עָ֝בְר֗וּ מַשְׂכִּיּ֥וֹת לֵבָֽב׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 8] יָמִ֤יקוּ ׀ וִידַבְּר֣וּ בְרָ֣ע עֹ֑שֶׁק מִמָּר֥וֹם יְדַבֵּֽרוּ׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 9] שַׁתּ֣וּ בַשָּׁמַ֣יִם פִּיהֶ֑ם וּ֝לְשׁוֹנָ֗ם תִּֽהֲלַ֥ךְ בָּאָֽרֶץ׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 10] לָכֵ֤ן ׀ ישיב עַמּ֣וֹ הֲלֹ֑ם וּמֵ֥י מָ֝לֵ֗א יִמָּ֥צוּ לָֽמוֹ׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 11] וְֽאָמְר֗וּ אֵיכָ֥ה יָדַֽע־אֵ֑ל וְיֵ֖שׁ דֵּעָ֣ה בְעֶלְיֽוֹן׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 12] הִנֵּה־אֵ֥לֶּה רְשָׁעִ֑ים וְשַׁלְוֵ֥י ע֝וֹלָ֗ם הִשְׂגּוּ־חָֽיִל׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 13] אַךְ־רִ֭יק זִכִּ֣יתִי לְבָבִ֑י וָאֶרְחַ֖ץ בְּנִקָּי֣וֹן כַּפָּֽי׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 14] וָאֱהִ֣י נָ֭גוּעַ כָּל־הַיּ֑וֹם וְ֝תוֹכַחְתִּ֗י לַבְּקָרִֽים׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 15] אִם־אָ֭מַרְתִּי אֲסַפְּרָ֥ה כְמ֑וֹ הִנֵּ֤ה ד֭וֹר בָּנֶ֣יךָ בָגָֽדְתִּי׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 16] וָֽ֭אֲחַשְּׁבָה לָדַ֣עַת זֹ֑את עָמָ֖ל היא בְעֵינָֽי׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 17] עַד־אָ֭בוֹא אֶל־מִקְדְּשֵׁי־אֵ֑ל אָ֝בִ֗ינָה לְאַחֲרִיתָֽם׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 18] אַ֣ךְ בַּ֭חֲלָקוֹת תָּשִׁ֣ית לָ֑מוֹ הִ֝פַּלְתָּ֗ם לְמַשּׁוּאֽוֹת׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 19] אֵ֤יךְ הָי֣וּ לְשַׁמָּ֣ה כְרָ֑גַע סָ֥פוּ תַ֝֗מּוּ מִן־בַּלָּהֽוֹת׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 20] כַּחֲל֥וֹם מֵהָקִ֑יץ אֲ֝דֹנָי בָּעִ֤יר ׀ צַלְמָ֬ם תִּבְזֶֽה׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 21] כִּ֭י יִתְחַמֵּ֣ץ לְבָבִ֑י וְ֝כִלְיוֹתַ֗י אֶשְׁתּוֹנָֽן׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 22] וַאֲנִי־בַ֭עַר וְלֹ֣א אֵדָ֑ע בְּ֝הֵמ֗וֹת הָיִ֥יתִי עִמָּֽךְ׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 23] וַאֲנִ֣י תָמִ֣יד עִמָּ֑ךְ אָ֝חַ֗זְתָּ בְּיַד־יְמִינִֽי׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 24] בַּעֲצָתְךָ֥ תַנְחֵ֑נִי וְ֝אַחַ֗ר כָּב֥וֹד תִּקָּחֵֽנִי׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 25] מִי־לִ֥י בַשָּׁמָ֑יִם וְ֝עִמְּךָ֗ לֹא־חָפַ֥צְתִּי בָאָֽרֶץ׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 26] כָּלָ֥ה שְׁאֵרִ֗י וּלְבָ֫בִ֥י צוּר־לְבָבִ֥י וְחֶלְקִ֗י אֱלֹהִ֥ים לְעוֹלָֽם׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 27] כִּֽי־הִנֵּ֣ה רְחֵקֶ֣יךָ יֹאבֵ֑דוּ הִ֝צְמַ֗תָּה כָּל־זוֹנֶ֥ה מִמֶּֽךָּ׃
[WLC | HE | OT | Psalms | Chapter 73 | Verse 28] וַאֲנִ֤י ׀ קִֽרֲבַ֥ת אֱלֹהִ֗ים לִ֫י־ט֥וֹב שַׁתִּ֤י ׀ בַּאדֹנָ֣י יְהֹוִ֣ה מַחְסִ֑י לְ֝סַפֵּ֗ר כָּל־מַלְאֲכוֹתֶֽיךָ ׃
