[WLC | HE | OT | Psalms | Chapter 104 | Verse 1] בָּרֲכִ֥י נַפְשִׁ֗י אֶת־יְה֫וָ֥ה יְהוָ֣ה אֱ֭לֹהַי גָּדַ֣לְתָּ מְּאֹ֑ד ה֭וֹד וְהָדָ֣ר לָבָֽשְׁתָּ׃
[WLC | HE | OT | Psalms | Chapter 104 | Verse 2] עֹֽטֶה־א֭וֹר כַּשַּׂלְמָ֑ה נוֹטֶ֥ה שָׁ֝מַ֗יִם כַּיְרִיעָֽה׃
[WLC | HE | OT | Psalms | Chapter 104 | Verse 3] הַ֥מְקָרֶֽה בַמַּ֗יִם עֲֽלִיּ֫וֹתָ֥יו הַשָּׂם־עָבִ֥ים רְכוּב֑וֹ הַֽ֝מְהַלֵּ֗ךְ עַל־כַּנְפֵי־רֽוּחַ׃
[WLC | HE | OT | Psalms | Chapter 104 | Verse 4] עֹשֶׂ֣ה מַלְאָכָ֣יו רוּח֑וֹת מְ֝שָׁרְתָ֗יו אֵ֣שׁ לֹהֵֽט׃
[WLC | HE | OT | Psalms | Chapter 104 | Verse 5] יָֽסַד־אֶ֭רֶץ עַל־מְכוֹנֶ֑יהָ בַּל־תִּ֝מּ֗וֹט עוֹלָ֥ם וָעֶֽד׃
[WLC | HE | OT | Psalms | Chapter 104 | Verse 6] תְּ֭הוֹם כַּלְּב֣וּשׁ כִּסִּית֑וֹ עַל־הָ֝רִ֗ים יַֽעַמְדוּ־מָֽיִם׃
[WLC | HE | OT | Psalms | Chapter 104 | Verse 7] מִן־גַּעֲרָ֣תְךָ֣ יְנוּס֑וּן מִן־ק֥וֹל רַֽ֝עַמְךָ֗ יֵחָפֵזֽוּן׃
[WLC | HE | OT | Psalms | Chapter 104 | Verse 8] יַעֲל֣וּ הָ֭רִים יֵרְד֣וּ בְקָע֑וֹת אֶל־מְ֝ק֗וֹם זֶ֤ה ׀ יָסַ֬דְתָּ לָהֶֽם׃
[WLC | HE | OT | Psalms | Chapter 104 | Verse 9] גְּֽבוּל־שַׂ֭מְתָּ בַּל־יַֽעֲבֹר֑וּן בַּל־יְ֝שׁוּב֗וּן לְכַסּ֥וֹת הָאָֽרֶץ׃
[WLC | HE | OT | Psalms | Chapter 104 | Verse 10] הַֽמְשַׁלֵּ֣חַ מַ֭עְיָנִים בַּנְּחָלִ֑ים בֵּ֥ין הָ֝רִ֗ים יְהַלֵּכֽוּן׃
[WLC | HE | OT | Psalms | Chapter 104 | Verse 11] יַ֭שְׁקוּ כָּל־חַיְת֣וֹ שָׂדָ֑י יִשְׁבְּר֖וּ פְרָאִ֣ים צְמָאָֽם׃
