[WLC | HE | OT | Psalms | Chapter 52 | Verse 1] לַמְנַצֵּ֗חַ מַשְׂכִּ֥יל לְדָוִֽד׃
[WLC | HE | OT | Psalms | Chapter 52 | Verse 2] בְּב֤וֹא ׀ דּוֹאֵ֣ג הָאֲדֹמִי֮ וַיַּגֵּ֪ד לְשָׁ֫א֥וּל וַיֹּ֥אמֶר ל֑וֹ בָּ֥א דָ֝וִ֗ד אֶל־בֵּ֥ית אֲחִימֶֽלֶךְ׃
[WLC | HE | OT | Psalms | Chapter 52 | Verse 3] מַה־תִּתְהַלֵּ֣ל בְּ֭רָעָה הַגִּבּ֑וֹר חֶ֥סֶד אֵ֝֗ל כָּל־הַיּֽוֹם׃
[WLC | HE | OT | Psalms | Chapter 52 | Verse 4] הַ֭וּוֹת תַּחְשֹׁ֣ב לְשׁוֹנֶ֑ךָ כְּתַ֥עַר מְ֝לֻטָּ֗שׁ עֹשֵׂ֥ה רְמִיָּֽה׃
[WLC | HE | OT | Psalms | Chapter 52 | Verse 5] אָהַ֣בְתָּ רָּ֣ע מִטּ֑וֹב שֶׁ֓קֶר ׀ מִדַּבֵּ֖ר צֶ֣דֶק סֶֽלָה׃
[WLC | HE | OT | Psalms | Chapter 52 | Verse 6] אָהַ֥בְתָּ כָֽל־דִּבְרֵי ־בָ֗לַע לְשׁ֣וֹן מִרְמָֽה׃
[WLC | HE | OT | Psalms | Chapter 52 | Verse 7] גַּם־אֵל֮ יִתָּצְךָ֪ לָ֫נֶ֥צַח יַחְתְּךָ֣ וְיִסָּחֲךָ֣ מֵאֹ֑הֶל וְשֵֽׁרֶשְׁךָ֨ מֵאֶ֖רֶץ חַיִּ֣ים סֶֽלָה׃
[WLC | HE | OT | Psalms | Chapter 52 | Verse 8] וְיִרְא֖וּ צַדִּיקִ֥ים וְיִירָ֗אוּ וְעָלָ֥יו יִשְׂחָֽקוּ׃
[WLC | HE | OT | Psalms | Chapter 52 | Verse 9] הִנֵּ֤ה הַגֶּ֗בֶר לֹ֤א יָשִׂ֥ים אֱלֹהִ֗ים מָֽע֫וּזּ֥וֹ וַ֭יִּבְטַח בְּרֹ֣ב עָשְׁר֑וֹ יָ֝עֹ֗ז בְּהַוָּתֽוֹ׃
[WLC | HE | OT | Psalms | Chapter 52 | Verse 10] וַאֲנִ֤י ׀ כְּזַ֣יִת רַ֭עֲנָן בְּבֵ֣ית אֱלֹהִ֑ים בָּטַ֥חְתִּי בְחֶֽסֶד־אֱ֝לֹהִ֗ים עוֹלָ֥ם וָעֶֽד׃
[WLC | HE | OT | Psalms | Chapter 52 | Verse 11] אוֹדְךָ֣ לְ֭עוֹלָם כִּ֣י עָשִׂ֑יתָ וַאֲקַוֶּ֖ה שִׁמְךָ֥ כִֽי־ט֝֗וֹב נֶ֣גֶד חֲסִידֶֽיךָ׃
