[WLC | HE | OT | Psalms | Chapter 145 | Verse 1] תְּהִלָּ֗ה לְדָ֫וִ֥ד אֲרוֹמִמְךָ֣ אֱלוֹהַ֣י הַמֶּ֑לֶךְ וַאֲבָרֲכָ֥ה שִׁ֝מְךָ֗ לְעוֹלָ֥ם וָעֶֽד׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 2] בְּכָל־י֥וֹם אֲבָרֲכֶ֑ךָּ וַאֲהַלְלָ֥ה שִׁ֝מְךָ֗ לְעוֹלָ֥ם וָעֶֽד׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 3] גָּ֘ד֤וֹל יְהוָ֣ה וּמְהֻלָּ֣ל מְאֹ֑ד וְ֝לִגְדֻלָּת֗וֹ אֵ֣ין חֵֽקֶר׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 4] דּ֣וֹר לְ֭דוֹר יְשַׁבַּ֣ח מַעֲשֶׂ֑יךָ וּגְב֖וּרֹתֶ֣יךָ יַגִּֽידוּ׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 5] הֲ֭דַר כְּב֣וֹד הוֹדֶ֑ךָ וְדִבְרֵ֖י נִפְלְאוֹתֶ֣יךָ אָשִֽׂיחָה׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 6] וֶעֱז֣וּז נוֹרְאֹתֶ֣יךָ יֹאמֵ֑רוּ וגדולתיך אֲסַפְּרֶֽנָּה׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 7] זֵ֣כֶר רַב־טוּבְךָ֣ יַבִּ֑יעוּ וְצִדְקָתְךָ֥ יְרַנֵּֽנוּ׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 8] חַנּ֣וּן וְרַח֣וּם יְהוָ֑ה אֶ֥רֶךְ אַ֝פַּ֗יִם וּגְדָל־חָֽסֶד׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 9] טוֹב־יְהוָ֥ה לַכֹּ֑ל וְ֝רַחֲמָ֗יו עַל־כָּל־מַעֲשָֽׂיו׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 10] יוֹד֣וּךָ יְ֭הוָה כָּל־מַעֲשֶׂ֑יךָ וַ֝חֲסִידֶ֗יךָ יְבָרֲכֽוּכָה׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 11] כְּב֣וֹד מַלְכוּתְךָ֣ יֹאמֵ֑רוּ וּגְבוּרָתְךָ֥ יְדַבֵּֽרוּ׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 12] לְהוֹדִ֤יעַ ׀ לִבְנֵ֣י הָ֭אָדָם גְּבוּרֹתָ֑יו וּ֝כְב֗וֹד הֲדַ֣ר מַלְכוּתֽוֹ׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 13] מַֽלְכוּתְךָ֗ מַלְכ֥וּת כָּל־עֹֽלָמִ֑ים וּ֝מֶֽמְשֶׁלְתְּךָ֗ בְּכָל־דּ֥וֹר וָדֽוֹר׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 14] סוֹמֵ֣ךְ יְ֭הוָה לְכָל־הַנֹּפְלִ֑ים וְ֝זוֹקֵ֗ף לְכָל־הַכְּפוּפִֽים ׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 15] עֵֽינֵי־כֹ֭ל אֵלֶ֣יךָ יְשַׂבֵּ֑רוּ וְאַתָּ֤ה נֽוֹתֵן־לָהֶ֖ם אֶת־אָכְלָ֣ם בְּעִתּֽוֹ׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 16] פּוֹתֵ֥חַ אֶת־יָדֶ֑ךָ וּמַשְׂבִּ֖יעַ לְכָל־חַ֣י רָצֽוֹן׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 17] צַדִּ֣יק יְ֭הוָה בְּכָל־דְּרָכָ֑יו וְ֝חָסִ֗יד בְּכָל־מַעֲשָֽׂיו׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 18] קָר֣וֹב יְ֭הוָה לְכָל־קֹרְאָ֑יו לְכֹ֤ל אֲשֶׁ֖ר יִקְרָאֻ֣הוּ בֶאֱמֶֽת׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 19] רְצוֹן־יְרֵאָ֥יו יַעֲשֶׂ֑ה וְֽאֶת־שַׁוְעָתָ֥ם יִ֝שְׁמַ֗ע וְיוֹשִׁיעֵֽם׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 20] שׁוֹמֵ֣ר יְ֭הוָה אֶת־כָּל־אֹהֲבָ֑יו וְאֵ֖ת כָּל־הָרְשָׁעִ֣ים יַשְׁמִֽיד׃
[WLC | HE | OT | Psalms | Chapter 145 | Verse 21] תְּהִלַּ֥ת יְהוָ֗ה יְֽדַבֶּ֫ר־פִּ֥י וִיבָרֵ֣ךְ כָּל־בָּ֭שָׂר שֵׁ֥ם קָדְשׁ֗וֹ לְעוֹלָ֥ם וָעֶֽד׃
