[WLC | HE | OT | Psalms | Chapter 48 | Verse 1] שִׁ֥יר מִ֝זְמוֹר לִבְנֵי־קֹֽרַח׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 2] גָּ֘ד֤וֹל יְהוָ֣ה וּמְהֻלָּ֣ל מְאֹ֑ד בְּעִ֥יר אֱ֝לֹהֵ֗ינוּ הַר־קָדְשֽׁוֹ׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 3] יְפֵ֥ה נוֹף֮ מְשׂ֪וֹשׂ כָּל־הָ֫אָ֥רֶץ הַר־צִ֭יּוֹן יַרְכְּתֵ֣י צָפ֑וֹן קִ֝רְיַ֗ת מֶ֣לֶךְ רָֽב׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 4] אֱלֹהִ֥ים בְּאַרְמְנוֹתֶ֗יהָ נוֹדַ֥ע לְמִשְׂגָּֽב׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 5] כִּֽי־הִנֵּ֣ה הַ֭מְּלָכִים נֽוֹעֲד֑וּ עָבְר֥וּ יַחְדָּֽו׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 6] הֵ֣מָּה רָ֭אוּ כֵּ֣ן תָּמָ֑הוּ נִבְהֲל֥וּ נֶחְפָּֽזוּ׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 7] רְ֭עָדָה אֲחָזָ֣תַם שָׁ֑ם חִ֝֗יל כַּיּוֹלֵֽדָה׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 8] בְּר֥וּחַ קָדִ֑ים תְּ֝שַׁבֵּ֗ר אֳנִיּ֥וֹת תַּרְשִֽׁישׁ׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 9] כַּאֲשֶׁ֤ר שָׁמַ֨עְנוּ ׀ כֵּ֤ן רָאִ֗ינוּ בְּעִיר־יְהוָ֣ה צְ֭בָאוֹת בְּעִ֣יר אֱלֹהֵ֑ינוּ אֱלֹ֘הִ֤ים יְכוֹנְנֶ֖הָ עַד־עוֹלָ֣ם סֶֽלָה׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 10] דִּמִּ֣ינוּ אֱלֹהִ֣ים חַסְדֶּ֑ךָ בְּ֝קֶ֗רֶב הֵיכָלֶֽךָ׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 11] כְּשִׁמְךָ֤ אֱלֹהִ֗ים כֵּ֣ן תְּ֭הִלָּתְךָ עַל־קַצְוֵי־אֶ֑רֶץ צֶ֝֗דֶק מָלְאָ֥ה יְמִינֶֽךָ׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 12] יִשְׂמַ֤ח ׀ הַר־צִיּ֗וֹן תָּ֭גֵלְנָה בְּנ֣וֹת יְהוּדָ֑ה לְ֝מַ֗עַן מִשְׁפָּטֶֽיךָ׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 13] סֹ֣בּוּ צִ֭יּוֹן וְהַקִּיפ֑וּהָ סִ֝פְר֗וּ מִגְדָּלֶֽיהָ׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 14] שִׁ֤יתוּ לִבְּכֶ֨ם ׀ לְֽחֵילָ֗ה פַּסְּג֥וּ אַרְמְנוֹתֶ֑יהָ לְמַ֥עַן תְּ֝סַפְּר֗וּ לְד֣וֹר אַחֲרֽוֹן׃
[WLC | HE | OT | Psalms | Chapter 48 | Verse 15] כִּ֤י זֶ֨ה ׀ אֱלֹהִ֣ים אֱ֭לֹהֵינוּ עוֹלָ֣ם וָעֶ֑ד ה֖וּא יְנַהֲגֵ֣נוּ עַל־מֽוּת׃
