[WLC | HE | OT | Psalms | Chapter 10 | Verse 1] לָמָ֣ה יְ֭הוָה תַּעֲמֹ֣ד בְּרָח֑וֹק תַּ֝עְלִ֗ים לְעִתּ֥וֹת בַּצָּרָֽה׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 2] בְּגַאֲוַ֣ת רָ֭שָׁע יִדְלַ֣ק עָנִ֑י יִתָּפְשׂ֓וּ ׀ בִּמְזִמּ֖וֹת ז֣וּ חָשָֽׁבוּ׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 3] כִּֽי־הִלֵּ֣ל רָ֭שָׁע עַל־תַּאֲוַ֣ת נַפְשׁ֑וֹ וּבֹצֵ֥עַ בֵּ֝רֵ֗ךְ נִ֘אֵ֥ץ ׀ יְהוָֽה׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 4] רָשָׁ֗ע כְּגֹ֣בַהּ אַ֭פּוֹ בַּל־יִדְרֹ֑שׁ אֵ֥ין אֱ֝לֹהִ֗ים כָּל־מְזִמּוֹתָֽיו׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 5] יָ֘חִ֤ילוּ דרכו ׀ בְּכָל־עֵ֗ת מָר֣וֹם מִ֭שְׁפָּטֶיךָ מִנֶּגְדּ֑וֹ כָּל־צ֝וֹרְרָ֗יו יָפִ֥יחַ בָּהֶֽם׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 6] אָמַ֣ר בְּ֭לִבּוֹ בַּל־אֶמּ֑וֹט לְדֹ֥ר וָ֝דֹ֗ר אֲשֶׁ֣ר לֹֽא־בְרָֽע׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 7] אָלָ֤ה פִּ֣יהוּ מָ֭לֵא וּמִרְמ֣וֹת וָתֹ֑ךְ תַּ֥חַת לְ֝שׁוֹנ֗וֹ עָמָ֥ל וָאָֽוֶן׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 8] יֵשֵׁ֤ב ׀ בְּמַאְרַ֬ב חֲצֵרִ֗ים בַּֽ֭מִּסְתָּרִים יַהֲרֹ֣ג נָקִ֑י עֵ֝ינָ֗יו לְֽחֵלְכָ֥ה יִצְפֹּֽנוּ׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 9] יֶאֱרֹ֬ב בַּמִּסְתָּ֨ר ׀ כְּאַרְיֵ֬ה בְסֻכֹּ֗ה יֶ֭אֱרֹב לַחֲט֣וֹף עָנִ֑י יַחְטֹ֥ף עָ֝נִ֗י בְּמָשְׁכ֥וֹ בְרִשְׁתּֽוֹ׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 10] ודכה יָשֹׁ֑חַ וְנָפַ֥ל בַּ֝עֲצוּמָ֗יו חלכאים ׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 11] אָמַ֣ר בְּ֭לִבּוֹ שָׁ֣כַֽח אֵ֑ל הִסְתִּ֥יר פָּ֝נָ֗יו בַּל־רָאָ֥ה לָנֶֽצַח׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 12] קוּמָ֤ה יְהוָ֗ה אֵ֭ל נְשָׂ֣א יָדֶ֑ךָ אַל־תִּשְׁכַּ֥ח עניים׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 13] עַל־מֶ֤ה ׀ נִאֵ֖ץ רָשָׁ֥ע ׀ אֱלֹהִ֑ים אָמַ֥ר בְּ֝לִבּ֗וֹ לֹ֣א תִּדְרֹֽשׁ׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 14] רָאִ֡תָה כִּֽי־אַתָּ֤ה ׀ עָ֘מָ֤ל וָכַ֨עַס ׀ תַּבִּיט֮ לָתֵ֪ת בְּיָ֫דֶ֥ךָ עָ֭לֶיךָ יַעֲזֹ֣ב חֵלֶ֑כָה יָ֝ת֗וֹם אַתָּ֤ה ׀ הָיִ֬יתָ עוֹזֵֽר׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 15] שְׁ֭בֹר זְר֣וֹעַ רָשָׁ֑ע וָ֝רָ֗ע תִּֽדְרוֹשׁ־רִשְׁע֥וֹ בַל־תִּמְצָֽא׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 16] יְהוָ֣ה מֶ֭לֶךְ עוֹלָ֣ם וָעֶ֑ד אָבְד֥וּ ג֝וֹיִ֗ם מֵֽאַרְצֽוֹ׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 17] תַּאֲוַ֬ת עֲנָוִ֣ים שָׁמַ֣עְתָּ יְהוָ֑ה תָּכִ֥ין לִ֝בָּ֗ם תַּקְשִׁ֥יב אָזְנֶֽךָ׃
[WLC | HE | OT | Psalms | Chapter 10 | Verse 18] לִשְׁפֹּ֥ט יָת֗וֹם וָ֫דָ֥ךְ בַּל־יוֹסִ֥יף ע֑וֹד לַעֲרֹ֥ץ אֱ֝נ֗וֹשׁ מִן־הָאָֽרֶץ׃
