[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 1] He that dasheth in pieces is come up before thy face: keep the munition, watch the way, make thy loins strong, fortify thy power mightily.
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 2] For the LORD hath turned away the excellence of Jacob, as the excellence of Israel: for the emptiers have emptied them out, and marred their vine branches.
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 3] The shield of his mighty men is made red, the valiant men are in scarlet: the chariots shall be with flaming torches in the day of his preparation, and the fir-trees shall be terribly shaken.
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 4] The chariots shall rage in the streets, they shall jostle one against another in the broad ways: they shall seem like torches, they shall run like the lightnings.
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 5] He shall recount his worthies: they shall stumble in their walk; they shall make haste to the wall thereof, and the defense shall be prepared.
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 6] The gates of the rivers shall be opened, and the palace shall be dissolved.
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 7] And Huzzab shall be led away captive, she shall be brought up, and her maids shall lead her as with the voice of doves, tabering upon their breasts.
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 8] But Nineveh is of old like a pool of water: yet they shall flee away. Stand, stand, shall they cry ; but none shall look back.
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 9] Take ye the spoil of silver, take the spoil of gold: for there is no end of the store and glory out of all the pleasant furniture.
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 10] She is empty, and void, and waste: and the heart melteth, and the knees smite together, and much pain is in all loins, and the faces of them all gather blackness.
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 11] Where is the dwelling of the lions, and the feeding-place of the young lions, where the lion, even the old lion, walked, and the lion's whelp, and none made them afraid?
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 12] The lion tore in pieces enough for his whelps, and strangled for his lionesses, and filled his holes with prey, and his dens with ravin.
[WEBSTER | EN | OT | Nahum | Chapter 2 | Verse 13] Behold, I am against thee, saith the LORD of hosts, and I will burn her chariots in the smoke, and the sword shall devour thy young lions: and I will cut off thy prey from the earth, and the voice of thy messengers shall no more be heard.
