[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 1] And in the ninth yeere of his reigne, the tenth moneth and tenth day of the moneth Nebuchad-nezzar King of Babel came, he, and all his hoste against Ierusalem, and pitched against it, and they built fortes against it round about it.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 2] So the citie was besieged vnto the eleueth yeere of King Zedekiah.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 3] And the ninth day of the moneth the famine was sore in the citie, so that there was no bread for the people of the lande.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 4] Then the citie was broken vp, and all the men of warre fled by night, by the way of the gate, which is betweene two walles that was by the Kings garden: nowe the Caldees were by the citie round about: and the King went by the way of the wildernesse.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 5] But the armie of the Caldees pursued after the King, and tooke him in the desertes of Iericho, and all his hoste was scattered from him.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 6] Then they tooke the King, and caried him vp to the King of Babel to Riblah, where they gaue iudgement vpon him.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 7] And they slew the sonnes of Zedekiah before his eyes, and put out the eyes of Zedekiah, and bounde him in chaines, and caried him to Babel.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 8] And in the fift moneth, and seuenth day of the moneth, which was the nineteenth yere of King Nebuchad-nezzar King of Babel, came Nebuzar-adan chiefe stewarde and seruaunt of the King of Babel, to Ierusalem,
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 9] And burnt the house of the Lord, and the Kings house, and all the houses of Ierusalem, and all the great houses burnt he with fire.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 10] And all the armie of the Caldees that were with the chiefe stewarde, brake downe the walles of Ierusalem round about.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 11] And the rest of the people that were left in the citie, and those that were fled and fallen to the King of Babel, with the remnant of the multitude, did Nebuzar-adan chiefe steward carie away captiue.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 12] But the chiefe steward left of the poore of the land to dresse the vines, and to till the land.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 13] Also the pillars of brasse that were in the house of the Lord, and the bases, and the brasen Sea that was in the house of the Lord, did the Caldees breake, and caried the brasse of them to Babel.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 14] The pots also and the besomes, and the instruments of musike, and the incense dishes, and al the vessels of brasse that they ministred in, tooke they away.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 15] And the asshe pannes, and the basens, and all that was of gold, and that was of siluer, tooke the chiefe steward away,
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 16] With the two pillars, one Sea and the bases, which Salomon had made for the house of the Lord: the brasse of all these vessels was without weight.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 17] The height of the one pillar was eighteene cubits, and the chapiter thereon was brasse, and the height of the chapiter was with networke three cubites, and pomegranates vpon the chapiter rounde about, all of brasse: and likewise was the second pillar with the networke.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 18] And the chiefe steward tooke Seraiah the chiefe Priest, and Zephaniah the second Priest, and the three keepers of the doore.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 19] And out of the citie hee tooke an Eunuch that had the ouersight of the men of warre, and fiue men of them that were in the Kinges presence, which were founde in the citie, and Sopher captaine of the hoste, who mustred the people of the lande, and threescore men of the people of the lande, that were founde in the citie.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 20] And Nebuzar-adan the chiefe stewarde tooke them, and brought them to the King of Babel to Riblah.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 21] And the King of Babel smote them, and slew them at Riblah in the land of Hamath. So Iudah was caried away captiue out of his owne land.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 22] Howbeit there remained people in the land of Iudah, whom Nebuchad-nezzar King of Babel left, and made Gedaliah the sonne of Ahikam the sonne of Shaphan ruler ouer them.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 23] Then when all the captaines of the host and their men heard, that the king of Babel had made Gedaliah gouernour, they came to Gedaliah to Mizpah, to wit, Ishmael the sonne of Nethaniah, and Iohanan the sonne of Kareah, and Seraiah the sonne of Tanhumeth the Netophathite, and Iaazaniah the sonne of Maachathi, they and their men.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 24] And Gedaliah sware to them, and to their men, and sayd vnto them, Feare not to be the seruants of the Caldees: dwell in the land, and serue the King of Babel, and ye shalbe well.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 25] But in the seuenth moneth Ishmael the sonne of Nethaniah the sonne of Elishama of the Kings seede, came, and ten men with him, and smote Gedaliah, and he died, and so did he the Iewes, and the Caldees that were with him at Mizpah.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 26] Then all ye people both small and great, and the captaines of the armie arose, and came to Egypt: for they were afraide of the Caldees.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 27] Notwithstanding in the seuen and thirtieth yeere after Iehoiachin King of Iudah was caried away, in the twelft moneth and the seuen and twentieth day of the moneth, Euil-merodach King of Babel in the yeere that hee began to reigne, did lift vp the head of Iehoiachin King of Iudah out of the prison,
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 28] And spake kindly to him, and set his throne aboue the throne of the Kings that were with him in Babel,
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 29] And changed his prison garments: and he did continually eate bread before him, all the dayes of his life.
[GNV | EN | OT | 2 Kings | Chapter 25 | Verse 30] And his portion was a continual portion giuen him by the King, euery day a certaine, all the dayes of his life.
