[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 1] In his dayes came Nebuchad-nezzar King of Babel vp, and Iehoiakim became his seruant three yeere: afterwarde he turned, and rebelled against him.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 2] And the Lord sent against him bandes of the Caldees, and bands of the Aramites, and bands of the Moabites, and bandes of the Ammonites, and he sent them against Iudah to destroy it, according to the worde of the Lord, which he spake by his seruants the Prophets.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 3] Surely by the commandement of the Lord came this vpon Iudah, that he might put them out of his sight for the sinnes of Manasseh, according to all that he did,
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 4] And for the innocent blood that he shed, (for he filled Ierusalem with innocent blood) therefore the Lord would not pardon it.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 5] Concerning the rest of the actes of Iehoiakim, and all that he did, are they not written in the booke of the Chronicles of the Kinges of Iudah?
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 6] So Iehoiakim slept with his fathers, and Iehoiachin his sonne reigned in his steade.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 7] And the King of Egypt came no more out of his lande: for the King of Babel had taken from the riuer of Egypt, vnto the riuer Perath, all that pertained to the King of Egypt.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 8] Iehoiachin was eighteene yere old, when he beganne to reigne, and reigned in Ierusalem three moneths. His mothers name also was Nehushta, the daughter of Elnathan of Ierusalem.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 9] And he did euill in the sight of the Lord, according to all that his father had done.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 10] In that time came the seruants of Nebuchad-nezzar king of Babel vp against Ierusalem: so the citie was besieged.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 11] And Nebuchad-nezzar King of Babel came against the citie, and his seruants did besiege it.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 12] Then Iehoiachin the king of Iudah came out against the King of Babel, he, and his mother and his seruants, and his princes, and his eunuches: and the King of Babel tooke him in the eyght yeere of his reigne.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 13] And he caryed out thence all the treasures of the house of the Lord, and the treasures of the Kings house, and brake all the vessels of gold, which Salomon King of Israel had made in the Temple of the Lord, as the Lord had saide.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 14] And he caryed away all Ierusalem, and all the princes, and all the strong men of warre, euen ten thousande into captiuitie, and all the workemen, and cunning men: so none remained sauing the poore people of the lande.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 15] And he caryed away Iehoiachin into Babel, and the Kings mother, and the Kinges wiues, and his eunuches, and the mightie of the lande caryed he away into captiuitie from Ierusalem to Babel,
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 16] And al the men of warre, euen seuen thousand, and carpenters, and lockesmithes a thousande: all that were strong and apt for warre, did the King of Babel bring to Babel captiues.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 17] And the King of Babel made Mattaniah his vncle King in his steade, and changed his name to Zedekiah.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 18] Zedekiah was one and twentie yeere olde, when he began to reigne, and he reigned eleuen yeeres in Ierusalem. His mothers name also was Hamutal the daughter of Ieremiah of Libnah.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 19] And he did euill in the sight of the Lord, according to all that Iehoiakim had done.
[GNV | EN | OT | 2 Kings | Chapter 24 | Verse 20] Therefore certainly the wrath of the Lord was against Ierusalem and Iudah vntill he cast them out of his sight. And Zedekiah rebelled against the King of Babel.
