[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 1] And the children of the Prophets saide vnto Elisha, Behold, we pray thee, the place where we dwell with thee, is too litle for vs.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 2] Let vs nowe goe to Iorden, that we may take thence euery man a beame, and make vs a place to dwell in. And he answered, Goe.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 3] And one said, Vouchsafe, I pray thee, to go with thy seruants, and he answered, I will goe.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 4] So he went with them, and when they came to Iorden, they cut downe wood.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 5] And as one was felling of a tree, the yron fell into the water: then he cryed, and said, Alas master, it was but borowed.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 6] And the man of God saide, Where fell it? And he shewed him the place. Then he cut downe a piece of wood, and cast in thither, and he caused the yron to swimme.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 7] Then he saide, Take it vp to thee. And he stretched out his hand, and tooke it.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 8] Then the King of Aram warred against Israel, and tooke counsell with his seruants, and said, In such and such a place shalbe my campe.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 9] Therefore the man of God sent vnto the King of Israel, saying, Beware thou goe not ouer to such a place: for there the Aramites are come downe.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 10] So the King of Israel sent to the place which the man of God tolde him, and warned him of, and saued himselfe from thence, not once, nor twise.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 11] And the heart of the King of Aram was troubled for this thing: therefore he called his seruants and saide vnto them, Will ye not shewe me, which of vs bewrayeth our counsel to the king of Israel?
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 12] Then one of his seruants saide, None, my lorde, O King, but Elisha the Prophet that is in Israel, telleth the King of Israel, euen the wordes that thou speakest in thy priuie chamber.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 13] And he said, Goe, and espie where he is, that I may sende and fetch him. And one tolde him, saying, Beholde, he is in Dothan.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 14] So he sent thither horses, and charets, and a mightie hoste: and they came by night, and compassed the citie.
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 15] And when the seruant of the man of God arose earely to goe out, beholde, an hoste compassed the citie with horses and charets. Then his seruant sayde vnto him, Alas master, howe shall we doe?
[GNV | EN | OT | 2 Kings | Chapter 6 | Verse 16] And he answered, Feare not: for they that be with vs, are moe then they that be with them.
