[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 1] In the three and twentieth yeere of Ioash the sonne of Ahaziah King of Iudah, Iehoahaz the sonne of Iehu began to reigne ouer Israel in Samaria, and he reigned seuenteene yeere.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 2] And he did euil in the sight of the Lord, and followed the sinnes of Ieroboam the sonne of Nebat, which made Israel to sinne, and departed not therefrom.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 3] And the Lord was angry with Israel, and deliuered them into the hand of Hazael King of Aram, and into the hand of Ben-hadad the sonne of Hazael, all his dayes.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 4] And Iehoahaz besought the Lord, and the Lord heard him: for he saw the trouble of Israel, wherewith the King of Aram troubled them.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 5] (And the Lord gaue Israel a deliuerer, so that they came out from vnder the subiection of the Aramites. And the children of Israel dwelt in their tents as before time.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 6] Neuerthelesse they departed not from the sinnes of the house of Ieroboam which made Israel sinne, but walked in them. euen the groue also remayned still in Samaria)
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 7] For he had left of the people to Iehoahaz but fiftie horsemen, and tenne charets, and tenne thousand footemen, because the King of Aram had destroyed them, and made them like dust beaten to pouder.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 8] Concerning the rest of the actes of Iehoahaz and all that he did, and his valiant deedes, are they not written in the booke of the Chronicles of the Kings of Israel?
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 9] And Iehoahaz slept with his fathers, and they buried him in Samaria, and Ioash his sonne reigned in his steade.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 10] In the seuen and thirtieth yere of Ioash King of Iudah began Iehoash the sonne of Iehoahaz to reigne ouer Israel in Samaria, and reigned sixteene yeere,
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 11] And did euil in the sight of the Lord: for he departed not from all the sinnes of Ieroboam the sonne of Nebat that made Israel to sinne, but he walked therein.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 12] Concerning the rest of the actes of Ioash and all that he did, and his valiant deedes, and how he fought against Amaziah King of Iudah, are they not written in the booke of the Chronicles of the Kings of Israel?
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 13] And Ioash slept with his fathers, and Ieroboam sate vpon his seate: and Ioash was buryed in Samaria among the Kings of Israel.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 14] When Elisha fell sicke of his sickenesse whereof he dyed, Ioash the King of Israel came downe vnto him, and wept vpon his face, and sayd, O my father, my father, the charet of Israel, and the horsemen of the same.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 15] Then Elisha sayde vnto him, Take a bowe and arrowes. And he tooke vnto him bowe and arrowes.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 16] And he sayde to the King of Israel, Put thine hand vpon the bowe. And he put his hand vpon it. And Elisha put his hands vpon the Kings hands,
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 17] And saide, Open the windowe Eastward. And when he had opened it, Elisha said, Shoote. And he shot. And he sayd, Beholde the arrowe of the Lordes deliuerance and the arrowe of deliuerance against Aram: for thou shalt smite the Aramites in Aphek, till thou hast consumed them.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 18] Againe he said, Take the arrowes. And he tooke them. And he sayde vnto the King of Israel, Smite the ground. And he smote thrise, and ceased.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 19] Then the man of God was angry with him, and sayde, Thou shouldest haue smitten fiue or sixe times, so thou shouldest haue smitten Aram, till thou haddest consumed it, where nowe thou shalt smite Aram but thrise.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 20] So Elisha dyed, and they buryed him. And certaine bandes of the Moabites came into the land that yeere.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 21] And as they were burying a man, behold, they saw the souldiers: therfore they cast the man into the sepulchre of Elisha. And when the man was downe, and touched the bones of Elisha, he reuiued and stoode vpon his feete.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 22] But Hazael King of Aram vexed Israel all the dayes of Iehoahaz.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 23] Therefore the Lord had mercy on them and pitied them, and had respect vnto them because of his couenant with Abraham, Izhak, and Iaakob, and would not destroy them, neither cast he them from him as yet.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 24] So Hazael the King of Aram dyed: and Ben-hadad his sonne reigned in his stead.
[GNV | EN | OT | 2 Kings | Chapter 13 | Verse 25] Therefore Iehoash the sonne of Iehoahaz returned, and tooke out of the hand of Ben-hadad the sonne of Hazael the cities which he had taken away by warre out of the hand of Iehoahaz his father: for three times did Ioash beate him, and restored the cities vnto Israel.
