[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 1] Iosiah was eight yeere olde when he beganne to reigne, and hee reigned one and thirtie yeere in Ierusalem. His mothers name also was Iedidah the daughter of Adaiah of Bozcath.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 2] And hee did vprightly in the sight of the Lord, and walked in all the wayes of Dauid his father, and bowed neither to the right hand, nor to the left.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 3] And in the eighteenth yeere of King Iosiah, the King sent Shaphan the sonne of Azaliah the sonne of Meshullam the chanceller to ye house of the Lord, saying,
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 4] Goe vp to Hilkiah the high Priest, that hee may summe the siluer which is brought into the house of the Lord, which the keepers of the doore haue gathered of the people.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 5] And let them deliuer it into the hande of them that doe the worke, and haue the ouersight of the house of the Lord: let them giue it to them that worke in the house of the Lord, to repaire the decayed places of the house:
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 6] To wit, vnto the artificers and carpenters and masons, and to bye timber, and hewed stone to repaire the house.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 7] Howebeit, let no rekoning bee made with them of the money, that is deliuered into their hand: for they deale faithfully.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 8] And Hilkiah the high Priest sayde vnto Shaphan the chanceller, I haue found the booke of the Lawe in the house of the Lord: and Hilkiah gaue the booke to Shaphan, and hee reade it.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 9] So Shaphan the chanceller came to ye King, and brought him word againe, and saide, Thy seruants haue gathered the money, that was found in the house, and haue deliuered it vnto the hands of them that doe the worke, and haue the ouersight of the house of the Lord.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 10] Also Shaphan the chanceller shewed the King saying, Hilkiah the Priest hath deliuered me a booke. And Shaphan read it before the King.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 11] And when the King had heard the wordes of the booke of the Law, he rent his clothes.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 12] Therefore the King commanded Hilkiah the Priest, and Ahikam the sonne of Shaphan, and Achbor the sonne of Michaiah, and Shaphan the chanceller, and Asahiah the Kings seruant, saying,
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 13] Go ye and inquire of the Lord for me, and for the people, and for all Iudah concerning the wordes of this booke that is founde: for great is the wrath of the Lord that is kindled against vs, because our fathers haue not obeyed the wordes of this booke, to doe according vnto all that which is written therein for vs.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 14] So Hilkiah the Priest and Ahikam, and Achbor and Shaphan, and Asahiah went vnto Huldah the Prophetesse the wife of Shallum, ye sonne of Tikuah, the sonne of Harhas keeper of the wardrobe: (and she dwelt in Ierusalem in the colledge) and they communed with her.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 15] And shee answered them, Thus sayth the Lord God of Israel, Tel the man that sent you to mee,
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 16] Thus sayth the Lord, Behold, I wil bring euill vpon this place, and on the inhabitants thereof, euen al the words of the booke which ye King of Iudah hath read,
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 17] Because they haue forsaken mee, and haue burnt incense vnto other gods, to anger me with all ye works of their hands: my wrath also shalbe kindled against this place and shall not be queched:
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 18] But to the King of Iudah, who sent you to inquire of the Lord, so shall ye say vnto him, Thus sayeth the Lord God of Israel, The wordes that thou hast heard, shall come to passe.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 19] But because thine heart did melt, and thou hast humbled thy selfe before the Lord, when thou heardest what I spake against this place, and against the inhabitants of the same, to wit, that it should be destroyed and accursed, and hast rent thy clothes, and wept before me, I haue also heard it, saith the Lord.
[GNV | EN | OT | 2 Kings | Chapter 22 | Verse 20] Beholde therefore, I wil gather thee to thy fathers, and thou shalt be put in thy graue in peace, and thine eyes shall not see all the euil, which I will bring vpon this place. Thus they brought the King worde againe.
