[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 1] Manasseh was twelue yeere olde when he began to reigne, and reigned fiftie and fiue yeere in Ierusalem: his mothers name also was Hephzi-bah.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 2] And he did euill in the sight of the Lord after the abomination of the heathen, whom the Lord had cast out before the children of Israel.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 3] For he went backe and built the hie places, which Hezekiah his father had destroyed: and he erected vp altars for Baal, and made a groue, as did Ahab King of Israel, and worshipped all the hoste of heauen and serued them.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 4] Also he built altars in the house of the Lord, of the which the Lord saide, In Ierusalem will I put my Name.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 5] And he built altars for al the hoste of ye heauen in the two courtes of the house of the Lord.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 6] And he caused his sonnes to passe through the fire, and gaue him selfe to witchcraft and sorcerie, and he vsed them that had familiar spirits and were soothsayers, and did much euill in the sight of the Lord to anger him.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 7] And he set the image of the groue, that he had made, in the house, whereof ye Lord had saide to Dauid and to Salomon his sonne, In this house and in Ierusalem, which I haue chosen out of all the tribes of Israel, will I put my Name for euer.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 8] Neither will I make the feete of Israel, mooue any more out of the lande, which I gaue their fathers: so that they will obserue and doe all that I haue commanded them, and according to all the Lawe that my seruant Moses commanded them.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 9] Yet they obeyed not, but Manasseh ledde them out of the way, to doe more wickedly then did the heathen people, whom the Lord destroyed before the children of Israel.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 10] Therefore the Lord spake by his seruants the Prophets, saying,
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 11] Because that Manasseh King of Iudah hath done such abominations, and hath wrought more wickedly then al that the Amorites (which were before him) did, and hath made Iudah sinne also with his idoles,
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 12] Therefore thus saith the Lord God of Israel, Beholde, I will bring an euill vpon Ierusalem and Iudah, that who so heareth of it, both his eares shall tingle.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 13] And I will stretch ouer Ierusalem the line of Samaria, and the plommet of the house of Ahab: and I will wipe Ierusalem, as a man wipeth a dish, which he wipeth, and turneth it vpside downe.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 14] And I will forsake the remnant of mine inheritance, and deliuer them into the hande of their enemies, and they shalbe robbed and spoyled of all their aduersaries,
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 15] Because they haue done euil in my sight, and haue prouoked mee to anger, since the time their fathers came out of Egypt vntill this day.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 16] Moreouer Manasseh shed innocent blood exceeding much, till hee replenished Ierusalem from corner to corner, beside his sinne wherwith he made Iudah to sinne, and to doe euill in the sight of the Lord.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 17] Concerning the rest of the actes of Manasseh, and all that hee did, and his sinne that he sinned, are they not written in the booke of the Chronicles of the Kings of Iudah?
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 18] And Manasseh slept with his fathers, and was buried in the garden of his own house, euen in the garden of Vzza: and Amon his sonne reigned in his steade.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 19] Amon was two and twentie yere olde, when he began to reigne, and hee reygned two yeere in Ierusalem: his mothers name also was Meshullemeth the daughter of Haruz of Iotbah.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 20] And he did euill in the sight of the Lord, as his father Manasseh did.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 21] For hee walked in all the way that his father walked in, and serued the idoles that his father serued, and worshipped them.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 22] And he forsooke the Lord God of his fathers, and walked not in the way of the Lord.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 23] And the seruantes of Amon conspired against him, and slewe the King in his owne house.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 24] And the people of the land slewe all them that had conspired against King Amon, and the people made Iosiah his sonne King in his steade.
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 25] Concerning the rest of the actes of Amon, which he did, are they not written in the booke of the Chronicles of the Kings of Iudah?
[GNV | EN | OT | 2 Kings | Chapter 21 | Verse 26] And they buried him in his sepulchre in the garden of Vzza: and Iosiah his sonne reigned in his steade.
