[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 1] And one of the wiues of the sonnes of the Prophets cryed vnto Elisha, saying, Thy seruant mine husband is dead, and thou knowest, that thy seruant did feare the Lord: and the creditour is come to take my two sonnes to bee his bondmen.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 2] Then Elisha saide vnto her, What shall I do for thee? tell mee, what hast thou at home? And she sayd, Thine handmayd hath nothing at home, saue a pitcher of oyle.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 3] And he sayde, Goe, and borowe thee vessels abroad of all thy neighbours, emptie vessels, and spare not.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 4] And when thou art come in, thou shalt shut the doore vpon thee and vpon thy sonnes, and powre out into all those vessels, and set aside those that are full.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 5] So shee departed from him, and shut the doore vpon her, and vpon her sonnes. And they brought to her, and she powred out.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 6] And when the vessels were full, shee sayde vnto her sonne, Bring mee yet a vessel. And hee said vnto her, There is no moe vessels. And the oyle ceased.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 7] Then shee came and tolde the man of God. And he saide, Goe, and sell the oyle, and pay them that thou art in debt vnto, and liue thou and thy children of the rest.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 8] And on a time Elisha came to Shunem, and there a woman of great estimation constrained him to eate bread: and as he passed by, he turned in thither to eate bread.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 9] And she sayde vnto her husband, Beholde, I know now, that this is an holy man of God that passeth by vs continually.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 10] Let vs make him a litle chamber, I pray thee, with walles, and let vs set him there a bed, and a table, and a stoole, and a candlesticke, that hee may turne in thither when hee commeth to vs.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 11] And on a day, hee came thither and turned into the chamber, and lay therein,
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 12] And sayd to Gehazi his seruant, Call this Shunammite: and when hee called her, she stood before him.
[GNV | EN | OT | 2 Kings | Chapter 4 | Verse 13] Then he sayd vnto him, Say vnto her now, Beholde, thou hast had all this great care for vs, what shall we doe for thee? Is there any thing to bee spoken for thee to the King or to the captaine of the hoste? And shee answered, I dwell among mine owne people.
