[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 1] પછી ઇઝરાયલના સર્વ કુળોએ દાઉદ પાસે હેબ્રોનમાં આવીને કહ્યું, “જુઓ, અમે તારા પિતરાઈઓ છીએ.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 2] ગતકાળમાં જયારે શાઉલ અમારો રાજા હતો, ત્યારે ઇઝરાયલના સૈન્યની આગેવાની તેં જ કરી હતી. ઈશ્વરે તને જ કહ્યું હતું, “તું મારા લોક ઇઝરાયલીઓ પર અધિપતિ તથા રાજા થશે.”
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 3] તેથી ઇઝરાયલના સર્વ આગેવાનો દાઉદ પાસે હેબ્રોનમાં આવ્યા. દાઉદે ઈશ્વરની આગળ હેબ્રોનમાં તેઓની સાથે કરાર કર્યો. તેઓએ દાઉદને ઇઝરાયલના રાજા તરીકે અભિષેક કર્યો.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 4] દાઉદ રાજા થયો ત્યારે તે ત્રીસ વર્ષનો હતો. તેણે ચાળીસ વર્ષ સુધી રાજ કર્યું.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 5] તેણે હેબ્રોનમાં રહીને યહૂદિયા પર સાડા સાત વર્ષ રાજ કર્યું; અને યરુશાલેમમાં રહીને ઇઝરાયલ તથા યહૂદિયા પર તેત્રીસ વર્ષ રાજ કર્યું.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 6] દાઉદ રાજા અને તેના સૈન્યએ યરુશાલેમમાં જઈને તેના રહેવાસી યબૂસીઓ પર આક્રમણ કર્યું. તેઓએ દાઉદને કહ્યું, “તું અહીં આવી શકવાનો નથી, કેમ કે દ્રષ્ટિવિહીન તથા અપંગો પણ તને હાંકી કાઢી શકે તેમ છે. તું અહીં અંદર આવી શકશે નહિ.”
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 7] પણ, દાઉદે તો સિયોનનો કિલ્લો કબજે કર્યો. તે હવે દાઉદનું નગર કહેવાય છે.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 8] યબૂસીઓએ કરેલા અપમાનના જવાબમાં ગુસ્સે થઈને દાઉદે કહ્યું કે, “સૈનિકો તે પાણીના નાળાંમાં થઈને ઉપર ચઢી જાઓ, ‘અંધ તથા અપંગ,’ યબૂસીઓનો સંહાર કરો તેઓ દાઉદના શત્રુઓ છે.” તેઓએ મારી મશ્કરી કરતા કહ્યું હતું કે, “અંધ તથા અપંગ’ તે રાજમહેલમાં આવી શકતા નથી.”
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 9] દાઉદ તે કિલ્લામાં રહેવા લાગ્યો અને તેનું નામ દાઉદનગર પાડ્યું. દાઉદે મિલ્લોથી માંડીને અંદરની તમામ જગ્યામાં બાંધકામ કર્યું.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 10] દાઉદ અધિકાધિક મહાન થતો ગયો કેમ કે સર્વ શક્તિમાન સૈન્યોના ઈશ્વર, તેની સાથે હતા.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 11] પછી તૂરના રાજા હીરામે દાઉદને માટે મહેલ બાંધવા સંદેશવાહકો, દેવદાર વૃક્ષો, સુથારો અને કડિયાઓ મોકલ્યા.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 12] દાઉદે જાણ્યું કે ઈશ્વરે મને ઇઝરાયલ પર રાજા તરીકે સ્થાપિત કર્યો છે અને તેમણે તેમનું રાજય પોતાના લોક ઇઝરાયલને ખાતર ગૌરવવાન કર્યું છે.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 13] પછી દાઉદ હેબ્રોન છોડીને યરુશાલેમમાં આવ્યો, ત્યાં તેણે બીજી વધારાની પત્નીઓ અને ઉપપત્નીઓ કરી. તેઓએ અનેક દીકરા અને દીકરીઓને જન્મ આપ્યાં.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 14] યરુશાલેમમાં જન્મેલાં સંતાનોનાં નામ આ પ્રમાણે છે: શામ્મૂઆ, શોબાબ, નાથાન, સુલેમાન,
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 15] ઈબ્હાર, અલીશૂઆ, નેફેગ, યાફીઆ,
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 16] અલિશામા, એલ્યાદા અને અલિફેલેટ.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 17] પલિસ્તીઓએ સાંભળ્યું કે દાઉદ ઇઝરાયલના રાજા તરીકે અભિષિક્ત કરાયો છે. ત્યારે તેઓ બધા તેને પકડી લેવા બહાર ગયા. પણ દાઉદને તેની જાણ થવાથી તે કિલ્લામાં ચાલ્યો ગયો.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 18] હવે પલિસ્તીઓ આવીને રફાઈમના નીચાણમાં ફેલાઈ ગયા હતા.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 19] પછી દાઉદે ઈશ્વરની સલાહ પૂછી કે, “શું હું પલિસ્તીઓ ઉપર હુમલો કરું? શું તમે તેઓ પર વિજય આપશો?” ઈશ્વરે દાઉદને કહ્યું કે, “હુમલો કર, હું નિશ્ચે તને પલિસ્તીઓ પર વિજય આપીશ.”
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 20] તેથી દાઉદે બાલ-પરાસીમના લોકો પર હુમલો કર્યો અને તેઓને પરાજિત કર્યા. તેણે કહ્યું કે, “પાણીના પૂરના ધસારાની માફક ઈશ્વર મારા શત્રુઓ પર ધસી ગયા છે.” એ માટે તેણે તે જગ્યાનું નામ બાલ-પરાસીમ પાડયું.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 21] પલિસ્તીઓએ પોતાની મૂર્તિઓ ત્યાં પડતી મૂકી. દાઉદ તથા તેના માણસો તે લઈ ગયા.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 22] પછી પલિસ્તીઓ ફરીથી પાછા આવ્યા અને રફાઈમની ખીણમાં ફેલાઈ ગયા.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 23] દાઉદે ફરી ઈશ્વરની સલાહ પૂછી અને ઈશ્વરે તેને કહ્યું, “તું આગળથી હુમલો કરીશ નહિ, પણ તેઓની પાછળ ચકરાવો ખાઈને શેતૂરવૃક્ષોની સામેથી તેઓ પર હુમલો કર.
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 24] જયારે શેતૂરવૃક્ષોની ટોચમાં કૂચ કરવાનો ખડખડાટ તું સાંભળે ત્યારે પૂરા સામર્થ્યથી ચઢાઈ કરજે. તે વખતે હું યહોવાહ તારી આગળ પલિસ્તીઓના સૈન્ય પર હુમલો કરવા તારી અગાઉ ગયો છું. એવું સમજ જે.”
[IRV | GU | OT | 2 Samuel | Chapter 5 | Verse 25] ઈશ્વરે જેમ દાઉદને આજ્ઞા આપી હતી તે પ્રમાણે તેણે કર્યું. તેણે ગેબાથી ગેઝેર સુધી પલિસ્તીઓનો સંહાર કર્યો.
