[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 1] શાઉલના દીકરા ઈશ-બોશેથે સાંભળ્યું કે આબ્નેર હેબ્રોનમાં મરણ પામ્યો છે, ત્યારે તેનાં ગાત્રો શિથિલ થઈ ગયા અને સર્વ ઇઝરાયલીઓ મુશ્કેલીમાં મુકાયા.
[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 2] શાઉલના દીકરા પાસે બે માણસ હતા, તેઓ સરદારની ટુકડીમાંના સૈનિકો હતા. એકનું નામ બાનાહ, બીજાનું નામ રેખાબ હતું. તેઓ બિન્યામીનપુત્રોમાંના રિમ્મોન બેરોથીના દીકરા હતા તેથી બેરોથ પણ બિન્યામીનનો એક ભાગ ગણાતું હતું,
[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 3] બેરોથીઓ ગિત્તાઈમમાં નાસી ગયા અને આજ સુધી ત્યાં વસેલા છે.
[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 4] શાઉલના દીકરા યોનાથાનને એક દીકરો હતો તે પગે અપંગ હતો. જયારે શાઉલ તથા યોનાથાન વિષેની ખબર યિઝ્રએલથી આવી ત્યારે તે પાંચ વર્ષનો હતો. તેને સાચવનારી તેને લઈને દોડી ગઈ હતી. જયારે તે દોડતી હતી, ત્યારે યોનાથાનનો દીકરો પડી ગયો અને તે અપંગ થઈ ગયો હતો. તેનું નામ મફીબોશેથ હતું.
[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 5] તેથી રિમ્મોન બેરોથીના દીકરા રેખાબ તથા બાનાહ બપોરના સમયે ઈશ-બોશેથને ઘરે પહોંચ્યા. ત્યારે તે આરામ કરતો હતો.
[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 6] જે સ્ત્રી તેના ઘરના દરવાજામાં ચોકી કરતી હતી તે ઘઉં સાફ કરતાં કરતાં ઊંઘી ગઈ હતી. રેખાબ અને બાનાહ ધીમેથી તેની પાસે થઈને સરકી ગયા.
[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 7] જે આરામગૃહમાં તે પોતાના પલંગ પર સૂતો હતો ત્યાં પહોંચી ગયા. તેઓએ તેના પર હુમલો કર્યો અને તેની હત્યા કરી. પછી તેઓ તેનું માથું કાપી નાખ્યું. તે લઈને તેઓ અરાબાને માર્ગે આખી રાત ચાલ્યા.
[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 8] તેઓ ઈશ-બોશેથનું માથું હેબ્રોનમાં દાઉદ પાસે લાવ્યા. અને રાજાને કહ્યું કે, “જુઓ, આ ઈશ-બોશેથ, શાઉલનો દીકરો તારો શત્રુ, જે તારો જીવ લેવાની તક શોધતો હતો, તેનું માથું છે. આજે ઈશ્વરે મારા માલિક રાજાનું વેર શાઉલ તથા તેના વંશજ વિરુદ્ધ વાળ્યું છે.”
[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 9] દાઉદે રિમ્મોન બેરોથીના દીકરા, રેખાબ તથા તેના ભાઈ બાનાહને ઉત્તર આપ્યો; તેણે તેઓને કહ્યું, “જીવંત ઈશ્વરે, મારા જીવને સર્વ વિપત્તિમાંથી બચાવ્યો છે,
[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 10] કે જયારે કોઈએ મને કહ્યું, ‘શાઉલ મરણ પામ્યો છે,’ ત્યારે હું વિચારતો હતો કે તે સારા સમાચાર લાવ્યો છે, ત્યારે મેં તેને પકડીને સિકલાગમાં મારી નાખ્યો. તેની ખબરના બદલામાં મેં તેને ઈનામ આપ્યું હતું.
[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 11] હવે જયારે ખૂની માણસોએ એક ન્યાયી માણસને તેના પોતાના ઘરમાં ઘૂસીને તેના પલંગ પર તેને માર્યો છે. ત્યારે તમારા હાથથી થયેલા તેના ખૂનનો બદલો હું ન લઉં અને પૃથ્વી પરથી તમને નાબૂદ કેમ ના કરું?”
[IRV | GU | OT | 2 Samuel | Chapter 4 | Verse 12] પછી દાઉદે પોતાના જુવાન પુરુષોને આજ્ઞા કરી. એટલે તેઓએ બન્નેને મારી નાખ્યા અને તેઓના હાથ પગ કાપી નાખીને તેઓને હેબ્રોનના તળાવની પાળે ઊંચે લટકાવ્યા. તેઓએ ઈશ-બોશેથનું માથું લઈને હેબ્રોનમાં આબ્નેરની કબરમાં દફ્નાવ્યું.
