[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 1] राजा शलमोन सर्व इस्राएलाचा राजा होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 2] त्यास शासनात मदत करणाऱ्या प्रमुख अधिकाऱ्यांची नावे अशी: सादोकाचा पुत्र अजऱ्या, हा याजक होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 3] शिशाचे पुत्र अलिहोरेफ आणि अहीया. न्यायालयातील घडामोडींची टिपणे ठेवणे हे त्यांचे काम होते. अहीलुदाचा पुत्र यहोशाफाट हा बखरकार होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 4] बनाया हा यहोयादाचा पुत्र सेनापती होता सादोक आणि अब्याथार याजक होते
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 5] नाथानचा पुत्र अजऱ्या हा जिल्हाधिकाऱ्यांचा प्रमुख होता, नाथानाचा पुत्र जाबूद याजक असून राजाचा सल्लागार होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 6] अहीशार हा राजाच्या महालातील सर्व गोष्टींचा प्रमुख होता, अब्दाचा पुत्र अदोनीराम गुलामांच्या खात्याचा प्रमुख होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 7] इस्राएलचे कारभाराच्या सोयीसाठी बारा भाग पाडलेले होते. प्रत्येक भागावर शलमोनाने कारभारी नेमले होते. त्या त्या भागातून अन्नधान्य गोळा करून राजाच्या कुटुंबियांना देण्याची त्यांची जबाबदारी होती. बारा कारभाऱ्यापैकी प्रत्येकावर प्रतिवर्षी एक महिना ही पाळी येई.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 8] त्या बारा कारभाऱ्याची नावे अशी: बेन-हूर, हा एफ्राईमाच्या डोंगराळ प्रदेशावर अधिकारी होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 9] माकस, शालबीम, बेथ-शेमेश व एलोन बेथ-हानान यांच्यावर बेन-देकेर हा कारभारी.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 10] अरुबोथ, सोखो आणि हेफेर या प्रांतावर बेन-हेसेद हा कारभारी होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 11] बेन-अबीनादाब पूर्ण दोर प्रांतावर होता. शलमोनाची कन्या टाफाथ ही याची पत्नी.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 12] तानख, मगिद्दो व पूर्ण बेथ-शान म्हणजेच सारतानाजवळ इज्रेलच्या खाली बेथ-शानापासून आबेल-महोलापर्यंत व यकमामाच्या उतारापर्यंत अहीलुदाचा पुत्र बाना हा होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 13] रामोथ-गिलादावर बेन-गेबेर; हा प्रमुख होता. गिलाद येथील मनश्शेचा पुत्र याईर याची सर्व गावे, बाशानातले अर्गोब प्रांत हे भाग त्याच्याकडे होते. या भागात भक्कम तटबंदीची आणि पितळेची अडसर असणारी साठ मोठी नगरे होती.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 14] इद्दोचा पुत्र अहीनादाब महनाईम प्रांतावर होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 15] नफतालीवर अहीमास होता. (ज्याने शलमोनाची कन्या बासमथ हिच्याशी लग्न केले होते.)
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 16] हूशयाचा पुत्र बाना, हा आशेर आणि आलोथ यांच्यावर कारभारी होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 17] पारुहाचा पुत्र, यहोशाफाट इस्साखारवर होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 18] एलाचा पुत्र शिमी बन्यामीनचा कारभारी होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 19] उरीचा पुत्र गेबेर गिलाद प्रांतावर होता. अमोऱ्यांचा राजा सीहोन आणि बाशानाचा राजा ओग हे या प्रांतात राहत होते. गेबेर मात्र त्या प्रांताचा एकमेव कारभारी होता.
[IRV | MR | OT | 1 Kings | Chapter 4 | Verse 20] यहूदा आणि इस्राएलमध्ये समुंद्रातील वाळूसारखी बहुसंख्य माणसे होती. ती खात, पीत व मजा करत आनंदाने जगत होती.
