[YLT | EN | OT | Judges | Chapter 1 | Verse 1] And it cometh to pass, after the death of Joshua, that the sons of Israel ask at Jehovah, saying, 'Who doth go up for us unto the Canaanite, at the commencement, to fight against it?'
[YLT | EN | OT | Judges | Chapter 1 | Verse 2] And Jehovah saith, 'Judah doth go up; lo, I have given the land into his hand.'
[YLT | EN | OT | Judges | Chapter 1 | Verse 3] And Judah saith to Simeon his brother, 'Go up with me into my lot, and we fight against the Canaanite — and I have gone, even I, with thee into thy lot;' and Simeon goeth with him.
[YLT | EN | OT | Judges | Chapter 1 | Verse 4] And Judah goeth up, and Jehovah giveth the Canaanite and the Perizzite into their hand, and they smite them in Bezek — ten thousand men;
[YLT | EN | OT | Judges | Chapter 1 | Verse 5] and they find Adoni-Bezek in Bezek, and fight against him, and smite the Canaanite and the Perizzite.
[YLT | EN | OT | Judges | Chapter 1 | Verse 6] And Adoni-Bezek fleeth, and they pursue after him, and seize him, and cut off his thumbs and his great toes,
[YLT | EN | OT | Judges | Chapter 1 | Verse 7] and Adoni-Bezek saith, 'Seventy kings — their thumbs and their great toes cut off — have been gathering under my table; as I have done so hath God repaid to me;' and they bring him in to Jerusalem, and he dieth there.
[YLT | EN | OT | Judges | Chapter 1 | Verse 8] And the sons of Judah fight against Jerusalem, and capture it, and smite it by the mouth of the sword, and the city they have sent into fire;
[YLT | EN | OT | Judges | Chapter 1 | Verse 9] and afterwards have the sons of Judah gone down to fight against the Canaanite, inhabiting the hill-country, and the south, and the low country;
[YLT | EN | OT | Judges | Chapter 1 | Verse 10] and Judah goeth unto the Canaanite who is dwelling in Hebron (and the name of Hebron formerly [is] Kirjath-Arba), and they smite Sheshai, and Ahiman, and Talmai.
[YLT | EN | OT | Judges | Chapter 1 | Verse 11] And he goeth thence unto the inhabitants of Debir (and the name of Debir formerly [is] Kirjath-Sepher),
[YLT | EN | OT | Judges | Chapter 1 | Verse 12] and Caleb saith, 'He who smiteth Kirjath-Sepher — and hath captured it — then I have given to him Achsah my daughter for a wife.'
