[YLT | EN | OT | Judges | Chapter 9 | Verse 1] and Abimelech son of Jerubbaal goeth to Shechem, unto his mother's brethren, and speaketh unto them, and unto all the family of the house of his mother's father, saying,
[YLT | EN | OT | Judges | Chapter 9 | Verse 2] 'Speak, I pray you, in the ears of all the masters of Shechem, Which [is] good for you — the ruling over you of seventy men (all the sons of Jerubbaal), or the ruling over you of one man? — and ye have remembered that I [am] your bone and your flesh.'
[YLT | EN | OT | Judges | Chapter 9 | Verse 3] And his mother's brethren speak concerning him, in the ears of all the masters of Shechem, all these words, and their heart inclineth after Abimelech, for they said, 'He [is] our brother;'
[YLT | EN | OT | Judges | Chapter 9 | Verse 4] and they give to him seventy silverings out of the house of Baal-Berith, and Abimelech hireth with them men, vain and unstable, and they go after him;
[YLT | EN | OT | Judges | Chapter 9 | Verse 5] and he goeth into the house of his father at Ophrah, and slayeth his brethren, sons of Jerubbaal, seventy men, on one stone; and Jotham, youngest son of Jerubbaal, is left, for he was hidden.
[YLT | EN | OT | Judges | Chapter 9 | Verse 6] And all the masters of Shechem are gathered together, and all the house of Millo, and come and cause Abimelech to reign for king at the oak of the camp which [is] in Shechem;
[YLT | EN | OT | Judges | Chapter 9 | Verse 7] and they declare [it] to Jotham, and he goeth and standeth on the top of mount Gerizim, and lifteth up his voice, and calleth, and saith to them, 'Hearken unto me, O masters of Shechem, and God doth hearken unto you:
[YLT | EN | OT | Judges | Chapter 9 | Verse 8] 'The trees have diligently gone to anoint over them a king, and they say to the olive, Reign thou over us.
[YLT | EN | OT | Judges | Chapter 9 | Verse 9] And the olive saith to them, Have I ceased from my fatness, by which they honour gods and men, that I have gone to stagger over the trees?
[YLT | EN | OT | Judges | Chapter 9 | Verse 10] And the trees say to the fig, Come thou, reign over us.
[YLT | EN | OT | Judges | Chapter 9 | Verse 11] And the fig saith to them, Have I ceased from my sweetness, and my good increase, that I have gone to stagger over the trees?
[YLT | EN | OT | Judges | Chapter 9 | Verse 12] 'And the trees say to the vine, Come thou, reign over us.
[YLT | EN | OT | Judges | Chapter 9 | Verse 13] And the vine saith to them, Have I ceased from my new wine, which is rejoicing gods and men, that I have gone to stagger over the trees?
[YLT | EN | OT | Judges | Chapter 9 | Verse 14] And all the trees say unto the bramble, Come thou, reign over us.
[YLT | EN | OT | Judges | Chapter 9 | Verse 15] And the bramble saith unto the trees, If in truth ye are anointing me for king over you, come, take refuge in my shadow; and if not — fire cometh out from the bramble, and devoureth the cedars of Lebanon.
[YLT | EN | OT | Judges | Chapter 9 | Verse 16] 'And, now, if in truth and in sincerity ye have acted, when ye make Abimelech king; and if ye have done good with Jerubbaal, and with his house; and if according to the deed of his hands ye have done to him —
[YLT | EN | OT | Judges | Chapter 9 | Verse 17] because my father hath fought for you, and doth cast away his life from [him], and deliver you from the hand of Midian;
