[DRA | EN | OT | Proverbs | Chapter 18 | Verse 1] He that hath a mind to depart from a friend seeketh occasions: he shall ever be subject to reproach.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 2] A fool receiveth not the words of prudence: unless thou say those things which are in his heart.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 3] The wicked man when he is come into the depth of sins, contemneth: but ignominy and reproach follow him.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 4] Words from the mouth of a men are as deep water: and the fountain of wisdom as an overflowing stream.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 5] It is not good to accept the person of the wicked, to decline from the truth of judgment.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 6] The lips of a fool intermeddle with strife: and his mouth provoketh quarrels.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 7] The mouth of a fool is his destruction: and his lips are the ruin of his soul.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 8] The words of the double tongued are as if they were harmless: and they reach even to the inner parts of the bowels. Fear casteth down the slothful: and the souls of the effeminate shall be hungry.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 9] He that is loose and slack in his work, is the brother of him that wasteth his own works.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 10] The name of the Lord is a strong tower: the just runneth to it, and shall be exalted.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 11] The substance of the rich man is the city of his strength, and as a strong wall compassing him about.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 12] Before destruction, the heart of a man is exalted: and before he be glorified, it is humbled.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 13] He that answereth before he heareth sheweth himself to be a fool, and worthy of confusion.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 14] The spirit of a man upholdeth his infirmity: but a spirit that is easily angered, who can bear?
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 15] A wise heart shall acquire knowledge: and the ear of the wise seeketh instruction.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 16] A man’s gift enlargeth his may, and maketh him room before princes.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 17] The just is first accuser of himself: his friend cometh, and shall search him.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 18] The lot suppresseth contentions, and determineth even between the mighty.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 19] A brother that is helped by his brother, is like a strong city: and judgments are like the bars of cities.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 20] Of the fruit of a man’s mouth shall his belly be satisfied: and the offspring of his lips shall fill him.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 21] Death and life are in the power of the tongue: they that love it, shall eat the fruits thereof.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 22] He that hath found a good wife, hath found a good thing, and shall receive a pleasure from the Lord. He that driveth away a good wife, driveth away a good thing: but he that keepeth an adulteress, is foolish and wicked.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 23] The poor will speak with supplications, and the rich will speak roughly.
[DRA | EN | OT | Proverbs | Chapter 18 | Verse 24] A man amiable in society, shall be more friendly than a brother.
